Spearman	Kendall	MutualInformation
0.39	0.24	3.09
0.31	0.22	3.09
0.54	0.40	2.77
0.70	0.60	1.61
0.27	0.23	2.56
0.81	0.65	2.77
0.66	0.52	2.48
0.60	0.49	2.40
0.48	0.38	3.00
0.38	0.25	2.89
0.79	0.71	1.95
0.93	0.81	1.95
0.62	0.50	2.08
-1.00	-1.00	0.69
0.70	0.50	2.94
0.70	0.60	1.61
0.60	0.39	3.00
0.60	0.47	1.79
0.72	0.57	2.77
0.26	0.20	1.79
0.36	0.18	2.48
0.90	0.79	2.08
0.78	0.67	2.20
0.74	0.59	3.04
0.29	0.24	1.95
0.77	0.64	2.30
0.60	0.47	1.79
0.81	0.57	2.08
0.90	0.80	1.61
0.68	0.54	2.56
0.75	0.50	2.20
1.00	1.00	0.69
0.62	0.46	2.83
0.50	0.33	1.10
0.89	0.73	1.79
0.37	0.28	2.20
0.66	0.47	1.79
0.45	0.31	2.40
0.80	0.66	2.83
0.76	0.53	2.40
0.32	0.24	1.95
0.78	0.64	2.48
0.49	0.33	1.79
0.43	0.20	1.79
0.64	0.42	3.37
0.04	0.04	3.14
0.50	0.33	1.10
0.61	0.42	3.18
0.79	0.57	3.43
0.63	0.46	2.56
0.33	0.20	2.40
0.70	0.50	2.77
0.26	0.14	2.08
0.86	0.71	1.95
0.46	0.26	2.56
0.49	0.33	3.09
0.95	0.87	2.30
0.60	0.47	2.64
0.58	0.40	3.69
0.65	0.48	3.43
0.69	0.51	3.37
0.55	0.43	2.71
0.52	0.40	2.94
0.66	0.43	3.18
0.58	0.41	2.64
0.43	0.31	2.56
0.66	0.50	3.18
0.78	0.61	2.20
0.55	0.38	3.14
0.72	0.55	2.48
0.61	0.46	2.56
0.57	0.40	3.58
0.78	0.55	3.08
0.36	0.28	2.71
0.59	0.42	2.77
0.58	0.36	3.00
0.80	0.67	1.39
0.73	0.54	2.64
0.53	0.36	3.26
0.83	0.73	1.79
-0.22	-0.11	2.30
0.60	0.36	2.08
0.48	0.32	2.94
0.69	0.47	3.04
0.00	0.00	1.39
0.46	0.33	3.14
0.58	0.46	2.94
0.81	0.66	2.71
0.75	0.60	2.40
0.47	0.31	2.40
0.57	0.42	3.00
0.61	0.44	2.56
0.54	0.40	3.30
0.72	0.56	2.71
0.54	0.38	2.56
0.78	0.60	3.14
0.74	0.54	2.64
0.35	0.24	2.30
0.41	0.32	3.00
0.58	0.44	3.00
0.70	0.53	3.04
0.54	0.37	2.77
0.56	0.29	2.30
0.69	0.47	3.22
0.20	0.12	2.64
0.27	0.20	3.33
0.79	0.58	3.37
0.85	0.69	2.56
0.63	0.44	2.20
0.60	0.36	2.64
0.51	0.42	2.40
1.00	1.00	1.10
0.81	0.60	3.26
0.68	0.44	2.56
0.18	0.11	2.89
0.71	0.62	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.41	0.32	3.26
0.56	0.40	3.30
0.53	0.43	2.77
0.78	0.57	3.26
0.55	0.37	2.71
0.57	0.41	3.22
0.65	0.44	2.56
nan	nan	0.00
0.18	0.14	1.95
0.55	0.39	2.71
0.10	0.00	1.61
0.55	0.38	3.22
0.66	0.44	2.89
0.67	0.51	3.00
0.41	0.23	2.64
0.40	0.33	1.39
0.38	0.25	3.04
0.80	0.60	2.94
0.15	0.09	2.48
0.63	0.45	3.18
0.62	0.45	2.64
0.56	0.42	2.89
1.00	1.00	1.10
0.54	0.39	3.00
0.48	0.30	2.64
0.75	0.55	2.48
0.43	0.24	2.94
0.82	0.71	1.95
0.70	0.52	3.30
0.70	0.49	2.40
0.61	0.44	2.89
0.62	0.50	2.08
0.64	0.40	2.77
0.61	0.43	2.77
0.74	0.51	2.83
0.40	0.33	1.39
0.52	0.38	3.26
0.60	0.42	2.89
0.37	0.33	1.79
0.69	0.49	2.64
0.76	0.52	2.77
-0.20	-0.06	2.20
0.60	0.47	2.77
0.54	0.36	2.89
0.57	0.35	2.77
0.57	0.41	2.71
0.41	0.31	2.56
0.38	0.25	3.22
0.67	0.50	2.08
0.47	0.34	3.18
0.69	0.48	3.43
0.70	0.60	1.61
0.15	0.16	2.30
0.94	0.87	1.79
0.48	0.31	3.22
0.63	0.48	2.48
0.47	0.33	2.48
-0.20	0.00	1.39
0.81	0.60	2.30
0.50	0.39	2.20
0.67	0.49	2.89
0.73	0.54	3.18
0.67	0.47	3.14
0.60	0.40	1.61
0.29	0.15	2.83
0.78	0.60	3.09
0.74	0.51	2.56
0.60	0.42	3.47
0.43	0.29	3.50
0.57	0.39	2.20
1.00	1.00	1.10
0.40	0.33	1.39
0.48	0.32	3.26
0.42	0.30	2.71
0.64	0.49	2.71
0.48	0.41	2.64
0.68	0.50	3.04
0.62	0.43	3.18
0.74	0.54	3.18
0.77	0.50	2.20
-0.03	0.00	2.20
0.60	0.43	3.18
0.86	0.71	1.95
0.14	0.06	3.00
0.54	0.39	3.30
0.59	0.39	3.14
0.21	0.13	2.56
0.37	0.17	2.20
1.00	1.00	1.39
0.59	0.41	3.56
0.59	0.42	2.48
0.50	0.35	3.71
0.84	0.66	3.00
0.68	0.51	2.56
0.60	0.47	1.79
0.65	0.52	3.04
1.00	1.00	0.69
0.20	0.00	1.39
0.88	0.74	2.56
0.54	0.37	3.22
0.41	0.30	3.18
0.19	0.09	2.40
0.59	0.42	3.26
0.76	0.56	2.89
0.50	0.33	1.10
0.52	0.27	2.77
0.38	0.29	2.08
0.62	0.39	2.20
0.26	0.18	3.40
0.50	0.33	1.10
-0.09	-0.07	1.79
0.56	0.39	2.71
0.02	0.02	2.89
0.64	0.45	2.40
0.39	0.32	3.33
0.87	0.69	2.30
1.00	1.00	0.69
0.74	0.56	2.40
0.60	0.43	2.64
0.42	0.27	2.64
0.20	0.14	3.43
0.66	0.46	3.18
0.57	0.42	3.56
-0.10	0.00	1.61
0.48	0.33	3.64
0.20	0.00	1.39
0.20	0.20	1.61
0.75	0.56	3.14
0.72	0.56	2.30
0.80	0.67	1.39
-0.60	-0.40	1.61
0.71	0.52	3.04
1.00	1.00	1.39
0.75	0.57	2.89
0.75	0.55	3.09
0.76	0.57	2.08
0.48	0.36	2.08
0.80	0.67	2.20
0.78	0.58	3.22
0.34	0.29	2.89
0.71	0.44	2.83
1.00	1.00	1.10
0.27	0.14	2.71
0.72	0.54	3.00
0.15	0.09	2.71
0.89	0.74	2.94
0.19	0.16	2.71
0.54	0.40	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.24	0.17	2.77
0.50	0.33	1.95
-0.13	-0.13	2.83
0.86	0.67	2.56
0.72	0.52	2.71
0.55	0.39	2.20
1.00	1.00	1.10
-1.00	-1.00	0.69
0.48	0.36	2.64
1.00	1.00	1.10
0.73	0.57	3.00
0.14	0.14	1.95
-0.66	-0.47	1.79
0.33	0.16	3.33
0.50	0.35	3.14
0.90	0.80	1.61
0.53	0.36	2.56
0.37	0.25	2.64
1.00	1.00	1.10
0.34	0.21	3.26
1.00	1.00	1.39
0.62	0.45	3.04
0.73	0.53	2.89
0.69	0.50	2.71
0.65	0.47	2.64
0.50	0.33	1.10
0.83	0.61	2.48
1.00	1.00	0.69
0.69	0.54	2.83
0.87	0.71	2.40
1.00	1.00	1.10
0.17	0.12	3.30
0.22	0.15	3.22
0.79	0.60	2.64
0.63	0.45	2.77
0.47	0.35	2.71
0.34	0.15	2.77
0.83	0.69	2.30
0.80	0.60	1.61
0.81	0.60	2.64
0.35	0.24	2.40
0.76	0.57	2.08
0.69	0.42	3.00
0.58	0.36	3.18
-1.00	-1.00	0.69
0.74	0.55	2.48
0.83	0.67	2.48
0.25	0.25	2.64
0.53	0.42	3.09
0.34	0.28	2.56
0.60	0.42	3.00
0.58	0.43	3.14
0.37	0.27	2.89
0.55	0.42	3.56
0.48	0.36	2.08
0.70	0.60	1.61
0.27	0.19	3.47
0.59	0.42	2.89
1.00	1.00	0.69
0.23	0.11	3.22
0.75	0.54	2.89
0.37	0.24	2.30
0.50	0.43	2.08
0.34	0.22	2.71
0.40	0.27	3.18
0.64	0.52	1.95
0.58	0.43	2.71
0.54	0.41	3.30
0.73	0.53	3.14
0.64	0.44	3.61
0.78	0.61	3.22
0.76	0.57	3.50
0.42	0.20	2.30
0.02	-0.02	3.09
0.75	0.56	2.40
0.70	0.53	2.40
0.11	0.09	3.58
0.58	0.45	2.40
0.62	0.43	3.87
0.57	0.40	2.94
0.72	0.56	2.40
0.67	0.51	3.14
0.39	0.27	3.22
0.46	0.33	2.77
0.60	0.42	2.30
0.62	0.46	3.47
0.45	0.37	2.71
0.47	0.37	2.83
0.56	0.39	3.97
0.50	0.39	2.48
0.57	0.39	2.20
0.44	0.32	3.43
0.74	0.50	2.94
0.71	0.51	3.30
0.62	0.45	2.64
0.69	0.57	2.08
0.59	0.35	2.40
0.57	0.45	2.71
0.52	0.38	3.43
-0.45	-0.21	2.08
0.67	0.50	2.83
0.75	0.55	3.22
0.77	0.58	2.77
0.74	0.64	2.08
0.37	0.28	3.14
0.69	0.49	3.00
0.59	0.42	3.30
0.29	0.20	2.89
0.67	0.51	3.26
0.90	0.79	2.08
0.43	0.33	2.20
0.61	0.49	2.64
0.76	0.55	3.37
0.80	0.62	2.56
0.84	0.69	2.64
0.63	0.45	3.00
0.43	0.31	3.33
0.21	0.33	1.95
0.71	0.50	2.94
0.43	0.29	3.58
0.61	0.45	3.78
0.62	0.39	3.33
0.88	0.73	2.48
0.62	0.45	3.87
0.43	0.29	2.08
0.65	0.48	3.76
0.66	0.42	2.48
0.20	0.20	1.79
0.68	0.49	4.01
0.85	0.60	2.40
0.10	0.00	1.61
0.76	0.60	2.64
0.65	0.46	3.09
0.62	0.42	3.18
0.52	0.37	2.83
0.73	0.53	3.00
0.34	0.26	2.83
0.55	0.38	2.40
0.54	0.40	2.77
0.20	0.20	1.79
0.58	0.38	3.30
0.47	0.28	2.20
0.13	0.11	2.20
0.41	0.28	2.89
0.85	0.68	2.77
0.77	0.60	1.79
0.31	0.24	2.30
0.72	0.54	2.89
0.45	0.35	2.89
0.08	0.03	2.48
0.60	0.41	2.71
0.43	0.22	2.20
0.35	0.23	3.00
0.83	0.64	2.71
0.32	0.23	2.64
0.69	0.57	3.33
0.83	0.63	2.89
0.63	0.48	3.26
0.53	0.34	2.64
0.80	0.62	2.56
0.65	0.41	2.64
0.72	0.51	3.14
0.71	0.52	1.95
0.64	0.38	2.40
0.80	0.64	2.71
0.80	0.57	2.89
0.62	0.50	2.08
0.79	0.57	3.04
0.57	0.38	2.77
0.72	0.53	2.89
0.68	0.58	2.48
0.79	0.57	2.08
0.60	0.47	1.79
0.70	0.49	2.71
0.88	0.78	2.20
0.60	0.44	3.76
0.44	0.34	2.83
0.64	0.49	2.71
0.64	0.40	3.26
0.13	0.05	2.64
