Spearman	Kendall	MutualInformation
0.41	0.29	3.09
0.60	0.42	2.77
0.68	0.49	2.56
0.34	0.27	2.40
0.40	0.28	3.00
0.64	0.44	2.89
0.89	0.81	1.95
0.79	0.62	1.95
0.62	0.36	2.08
1.00	1.00	0.69
0.55	0.40	2.94
0.50	0.20	1.61
0.68	0.46	3.00
0.83	0.73	1.79
-0.20	-0.20	1.79
0.15	0.12	2.48
0.69	0.57	2.08
0.67	0.44	2.20
0.47	0.34	3.04
0.39	0.24	1.95
0.83	0.73	1.79
0.74	0.64	2.08
-0.10	0.00	1.61
0.38	0.28	2.56
0.67	0.44	2.20
0.30	0.21	2.83
0.77	0.60	1.79
0.43	0.33	2.20
-0.09	-0.07	1.79
0.22	0.16	2.40
0.38	0.22	2.83
0.61	0.33	1.95
0.35	0.27	2.48
0.71	0.47	1.79
0.89	0.73	1.79
0.19	0.12	3.14
0.50	0.33	1.10
0.74	0.51	3.18
0.57	0.40	3.43
0.51	0.31	2.40
0.49	0.33	2.77
0.71	0.50	2.08
0.39	0.33	1.95
0.65	0.49	2.56
0.43	0.27	3.09
0.35	0.24	2.30
0.44	0.32	2.64
0.70	0.52	3.33
0.62	0.48	3.69
0.66	0.48	3.43
0.50	0.35	2.71
0.33	0.17	2.94
0.69	0.50	3.18
0.52	0.36	2.56
0.56	0.38	3.18
0.68	0.50	2.20
0.66	0.47	3.14
0.66	0.45	2.48
0.73	0.54	2.56
0.53	0.37	3.58
0.71	0.54	2.71
0.82	0.62	2.77
0.55	0.42	3.00
0.80	0.67	1.39
0.41	0.29	3.26
0.83	0.73	1.79
0.03	0.07	2.30
0.29	0.14	2.08
0.51	0.32	2.94
0.20	0.00	1.39
0.55	0.35	3.14
0.45	0.31	2.94
0.60	0.39	2.71
0.77	0.60	2.40
0.24	0.16	2.40
0.25	0.15	3.00
0.69	0.44	2.56
0.76	0.62	2.56
0.78	0.61	3.14
0.64	0.49	2.64
0.56	0.38	2.30
0.74	0.56	3.00
0.79	0.62	3.00
0.80	0.62	3.04
0.62	0.45	2.77
0.48	0.16	2.30
0.77	0.57	3.22
0.56	0.41	2.64
0.13	0.10	3.33
0.77	0.59	3.37
0.41	0.32	2.64
0.67	0.49	2.40
0.50	0.33	1.10
0.72	0.50	3.26
0.51	0.36	2.89
1.00	1.00	1.95
1.00	1.00	0.69
0.54	0.39	3.26
0.63	0.44	3.30
0.39	0.28	2.77
0.51	0.31	3.26
0.26	0.22	2.71
0.27	0.23	2.56
nan	nan	0.00
0.39	0.24	1.95
0.66	0.54	2.71
0.44	0.30	3.18
0.57	0.46	2.89
0.51	0.42	3.00
0.49	0.38	2.64
0.80	0.67	1.39
0.82	0.60	2.30
0.68	0.50	3.04
0.51	0.35	2.77
0.56	0.42	2.94
0.41	0.30	2.48
0.52	0.37	3.18
0.67	0.44	2.89
0.50	0.33	1.10
0.70	0.52	3.00
0.72	0.52	2.64
0.64	0.52	2.48
0.59	0.37	2.94
0.39	0.24	1.95
0.51	0.39	3.30
0.72	0.56	2.89
0.76	0.57	2.77
0.73	0.56	2.83
0.40	0.33	1.39
0.65	0.48	3.26
0.64	0.50	2.89
0.83	0.73	1.79
0.76	0.54	2.64
0.66	0.48	2.77
0.08	0.00	2.20
0.40	0.30	2.77
0.74	0.58	2.71
0.58	0.42	3.22
0.24	0.07	2.08
0.51	0.39	3.18
0.65	0.48	3.43
0.90	0.80	1.61
0.24	0.18	3.40
0.22	0.11	2.30
0.77	0.60	1.79
0.68	0.46	3.22
0.34	0.27	2.48
0.55	0.42	2.48
-0.20	0.00	1.39
0.62	0.38	2.30
0.63	0.44	2.20
0.59	0.46	2.89
0.62	0.46	3.18
0.90	0.80	1.61
0.24	0.18	2.83
0.73	0.51	3.09
0.62	0.49	2.56
0.44	0.32	3.47
0.54	0.39	3.50
0.43	0.39	2.20
0.63	0.46	3.26
1.00	1.00	1.10
0.40	0.33	1.39
0.57	0.38	3.26
0.52	0.37	2.71
0.73	0.54	2.71
0.70	0.52	2.64
0.75	0.58	3.18
0.62	0.46	3.18
0.55	0.33	2.20
0.33	0.22	2.20
0.82	0.64	3.18
0.71	0.52	1.95
0.33	0.20	3.00
0.60	0.45	3.30
0.59	0.44	2.56
0.73	0.56	2.20
0.75	0.56	3.56
0.45	0.36	2.48
0.85	0.69	2.56
0.49	0.33	1.79
0.81	0.61	3.04
1.00	1.00	0.69
0.20	0.00	1.39
0.79	0.64	2.56
0.52	0.37	3.22
0.50	0.36	3.18
0.56	0.49	2.40
0.50	0.32	3.26
1.00	1.00	1.10
0.64	0.45	2.77
0.70	0.50	2.20
0.46	0.33	3.40
-1.00	-1.00	1.10
-0.14	-0.07	1.79
0.81	0.64	2.71
0.38	0.25	2.89
0.63	0.42	2.40
0.69	0.47	3.33
0.55	0.42	2.30
-1.00	-1.00	0.69
0.65	0.49	2.40
0.54	0.36	2.64
0.54	0.38	2.64
0.52	0.32	3.43
0.64	0.48	3.18
0.49	0.34	3.56
0.20	0.20	1.61
0.63	0.42	3.64
0.80	0.67	1.39
0.70	0.60	1.61
0.49	0.30	3.14
0.48	0.29	2.30
0.80	0.67	1.39
0.20	0.20	1.61
0.60	0.37	3.04
0.40	0.33	1.39
0.69	0.52	3.09
0.57	0.43	2.64
0.48	0.36	2.08
0.95	0.86	2.08
0.58	0.39	2.20
0.73	0.50	3.22
0.38	0.24	2.89
0.81	0.60	2.83
-0.50	-0.33	1.10
0.69	0.41	2.71
0.74	0.53	3.00
0.79	0.64	2.71
0.69	0.56	2.94
0.37	0.28	2.71
-0.50	-0.33	1.10
-0.50	-0.33	1.10
0.00	-0.05	1.95
0.09	0.04	2.83
0.35	0.22	2.71
0.42	0.39	2.20
1.00	1.00	1.10
0.73	0.54	2.64
-0.50	-0.33	1.10
0.55	0.39	3.00
0.79	0.52	1.95
0.60	0.47	1.79
0.06	0.03	3.33
0.46	0.30	3.14
0.08	0.11	2.30
0.34	0.28	2.56
0.40	0.25	2.64
1.00	1.00	1.10
0.27	0.20	3.26
0.00	0.00	1.39
0.54	0.40	3.04
0.85	0.66	2.89
0.81	0.68	2.71
0.34	0.25	2.64
0.50	0.33	1.10
0.84	0.67	2.48
-1.00	-1.00	0.69
-0.50	-0.33	1.10
0.39	0.27	3.22
0.80	0.65	2.64
0.43	0.32	2.77
0.59	0.47	2.71
0.59	0.40	2.77
0.72	0.51	2.30
0.50	0.40	1.61
0.55	0.43	2.08
0.61	0.43	3.00
0.66	0.44	3.18
-1.00	-1.00	0.69
0.88	0.73	2.48
0.19	0.21	2.64
0.71	0.47	3.09
0.74	0.54	3.00
0.57	0.44	2.89
0.51	0.34	3.56
0.40	0.21	2.08
0.54	0.37	3.47
0.13	0.08	2.89
1.00	1.00	0.69
0.28	0.16	3.22
0.57	0.35	2.89
0.58	0.38	2.30
0.62	0.50	2.08
0.24	0.26	2.71
0.34	0.26	3.18
0.45	0.33	2.71
0.63	0.42	3.30
0.68	0.49	3.14
0.58	0.41	3.61
0.80	0.62	3.22
0.70	0.51	3.50
0.43	0.20	2.30
0.19	0.13	3.09
0.18	0.09	2.40
0.70	0.49	3.47
0.47	0.32	3.58
0.30	0.27	2.40
0.69	0.50	3.87
0.61	0.42	2.94
0.61	0.38	2.40
0.74	0.54	3.14
0.62	0.46	3.22
0.69	0.48	2.77
0.68	0.42	2.30
0.62	0.44	3.47
0.55	0.39	2.71
0.66	0.47	2.83
0.40	0.25	3.97
0.77	0.61	2.20
0.42	0.25	3.43
0.62	0.43	2.94
0.78	0.56	3.30
0.70	0.54	2.64
0.52	0.36	2.08
0.38	0.27	2.40
0.24	0.14	2.71
0.70	0.51	3.43
-0.21	-0.14	2.08
0.68	0.41	2.83
0.69	0.49	3.22
0.65	0.50	2.77
0.38	0.21	2.08
0.60	0.42	3.14
0.76	0.56	3.30
0.85	0.66	3.00
0.57	0.37	3.30
0.54	0.40	2.89
0.78	0.58	3.26
0.71	0.50	2.08
0.32	0.22	2.20
0.46	0.38	2.64
0.42	0.27	3.00
0.66	0.49	2.56
0.82	0.60	2.64
0.68	0.54	3.00
-0.36	-0.33	1.95
0.64	0.44	4.13
0.37	0.25	3.58
0.66	0.46	3.33
0.71	0.58	2.48
0.55	0.35	3.87
0.26	0.36	2.08
0.60	0.39	3.76
0.78	0.61	2.48
0.89	0.73	1.79
0.64	0.45	4.01
-0.60	-0.40	1.61
0.60	0.36	2.64
0.66	0.47	3.09
0.64	0.46	3.18
0.52	0.37	2.83
0.44	0.29	3.00
0.44	0.31	2.40
0.74	0.57	2.77
0.20	0.20	1.79
0.35	0.21	3.30
0.38	0.29	3.30
0.53	0.33	2.20
0.25	0.22	2.20
0.67	0.49	2.89
0.84	0.69	2.30
0.66	0.49	2.89
0.23	0.18	2.89
0.37	0.24	2.48
0.77	0.54	2.71
0.23	0.16	3.00
0.65	0.49	2.64
0.67	0.48	3.04
0.48	0.28	2.56
0.43	0.27	2.64
0.71	0.53	3.14
0.64	0.43	1.95
0.73	0.53	2.40
0.70	0.49	2.71
0.68	0.52	2.89
0.69	0.43	2.08
0.76	0.53	3.04
0.41	0.27	2.77
0.75	0.56	3.93
0.55	0.35	2.89
0.43	0.33	2.56
0.49	0.33	3.30
0.78	0.61	2.48
0.60	0.36	2.08
0.71	0.47	1.79
0.65	0.47	2.71
0.38	0.28	3.33
0.57	0.39	2.20
0.54	0.38	3.76
0.34	0.26	2.83
0.74	0.54	2.71
0.62	0.47	3.26
0.78	0.61	2.48
0.27	0.19	2.64
0.80	0.60	3.47
0.48	0.34	3.33
0.59	0.38	3.40
0.51	0.34	3.14
0.57	0.43	3.04
0.56	0.37	2.77
0.35	0.21	3.14
0.58	0.42	3.14
0.47	0.28	3.37
0.59	0.42	3.04
0.69	0.49	2.64
0.66	0.50	3.04
0.70	0.50	3.30
0.47	0.33	2.48
0.78	0.58	3.33
0.46	0.35	3.69
0.51	0.36	2.56
0.84	0.69	2.89
0.39	0.27	3.47
0.76	0.57	3.66
0.66	0.50	3.40
0.69	0.52	2.94
0.75	0.51	3.69
0.53	0.30	2.64
0.62	0.38	2.77
0.41	0.29	3.22
0.63	0.43	3.99
0.70	0.52	3.26
0.69	0.49	3.18
0.75	0.57	3.09
0.56	0.35	2.77
0.34	0.16	2.40
0.78	0.60	3.43
0.49	0.37	2.94
0.65	0.46	2.83
0.55	0.37	3.14
0.33	0.20	2.89
0.86	0.71	1.95
0.38	0.27	3.56
0.70	0.56	2.56
0.58	0.45	3.47
0.47	0.31	3.50
0.45	0.33	2.30
0.69	0.53	2.83
0.33	0.25	3.37
0.60	0.47	1.79
0.59	0.42	3.14
0.81	0.60	2.30
0.80	0.60	1.61
0.86	0.69	2.56
0.41	0.30	3.58
0.22	0.18	2.56
0.34	0.23	2.64
0.61	0.41	3.33
0.62	0.39	2.71
0.67	0.56	2.30
0.56	0.40	3.00
0.43	0.27	2.48
0.20	0.20	1.79
0.28	0.20	3.87
0.43	0.47	1.79
0.62	0.49	3.47
0.64	0.45	2.94
0.57	0.38	2.83
0.70	0.51	2.56
0.34	0.22	3.09
0.74	0.51	2.83
0.64	0.43	3.22
0.71	0.51	3.08
0.52	0.35	2.71
0.62	0.41	2.83
0.16	0.10	3.52
0.82	0.61	2.20
0.81	0.58	2.77
0.71	0.57	2.77
0.77	0.57	3.22
0.76	0.59	2.89
0.66	0.46	3.47
0.71	0.54	2.89
0.45	0.31	2.56
0.63	0.47	2.77
0.55	0.40	3.30
0.41	0.28	3.04
0.60	0.44	2.20
0.46	0.27	2.64
0.40	0.27	3.47
0.63	0.39	2.20
0.59	0.40	2.83
0.51	0.35	3.00
0.28	0.18	2.56
0.53	0.36	3.58
0.65	0.42	3.00
0.46	0.31	3.87
0.43	0.20	1.79
0.35	0.25	3.33
0.58	0.39	3.18
0.64	0.48	2.89
0.75	0.51	2.56
0.70	0.49	3.22
0.57	0.42	3.30
0.49	0.33	1.79
0.66	0.47	1.79
0.70	0.53	3.22
0.64	0.45	3.95
0.69	0.47	3.22
0.22	0.13	3.30
0.65	0.42	2.30
0.52	0.29	2.08
0.67	0.43	2.71
0.73	0.56	2.30
0.92	0.79	2.56
0.67	0.43	2.71
0.30	0.19	3.00
0.41	0.30	2.48
0.41	0.28	2.83
0.52	0.27	3.00
0.68	0.45	3.28
0.68	0.49	2.56
0.66	0.45	2.48
0.50	0.35	3.50
0.48	0.35	3.50
0.83	0.73	2.48
0.31	0.18	3.76
0.52	0.38	3.22
0.48	0.33	3.26
0.46	0.30	3.26
0.38	0.26	3.09
0.40	0.27	3.50
0.66	0.47	3.40
0.36	0.36	2.48
0.34	0.26	2.56
0.73	0.52	2.48
0.54	0.40	2.83
0.60	0.45	2.40
-0.03	-0.07	1.79
0.42	0.28	3.00
0.78	0.58	3.50
0.69	0.51	2.56
0.56	0.40	3.43
0.55	0.37	3.26
0.10	0.09	2.71
0.70	0.44	2.20
0.31	0.24	3.04
0.71	0.54	3.22
0.34	0.28	2.83
0.64	0.47	2.83
0.61	0.44	3.30
0.77	0.60	2.64
0.80	0.64	3.37
0.54	0.35	3.26
0.60	0.49	2.71
0.67	0.52	2.64
0.60	0.33	1.79
0.12	0.11	2.20
0.63	0.39	3.09
0.14	0.03	2.56
0.87	0.69	2.83
-0.07	0.17	2.20
-1.00	-1.00	0.69
0.38	0.22	2.20
-0.32	-0.22	2.71
-0.50	-0.33	1.10
0.87	0.70	2.48
0.29	0.14	1.95
0.78	0.57	3.14
1.00	1.00	0.69
0.77	0.57	3.00
0.34	0.22	3.04
0.50	0.36	2.08
0.18	0.14	1.95
0.68	0.48	2.89
0.63	0.44	3.09
0.67	0.57	2.08
0.65	0.47	3.09
0.64	0.45	3.43
0.71	0.56	2.56
0.50	0.34	3.22
0.71	0.50	2.89
0.39	0.32	2.83
0.59	0.42	2.48
0.90	0.80	1.61
0.42	0.39	2.48
0.60	0.41	3.47
0.50	0.33	1.10
0.46	0.33	3.00
0.91	0.79	2.56
0.31	0.20	2.77
0.57	0.43	1.95
-0.90	-0.80	1.61
0.20	0.13	2.40
0.45	0.30	2.48
0.28	0.18	2.77
0.73	0.52	3.33
0.50	0.33	1.95
0.42	0.28	2.89
0.83	0.67	2.48
0.65	0.47	3.00
0.21	0.13	2.40
0.83	0.64	2.30
0.74	0.50	3.04
0.59	0.42	2.48
0.58	0.38	2.64
0.70	0.60	2.30
0.72	0.49	3.37
0.74	0.51	2.94
0.62	0.44	2.20
0.52	0.41	2.64
0.55	0.38	3.30
0.59	0.43	3.00
0.52	0.33	2.30
0.68	0.50	2.20
0.71	0.53	3.14
0.63	0.39	2.20
0.63	0.39	3.22
0.63	0.47	2.64
0.60	0.43	3.22
0.41	0.26	3.14
0.63	0.42	3.00
0.72	0.52	3.09
0.50	0.20	1.61
0.68	0.44	3.37
0.46	0.33	3.37
0.54	0.43	1.95
0.81	0.63	2.64
0.46	0.33	2.56
0.60	0.46	3.09
0.49	0.35	2.40
0.46	0.33	3.30
0.67	0.43	2.64
0.68	0.46	3.04
0.54	0.37	2.89
0.59	0.35	2.40
0.62	0.45	3.76
0.29	0.18	2.71
0.63	0.45	3.43
0.62	0.43	3.40
0.68	0.48	3.40
0.84	0.73	2.30
0.58	0.36	3.09
0.49	0.34	3.43
0.58	0.40	3.37
0.80	0.60	3.37
0.54	0.47	1.79
0.59	0.41	3.18
0.73	0.55	2.48
0.60	0.45	3.04
0.21	0.12	2.94
0.60	0.40	3.04
0.54	0.42	2.89
0.75	0.47	2.64
0.47	0.33	3.69
0.31	0.16	2.40
0.65	0.47	2.30
0.69	0.49	3.18
