Spearman	Kendall	MutualInformation
0.55	0.42	3.09
0.61	0.42	2.77
0.68	0.49	2.56
0.40	0.31	2.40
0.41	0.28	3.00
0.70	0.50	2.89
0.89	0.81	1.95
0.86	0.71	1.95
0.62	0.36	2.08
1.00	1.00	0.69
0.58	0.43	2.94
0.50	0.20	1.61
0.63	0.44	3.00
0.83	0.73	1.79
-0.20	-0.20	1.79
-0.15	-0.12	2.48
0.69	0.57	2.08
0.62	0.39	2.20
0.57	0.42	3.04
0.43	0.33	1.95
0.83	0.73	1.79
0.69	0.57	2.08
-0.10	0.00	1.61
0.34	0.26	2.56
0.68	0.50	2.20
0.32	0.19	2.83
0.60	0.47	1.79
0.43	0.33	2.20
0.09	0.07	1.79
0.20	0.16	2.40
0.43	0.28	2.83
0.68	0.43	1.95
0.38	0.30	2.48
0.71	0.47	1.79
0.89	0.73	1.79
0.17	0.12	3.14
0.50	0.33	1.10
0.73	0.51	3.18
0.62	0.44	3.43
0.50	0.35	2.40
0.57	0.40	2.77
0.81	0.64	2.08
0.39	0.33	1.95
0.53	0.41	2.56
0.44	0.30	3.09
0.30	0.20	2.30
0.41	0.32	2.64
0.72	0.53	3.33
0.59	0.45	3.69
0.65	0.46	3.43
0.57	0.39	2.71
0.34	0.18	2.94
0.74	0.57	3.18
0.44	0.31	2.56
0.50	0.33	3.18
0.67	0.44	2.20
0.64	0.43	3.14
0.59	0.39	2.48
0.70	0.51	2.56
0.54	0.40	3.58
0.62	0.49	2.71
0.75	0.57	2.77
0.54	0.42	3.00
0.80	0.67	1.39
0.36	0.24	3.26
0.83	0.73	1.79
0.03	0.07	2.30
0.29	0.14	2.08
0.54	0.32	2.94
-0.40	-0.33	1.39
0.66	0.48	3.14
0.42	0.31	2.94
0.55	0.33	2.71
0.77	0.60	2.40
0.31	0.20	2.40
0.32	0.19	3.00
0.68	0.49	2.56
0.55	0.41	2.56
0.80	0.63	3.14
0.65	0.47	2.64
0.43	0.24	2.30
0.74	0.58	3.00
0.76	0.57	3.00
0.79	0.61	3.04
0.63	0.45	2.77
0.48	0.16	2.30
0.76	0.55	3.22
0.52	0.38	2.64
0.34	0.24	3.33
0.75	0.57	3.37
0.38	0.27	2.64
0.62	0.38	2.40
-0.50	-0.33	1.10
0.67	0.44	3.26
0.48	0.33	2.89
0.96	0.90	1.95
1.00	1.00	0.69
0.41	0.29	3.26
0.57	0.38	3.30
0.44	0.30	2.77
0.42	0.24	3.26
0.22	0.16	2.71
0.41	0.28	2.56
nan	nan	0.00
0.04	-0.05	1.95
0.61	0.50	2.71
0.46	0.31	3.18
0.64	0.49	2.89
0.54	0.44	3.00
0.49	0.43	2.64
0.80	0.67	1.39
0.84	0.64	2.30
0.72	0.56	3.04
0.57	0.38	2.77
0.50	0.36	2.94
0.46	0.33	2.48
0.49	0.36	3.18
0.61	0.39	2.89
0.50	0.33	1.10
0.73	0.53	3.00
0.64	0.43	2.64
0.64	0.52	2.48
0.55	0.36	2.94
0.43	0.33	1.95
0.49	0.37	3.30
0.77	0.58	2.89
0.79	0.60	2.77
0.73	0.56	2.83
0.40	0.33	1.39
0.64	0.46	3.26
0.65	0.49	2.89
0.71	0.60	1.79
0.80	0.63	2.64
0.68	0.48	2.77
0.00	0.00	2.20
0.41	0.28	2.77
0.66	0.49	2.71
0.52	0.37	3.22
0.29	0.14	2.08
0.55	0.41	3.18
0.65	0.48	3.43
0.70	0.60	1.61
0.25	0.20	3.40
0.22	0.11	2.30
0.77	0.60	1.79
0.78	0.56	3.22
0.28	0.18	2.48
0.55	0.42	2.48
0.40	0.33	1.39
0.62	0.38	2.30
0.68	0.50	2.20
0.62	0.48	2.89
0.58	0.45	3.18
1.00	1.00	1.61
0.22	0.18	2.83
0.75	0.54	3.09
0.76	0.59	2.56
0.48	0.34	3.47
0.56	0.41	3.50
0.43	0.39	2.20
0.64	0.48	3.26
0.50	0.33	1.10
0.20	0.00	1.39
0.52	0.37	3.26
0.51	0.37	2.71
0.77	0.60	2.71
0.71	0.52	2.64
0.75	0.59	3.18
0.67	0.51	3.18
0.57	0.39	2.20
0.23	0.11	2.20
0.82	0.63	3.18
0.43	0.43	1.95
0.33	0.21	3.00
0.58	0.44	3.30
0.43	0.31	2.56
0.73	0.56	2.20
0.77	0.56	3.56
0.41	0.27	2.48
0.82	0.67	2.56
0.49	0.33	1.79
0.79	0.59	3.04
1.00	1.00	0.69
0.40	0.33	1.39
0.85	0.67	2.56
0.70	0.51	3.22
0.48	0.32	3.18
0.64	0.56	2.40
0.50	0.35	3.26
1.00	1.00	1.10
0.65	0.47	2.77
0.68	0.50	2.20
0.46	0.34	3.40
0.50	0.33	1.10
-0.14	-0.07	1.79
0.77	0.60	2.71
0.41	0.25	2.89
0.64	0.42	2.40
0.71	0.48	3.33
0.66	0.56	2.30
-1.00	-1.00	0.69
0.51	0.45	2.40
0.63	0.43	2.64
0.51	0.36	2.64
0.52	0.31	3.43
0.63	0.47	3.18
0.50	0.36	3.56
0.20	0.20	1.61
0.64	0.43	3.64
0.80	0.67	1.39
0.70	0.60	1.61
0.44	0.27	3.14
0.31	0.20	2.30
0.80	0.67	1.39
0.10	0.00	1.61
0.68	0.47	3.04
0.40	0.33	1.39
0.68	0.51	3.09
0.53	0.41	2.64
0.50	0.43	2.08
0.95	0.86	2.08
0.63	0.50	2.20
0.74	0.51	3.22
0.45	0.32	2.89
0.75	0.54	2.83
-1.00	-1.00	1.10
0.65	0.39	2.71
0.77	0.52	3.00
0.78	0.62	2.71
0.68	0.57	2.94
0.34	0.26	2.71
0.50	0.33	1.10
-0.50	-0.33	1.10
0.00	-0.05	1.95
0.09	0.04	2.83
0.35	0.22	2.71
0.42	0.28	2.20
1.00	1.00	1.10
0.73	0.54	2.64
0.50	0.33	1.10
0.59	0.44	3.00
0.79	0.52	1.95
0.43	0.33	1.79
-0.09	-0.09	3.33
0.47	0.33	3.14
0.20	0.20	2.30
0.32	0.26	2.56
0.24	0.14	2.64
1.00	1.00	1.10
0.20	0.14	3.26
0.40	0.33	1.39
0.56	0.40	3.04
0.82	0.63	2.89
0.90	0.71	2.71
0.34	0.25	2.64
-0.50	-0.33	1.10
0.80	0.64	2.48
1.00	1.00	0.69
-0.50	-0.33	1.10
0.33	0.22	3.22
0.79	0.63	2.64
0.42	0.33	2.77
0.74	0.58	2.71
0.60	0.38	2.77
0.73	0.56	2.30
0.50	0.40	1.61
0.52	0.36	2.08
0.58	0.42	3.00
0.70	0.47	3.18
-1.00	-1.00	0.69
0.85	0.64	2.48
0.20	0.16	2.64
0.67	0.40	3.09
0.72	0.49	3.00
0.57	0.42	2.89
0.50	0.33	3.56
0.43	0.29	2.08
0.60	0.41	3.47
0.17	0.11	2.89
1.00	1.00	0.69
0.29	0.19	3.22
0.58	0.36	2.89
0.65	0.42	2.30
0.67	0.50	2.08
0.31	0.30	2.71
0.37	0.25	3.18
0.50	0.33	2.71
0.68	0.48	3.30
0.63	0.45	3.14
0.59	0.40	3.61
0.73	0.53	3.22
0.69	0.51	3.50
0.50	0.29	2.30
0.09	0.06	3.09
0.28	0.20	2.40
0.66	0.43	3.47
0.47	0.35	3.58
0.19	0.16	2.40
0.71	0.52	3.87
0.65	0.44	2.94
0.52	0.31	2.40
0.75	0.55	3.14
0.58	0.40	3.22
0.65	0.43	2.77
0.67	0.42	2.30
0.63	0.44	3.47
0.64	0.49	2.71
0.71	0.50	2.83
0.49	0.28	3.97
0.73	0.56	2.20
0.39	0.25	3.43
0.61	0.42	2.94
0.73	0.53	3.30
0.76	0.54	2.64
0.93	0.79	2.08
0.42	0.31	2.40
0.23	0.14	2.71
0.70	0.51	3.43
-0.31	-0.14	2.08
0.63	0.38	2.83
0.63	0.49	3.22
0.66	0.48	2.77
0.40	0.29	2.08
0.54	0.38	3.14
0.74	0.54	3.30
0.82	0.63	3.00
0.50	0.32	3.30
0.57	0.42	2.89
0.77	0.56	3.26
0.62	0.43	2.08
0.32	0.22	2.20
0.59	0.43	2.64
0.40	0.26	3.00
0.61	0.44	2.56
0.79	0.56	2.64
0.67	0.52	3.00
-0.36	-0.33	1.95
0.54	0.39	4.13
0.40	0.28	3.58
0.64	0.42	3.33
0.74	0.64	2.48
0.53	0.33	3.87
0.83	0.71	2.08
0.59	0.38	3.76
0.53	0.39	2.48
0.77	0.60	1.79
0.60	0.42	4.01
-0.10	0.00	1.61
0.60	0.41	2.64
0.61	0.42	3.09
0.52	0.38	3.18
0.44	0.31	2.83
0.48	0.35	3.00
0.50	0.35	2.40
0.84	0.63	2.77
0.20	0.20	1.79
0.36	0.22	3.30
0.33	0.24	3.30
0.53	0.33	2.20
0.23	0.17	2.20
0.72	0.52	2.89
0.61	0.51	2.30
0.62	0.45	2.89
0.11	0.05	2.89
0.35	0.24	2.48
0.71	0.47	2.71
0.22	0.14	3.00
0.70	0.52	2.64
0.66	0.46	3.04
0.57	0.41	2.56
0.53	0.34	2.64
0.70	0.52	3.14
0.64	0.43	1.95
0.73	0.53	2.40
0.68	0.45	2.71
0.60	0.44	2.89
0.67	0.43	2.08
0.58	0.38	3.04
0.40	0.27	2.77
0.74	0.55	3.93
0.57	0.35	2.89
0.38	0.28	2.56
0.46	0.31	3.30
0.71	0.52	2.48
0.69	0.50	2.08
0.49	0.33	1.79
0.60	0.43	2.71
0.35	0.26	3.33
0.60	0.44	2.20
0.55	0.38	3.76
0.39	0.29	2.83
0.70	0.52	2.71
0.59	0.43	3.26
0.72	0.52	2.48
0.10	0.05	2.64
0.79	0.58	3.47
0.43	0.32	3.33
0.64	0.44	3.40
0.46	0.30	3.14
0.60	0.46	3.04
0.61	0.43	2.77
0.24	0.14	3.14
0.61	0.45	3.14
0.46	0.28	3.37
0.57	0.37	3.04
0.58	0.38	2.64
0.67	0.50	3.04
0.65	0.45	3.30
0.61	0.45	2.48
0.77	0.56	3.33
0.41	0.32	3.69
0.58	0.44	2.56
0.79	0.62	2.89
0.40	0.28	3.47
0.76	0.57	3.66
0.66	0.47	3.40
0.67	0.50	2.94
0.71	0.47	3.69
0.46	0.27	2.64
0.61	0.37	2.77
0.35	0.21	3.22
0.63	0.43	3.99
0.70	0.53	3.26
0.65	0.46	3.18
0.75	0.55	3.09
0.67	0.50	2.77
0.39	0.20	2.40
0.76	0.58	3.43
0.52	0.40	2.94
0.68	0.47	2.83
0.53	0.37	3.14
0.29	0.19	2.89
0.71	0.52	1.95
0.49	0.34	3.56
0.60	0.44	2.56
0.56	0.42	3.47
0.44	0.30	3.50
0.39	0.33	2.30
0.66	0.47	2.83
0.34	0.25	3.37
0.43	0.33	1.79
0.53	0.39	3.14
0.82	0.64	2.30
0.80	0.60	1.61
0.85	0.67	2.56
0.38	0.27	3.58
-0.10	-0.08	2.56
0.20	0.12	2.64
0.58	0.39	3.33
0.62	0.37	2.71
0.68	0.60	2.30
0.55	0.41	3.00
0.43	0.27	2.48
0.49	0.33	1.79
0.41	0.27	3.87
0.43	0.47	1.79
0.65	0.49	3.47
0.58	0.39	2.94
0.63	0.44	2.83
0.70	0.54	2.56
0.34	0.21	3.09
0.58	0.43	2.83
0.65	0.43	3.22
0.68	0.47	3.08
0.51	0.35	2.71
0.63	0.43	2.83
0.21	0.13	3.52
0.60	0.39	2.20
0.79	0.55	2.77
0.66	0.50	2.77
0.77	0.59	3.22
0.71	0.53	2.89
0.71	0.52	3.47
0.68	0.46	2.89
0.37	0.26	2.56
0.72	0.48	2.77
0.52	0.39	3.30
0.41	0.30	3.04
0.45	0.33	2.20
0.48	0.32	2.64
0.31	0.22	3.47
0.70	0.50	2.20
0.65	0.44	2.83
0.53	0.37	3.00
0.40	0.28	2.56
0.52	0.34	3.58
0.57	0.33	3.00
0.47	0.32	3.87
0.31	0.20	1.79
0.37	0.27	3.33
0.60	0.40	3.18
0.59	0.42	2.89
0.75	0.49	2.56
0.66	0.45	3.22
0.59	0.45	3.30
-0.14	-0.07	1.79
0.66	0.47	1.79
0.64	0.48	3.22
0.62	0.43	3.95
0.65	0.43	3.22
0.27	0.16	3.30
0.66	0.47	2.30
0.40	0.21	2.08
0.72	0.50	2.71
0.76	0.51	2.30
0.86	0.72	2.56
0.67	0.43	2.71
0.29	0.17	3.00
0.57	0.42	2.48
0.39	0.25	2.83
0.56	0.28	3.00
0.72	0.47	3.28
0.59	0.41	2.56
0.61	0.39	2.48
0.48	0.34	3.50
0.46	0.33	3.50
0.91	0.79	2.48
0.16	0.09	3.76
0.51	0.39	3.22
0.49	0.31	3.26
0.56	0.38	3.26
0.42	0.30	3.09
0.42	0.26	3.50
0.61	0.44	3.40
0.27	0.24	2.48
0.27	0.18	2.56
0.72	0.48	2.48
0.43	0.26	2.83
0.62	0.49	2.40
0.14	0.07	1.79
0.36	0.24	3.00
0.75	0.55	3.50
