Spearman	Kendall	MutualInformation
0.60	0.40	3.09
0.46	0.35	3.09
0.46	0.32	2.77
0.70	0.60	1.61
0.59	0.44	2.56
0.70	0.53	2.77
0.76	0.61	2.48
0.78	0.64	2.40
0.66	0.52	3.00
0.36	0.27	2.89
0.82	0.62	1.95
0.89	0.71	1.95
0.90	0.79	2.08
-1.00	-1.00	0.69
0.49	0.36	2.94
0.80	0.60	1.61
0.67	0.48	3.00
0.83	0.73	1.79
0.75	0.60	2.77
0.60	0.47	1.79
0.12	0.06	2.48
0.62	0.50	2.08
0.58	0.33	2.20
0.52	0.34	3.04
0.29	0.24	1.95
0.66	0.51	2.30
0.26	0.20	1.79
0.55	0.36	2.08
0.90	0.80	1.61
0.75	0.56	2.56
0.67	0.44	2.20
1.00	1.00	0.69
0.45	0.29	2.83
1.00	1.00	1.10
0.83	0.73	1.79
0.53	0.44	2.20
-0.09	0.07	1.79
0.20	0.13	2.40
0.61	0.44	2.83
0.07	0.05	2.40
0.57	0.43	1.95
0.71	0.58	2.48
0.77	0.60	1.79
0.54	0.33	1.79
0.41	0.29	3.37
0.09	0.07	3.14
0.50	0.33	1.10
0.73	0.53	3.18
0.70	0.53	3.43
0.70	0.46	2.56
0.59	0.42	2.40
0.83	0.63	2.77
0.52	0.29	2.08
0.64	0.43	1.95
0.36	0.26	2.56
0.56	0.33	3.09
0.72	0.47	2.30
0.55	0.41	2.64
0.39	0.28	3.69
0.59	0.39	3.43
0.69	0.50	3.37
0.65	0.50	2.71
0.24	0.18	2.94
0.72	0.56	3.18
0.76	0.58	2.64
0.64	0.46	2.56
0.57	0.40	3.18
0.55	0.39	2.20
0.55	0.41	3.14
0.68	0.45	2.48
0.74	0.59	2.56
0.49	0.32	3.58
0.68	0.48	3.08
0.67	0.49	2.71
0.74	0.57	2.77
0.61	0.41	3.00
1.00	1.00	1.39
0.86	0.67	2.64
0.58	0.39	3.26
0.77	0.60	1.79
-0.24	-0.16	2.30
0.67	0.57	2.08
0.55	0.40	2.94
0.72	0.49	3.04
-0.40	-0.33	1.39
0.48	0.37	3.14
0.61	0.42	2.94
0.70	0.49	2.71
0.61	0.42	2.40
0.48	0.31	2.40
0.56	0.41	3.00
0.67	0.49	2.56
0.68	0.50	3.30
0.73	0.50	2.71
0.48	0.36	2.56
0.69	0.52	3.14
0.49	0.32	2.64
0.68	0.51	2.30
0.59	0.41	3.00
0.69	0.49	3.00
0.74	0.52	3.04
0.62	0.42	2.77
0.61	0.38	2.30
0.63	0.41	3.22
0.56	0.41	2.64
0.48	0.33	3.33
0.54	0.38	3.37
0.79	0.62	2.56
0.60	0.56	2.20
0.60	0.45	2.64
0.84	0.67	2.40
1.00	1.00	1.10
0.75	0.56	3.26
0.58	0.38	2.56
0.29	0.20	2.89
0.71	0.52	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.64	0.49	3.26
0.38	0.28	3.30
0.26	0.22	2.77
0.74	0.53	3.26
0.58	0.35	2.71
0.63	0.49	3.22
0.73	0.54	2.56
nan	nan	0.00
0.50	0.33	1.95
0.51	0.35	2.71
0.10	0.00	1.61
0.72	0.54	3.22
0.80	0.58	2.89
0.71	0.49	3.00
0.41	0.27	2.64
0.80	0.67	1.39
0.67	0.48	3.04
0.58	0.38	2.94
0.30	0.21	2.48
0.67	0.52	3.18
0.69	0.56	2.64
0.80	0.62	2.89
1.00	1.00	1.10
0.76	0.58	3.00
0.66	0.41	2.64
0.83	0.64	2.48
0.79	0.60	2.94
0.64	0.43	1.95
0.60	0.42	3.30
0.78	0.60	2.40
0.53	0.36	2.89
0.60	0.43	2.08
0.69	0.52	2.77
0.55	0.35	2.77
0.69	0.49	2.83
0.80	0.67	1.39
0.49	0.37	3.26
0.63	0.45	2.89
0.49	0.33	1.79
0.63	0.45	2.64
0.72	0.53	2.77
-0.12	-0.11	2.20
0.70	0.50	2.77
0.58	0.41	2.89
0.68	0.50	2.77
0.59	0.39	2.71
0.64	0.49	2.56
0.38	0.26	3.22
0.45	0.36	2.08
0.32	0.20	3.18
0.56	0.37	3.43
0.90	0.80	1.61
0.32	0.24	2.30
0.89	0.73	1.79
0.56	0.35	3.22
0.63	0.48	2.48
0.82	0.67	2.48
0.40	0.33	1.39
0.66	0.47	2.30
0.45	0.33	2.20
0.65	0.49	2.89
0.71	0.50	3.18
0.58	0.42	3.14
0.40	0.40	1.61
0.48	0.32	2.83
0.68	0.52	3.09
0.82	0.59	2.56
0.58	0.41	3.47
0.40	0.28	3.50
0.88	0.72	2.20
1.00	1.00	1.10
0.40	0.33	1.39
0.61	0.44	3.26
0.41	0.30	2.71
0.75	0.52	2.71
0.75	0.63	2.64
0.50	0.32	3.04
0.51	0.35	3.18
0.72	0.52	3.18
0.60	0.44	2.20
0.37	0.28	2.20
0.83	0.63	3.18
0.79	0.62	1.95
0.41	0.27	3.00
0.70	0.54	3.30
0.40	0.27	3.14
0.53	0.44	2.56
0.58	0.44	2.20
1.00	1.00	1.39
0.70	0.49	3.56
0.67	0.45	2.48
0.57	0.40	3.71
0.74	0.51	3.00
0.73	0.56	2.56
0.54	0.33	1.79
0.63	0.49	3.04
1.00	1.00	0.69
0.40	0.33	1.39
0.81	0.64	2.56
0.62	0.42	3.22
0.36	0.24	3.18
0.25	0.20	2.40
0.49	0.31	3.26
0.77	0.57	2.89
0.50	0.33	1.10
0.82	0.63	2.77
0.74	0.57	2.08
0.80	0.61	2.20
0.24	0.18	3.40
0.50	0.33	1.10
0.49	0.33	1.79
0.64	0.50	2.71
0.18	0.14	2.89
0.65	0.56	2.40
0.40	0.25	3.33
0.75	0.60	2.30
-1.00	-1.00	0.69
0.75	0.60	2.40
0.71	0.47	2.64
0.49	0.34	2.64
0.12	0.06	3.43
0.64	0.45	3.18
0.50	0.36	3.56
-0.30	-0.20	1.61
0.51	0.33	3.64
1.00	1.00	1.39
0.30	0.20	1.61
0.69	0.47	3.14
0.68	0.51	2.30
0.80	0.67	1.39
0.60	0.40	1.61
0.83	0.63	3.04
1.00	1.00	1.39
0.74	0.56	2.89
0.67	0.44	3.09
0.81	0.64	2.08
0.74	0.64	2.08
0.83	0.67	2.20
0.52	0.37	3.22
0.37	0.29	2.89
0.65	0.41	2.83
1.00	1.00	1.10
0.53	0.37	2.71
0.79	0.58	3.00
0.40	0.30	2.71
0.78	0.60	2.94
0.27	0.22	2.71
0.59	0.43	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.69	0.52	2.77
0.64	0.43	1.95
-0.27	-0.19	2.83
0.91	0.74	2.56
0.55	0.35	2.71
0.47	0.33	2.20
1.00	1.00	1.10
-1.00	-1.00	0.69
0.68	0.49	2.64
0.50	0.33	1.10
0.31	0.21	3.00
-0.21	-0.14	1.95
0.20	0.07	1.79
0.25	0.17	3.33
0.63	0.45	3.14
0.90	0.80	1.61
0.63	0.49	2.56
0.66	0.49	2.64
1.00	1.00	1.10
0.05	0.06	3.26
0.40	0.33	1.39
0.45	0.31	3.04
0.64	0.45	2.89
0.96	0.85	2.71
0.76	0.60	2.64
-0.50	-0.33	1.10
0.86	0.70	2.48
1.00	1.00	0.69
0.75	0.54	2.83
0.80	0.60	2.40
0.50	0.33	1.10
-0.08	-0.04	3.30
0.28	0.18	3.22
0.78	0.60	2.64
0.60	0.43	2.77
0.64	0.50	2.71
0.73	0.48	2.77
0.62	0.60	2.30
0.60	0.40	1.61
0.71	0.54	2.64
0.30	0.24	2.40
0.79	0.64	2.08
0.64	0.46	3.00
0.62	0.46	3.18
1.00	1.00	0.69
0.52	0.42	2.48
0.87	0.73	2.48
0.66	0.54	2.64
0.62	0.46	3.09
0.61	0.49	2.56
0.79	0.60	3.00
0.44	0.34	3.14
0.32	0.24	2.89
0.64	0.46	3.56
0.43	0.29	2.08
1.00	1.00	1.61
0.53	0.34	3.47
0.35	0.24	2.89
1.00	1.00	0.69
0.48	0.35	3.22
0.80	0.59	2.89
0.65	0.47	2.30
0.76	0.57	2.08
0.44	0.33	2.71
0.34	0.27	3.18
0.86	0.71	1.95
0.81	0.64	2.71
0.69	0.50	3.30
0.63	0.42	3.14
0.51	0.35	3.61
0.79	0.61	3.22
0.74	0.53	3.50
0.55	0.38	2.30
0.12	0.09	3.09
0.55	0.38	2.40
0.41	0.31	2.40
0.63	0.44	3.58
0.64	0.42	2.40
0.72	0.51	3.87
0.54	0.39	2.94
0.61	0.49	2.40
0.66	0.46	3.14
0.60	0.43	3.22
0.49	0.32	2.77
0.72	0.51	2.30
0.74	0.56	3.47
0.52	0.41	2.71
0.68	0.43	2.83
0.56	0.36	3.97
0.69	0.45	2.48
0.68	0.44	2.20
0.63	0.45	3.43
0.79	0.60	2.94
0.62	0.44	3.30
0.81	0.65	2.64
0.74	0.57	2.08
0.78	0.64	2.40
0.67	0.50	2.71
0.59	0.41	3.43
0.21	0.14	2.08
0.73	0.51	2.83
0.70	0.49	3.22
0.74	0.58	2.77
0.48	0.36	2.08
-0.03	0.00	3.14
0.76	0.58	3.00
0.65	0.43	3.30
0.50	0.35	2.89
0.65	0.46	3.26
0.86	0.71	2.08
0.90	0.72	2.20
0.81	0.67	2.64
0.77	0.57	3.37
0.74	0.54	2.56
0.78	0.58	2.64
0.07	0.02	3.00
0.40	0.31	3.33
0.04	0.14	1.95
0.50	0.38	2.94
0.49	0.31	3.58
0.67	0.47	3.78
0.78	0.57	3.33
0.61	0.48	2.48
0.51	0.33	3.87
0.60	0.43	2.08
0.71	0.52	3.76
0.72	0.55	2.48
0.60	0.33	1.79
0.53	0.38	4.01
0.85	0.67	2.40
0.20	0.20	1.61
0.61	0.45	2.64
0.58	0.41	3.09
0.54	0.38	3.18
0.68	0.53	2.83
0.61	0.49	3.00
0.69	0.50	2.83
0.52	0.42	2.40
0.61	0.43	2.77
0.54	0.33	1.79
0.58	0.41	3.30
0.48	0.28	2.20
0.72	0.56	2.20
0.81	0.61	2.89
0.82	0.63	2.77
0.31	0.20	1.79
0.47	0.29	2.30
0.56	0.37	2.89
0.59	0.44	2.89
0.27	0.15	2.48
0.78	0.54	2.71
0.62	0.44	2.20
0.43	0.29	3.00
0.53	0.33	2.71
0.51	0.30	2.64
0.52	0.35	3.33
0.47	0.29	2.89
0.55	0.34	3.26
0.45	0.32	2.64
0.59	0.41	2.56
0.78	0.60	2.64
0.74	0.57	3.14
0.68	0.52	1.95
0.79	0.67	2.40
0.68	0.47	2.71
0.60	0.46	2.89
0.31	0.21	2.08
0.43	0.30	3.04
0.65	0.47	2.77
0.59	0.48	2.89
0.64	0.48	2.48
0.52	0.43	2.08
0.09	0.07	1.79
0.77	0.54	2.71
0.43	0.22	2.20
0.48	0.30	3.76
0.57	0.44	2.83
0.69	0.50	2.71
0.61	0.38	3.26
0.44	0.32	2.64
0.63	0.45	3.33
0.31	0.21	3.53
0.65	0.43	3.40
0.49	0.37	3.14
0.67	0.48	3.04
0.29	0.18	2.77
0.21	0.15	3.14
0.51	0.33	3.14
0.68	0.43	3.37
0.62	0.48	3.04
0.72	0.54	2.64
0.86	0.70	3.04
0.74	0.52	3.30
0.86	0.70	2.48
0.76	0.53	3.33
0.69	0.53	2.94
0.61	0.41	3.69
0.58	0.35	2.89
0.37	0.25	3.47
0.66	0.44	3.66
0.74	0.53	3.40
0.67	0.51	2.94
0.60	0.41	3.69
0.65	0.45	2.64
0.59	0.40	2.77
0.58	0.40	3.99
0.31	0.18	3.26
0.64	0.47	3.18
0.65	0.43	3.09
0.76	0.55	2.77
0.84	0.71	2.40
0.59	0.42	3.43
0.51	0.40	2.94
0.71	0.51	2.83
0.67	0.42	2.89
0.61	0.52	1.95
0.56	0.35	3.56
0.55	0.36	2.56
0.58	0.41	2.71
0.42	0.31	3.47
0.57	0.43	3.50
0.41	0.24	2.30
0.61	0.37	2.94
0.41	0.28	3.37
0.83	0.73	1.79
0.13	0.10	3.14
0.71	0.56	2.30
0.80	0.60	1.61
0.82	0.69	2.56
0.65	0.42	2.40
0.46	0.32	2.64
0.50	0.33	3.33
0.63	0.37	2.71
0.79	0.64	2.30
0.62	0.41	3.00
0.81	0.62	2.56
0.38	0.30	2.48
0.09	0.07	1.79
0.33	0.23	3.87
0.81	0.61	3.00
0.46	0.29	3.64
0.54	0.38	2.94
0.64	0.41	2.83
0.92	0.74	2.56
0.49	0.37	3.09
0.79	0.62	2.83
0.62	0.44	3.22
0.72	0.49	2.71
0.66	0.43	2.83
0.88	0.78	2.20
0.63	0.42	2.77
0.68	0.50	2.77
0.51	0.36	3.43
0.72	0.51	3.22
0.82	0.61	2.89
0.76	0.56	2.89
0.66	0.46	2.56
0.64	0.47	2.77
0.65	0.47	3.09
0.70	0.47	3.30
0.53	0.37	3.30
0.86	0.67	2.64
0.13	0.09	3.47
0.72	0.56	2.20
0.64	0.44	3.00
0.58	0.38	2.56
0.73	0.54	3.58
0.50	0.33	3.00
0.45	0.29	3.87
0.34	0.20	2.40
0.71	0.47	1.79
0.53	0.37	3.33
0.61	0.38	3.18
0.59	0.40	3.09
0.42	0.31	2.89
0.82	0.59	2.56
0.67	0.47	3.22
0.27	0.21	2.64
-0.43	-0.33	1.79
0.89	0.73	1.79
0.74	0.56	3.22
0.49	0.35	3.22
0.68	0.52	2.64
0.57	0.39	3.30
0.44	0.24	2.30
0.64	0.45	3.00
0.55	0.36	2.08
0.69	0.52	2.71
0.79	0.60	2.30
0.73	0.59	2.56
0.66	0.45	2.71
0.34	0.21	3.00
0.76	0.61	2.48
0.77	0.53	2.83
0.63	0.41	3.00
0.58	0.36	3.28
0.58	0.38	2.56
0.73	0.52	2.48
0.68	0.50	3.50
0.76	0.56	2.89
0.37	0.25	3.50
0.49	0.30	2.48
0.63	0.43	3.33
0.63	0.44	3.76
0.48	0.32	3.22
0.41	0.26	3.26
0.36	0.23	3.09
0.69	0.50	3.50
0.62	0.43	3.40
0.15	0.09	2.48
0.70	0.51	2.56
0.76	0.61	2.48
0.61	0.43	2.83
0.76	0.56	2.40
0.54	0.47	1.79
0.48	0.36	3.00
0.72	0.54	3.50
0.49	0.32	2.64
0.82	0.64	2.56
0.42	0.30	3.43
0.20	0.16	3.26
0.40	0.22	2.71
0.50	0.39	2.20
0.30	0.18	3.04
0.65	0.47	3.22
0.28	0.22	2.83
0.67	0.44	2.83
0.57	0.40	3.30
0.74	0.54	2.64
0.52	0.38	2.30
0.86	0.71	2.71
0.49	0.38	2.64
0.60	0.47	1.79
0.67	0.50	2.20
0.74	0.55	3.09
0.30	0.28	2.20
0.52	0.41	2.56
1.00	1.00	2.20
0.71	0.53	2.83
0.92	0.82	2.48
0.83	0.63	2.83
0.52	0.33	2.20
1.00	1.00	0.69
0.52	0.39	3.09
0.22	0.17	2.20
0.30	0.18	2.71
0.50	0.33	1.10
0.43	0.29	2.08
0.94	0.79	2.48
0.57	0.43	1.95
0.79	0.59	3.14
1.00	1.00	0.69
0.79	0.60	3.00
0.69	0.50	3.04
0.57	0.43	2.08
0.57	0.40	3.18
-0.07	-0.05	1.95
0.73	0.53	2.89
0.73	0.52	3.09
0.54	0.41	3.09
0.79	0.62	2.56
0.15	0.13	3.22
0.56	0.40	2.89
0.48	0.38	2.83
0.53	0.38	2.83
0.17	0.15	2.48
0.60	0.40	1.61
0.50	0.36	2.48
0.80	0.64	2.48
0.68	0.50	3.47
0.50	0.33	1.10
0.53	0.41	3.00
0.91	0.77	2.56
0.78	0.59	2.83
0.44	0.35	2.77
0.43	0.43	1.95
0.80	0.60	2.71
-0.20	-0.20	1.61
0.18	0.13	2.40
0.66	0.55	2.48
1.00	1.00	1.10
0.56	0.33	2.77
0.75	0.52	3.33
-0.21	-0.14	1.95
0.37	0.28	2.89
0.80	0.67	2.48
0.37	0.27	3.00
0.55	0.35	2.40
0.77	0.60	2.30
0.71	0.53	3.04
0.94	0.88	2.48
0.64	0.47	2.64
0.67	0.51	2.30
0.78	0.57	2.94
0.85	0.68	2.83
0.27	0.22	2.20
0.72	0.58	2.71
0.26	0.16	2.64
0.57	0.42	3.30
0.65	0.52	2.71
0.28	0.23	3.00
0.49	0.38	2.30
0.67	0.47	3.00
0.63	0.50	2.20
0.71	0.54	2.56
0.72	0.53	3.14
0.78	0.61	2.20
0.28	0.19	3.22
0.71	0.52	2.64
0.66	0.48	2.48
0.30	0.19	3.22
0.66	0.48	3.14
