Spearman	Kendall	MutualInformation
0.13	0.08	3.09
0.48	0.36	3.09
0.70	0.52	2.77
0.90	0.80	1.61
0.60	0.44	2.56
0.54	0.42	2.77
0.53	0.39	2.48
0.77	0.60	2.40
0.65	0.45	3.00
0.52	0.39	2.89
0.82	0.71	1.95
0.29	0.24	1.95
0.81	0.64	2.08
-1.00	-1.00	0.69
0.65	0.49	2.94
0.80	0.60	1.61
0.46	0.31	3.00
0.89	0.73	1.79
0.74	0.58	2.77
0.77	0.60	1.79
0.14	0.03	2.48
0.57	0.43	2.08
0.42	0.28	2.20
0.30	0.24	3.04
0.32	0.24	1.95
0.76	0.56	2.30
-0.09	-0.20	1.79
0.67	0.50	2.08
0.90	0.80	1.61
0.52	0.31	2.56
0.70	0.50	2.20
1.00	1.00	0.69
-0.09	-0.06	2.83
1.00	1.00	1.10
0.89	0.73	1.79
0.63	0.50	2.20
0.77	0.60	1.79
0.61	0.45	2.40
0.55	0.41	2.83
0.18	0.16	2.40
0.07	0.05	1.95
0.83	0.67	2.48
0.09	0.20	1.79
0.60	0.47	1.79
0.65	0.48	3.37
0.18	0.14	3.14
0.50	0.33	1.10
0.57	0.39	3.18
0.76	0.57	3.43
0.41	0.26	2.56
0.41	0.31	2.40
0.53	0.38	2.77
0.29	0.14	2.08
0.68	0.52	1.95
0.41	0.31	2.56
0.40	0.31	3.09
0.67	0.60	2.30
0.79	0.58	2.64
0.57	0.39	3.69
0.56	0.38	3.43
0.66	0.51	3.37
0.62	0.45	2.71
0.07	0.06	2.94
0.61	0.41	3.18
0.60	0.52	2.64
0.60	0.51	2.56
0.53	0.33	3.18
0.10	0.06	2.20
0.73	0.53	3.14
0.64	0.45	2.48
0.67	0.49	2.56
0.58	0.40	3.58
0.84	0.65	3.08
0.83	0.66	2.71
0.46	0.28	2.77
0.71	0.57	3.00
0.80	0.67	1.39
0.45	0.34	2.64
0.63	0.44	3.26
0.66	0.60	1.79
-0.30	-0.20	2.30
0.45	0.43	2.08
0.74	0.53	2.94
0.52	0.38	3.04
-0.40	-0.33	1.39
0.62	0.44	3.14
0.60	0.47	2.94
0.76	0.62	2.71
0.61	0.45	2.40
0.62	0.42	2.40
0.62	0.45	3.00
0.75	0.62	2.56
0.76	0.60	3.30
0.56	0.33	2.71
0.63	0.46	2.56
0.76	0.57	3.14
0.48	0.34	2.64
0.71	0.47	2.30
0.73	0.55	3.00
0.93	0.77	3.00
0.44	0.30	3.04
0.22	0.13	2.77
0.44	0.24	2.30
0.72	0.51	3.22
0.34	0.16	2.64
0.63	0.46	3.33
0.51	0.34	3.37
0.76	0.54	2.56
-0.05	0.00	2.20
0.47	0.34	2.64
0.03	-0.02	2.40
1.00	1.00	1.10
0.78	0.59	3.26
0.54	0.33	2.56
0.37	0.28	2.89
0.82	0.62	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.57	0.43	3.26
0.33	0.24	3.30
0.55	0.43	2.77
0.54	0.38	3.26
0.36	0.24	2.71
0.67	0.47	3.22
0.05	0.05	2.56
nan	nan	0.00
0.54	0.43	1.95
0.47	0.33	2.71
0.60	0.40	1.61
0.47	0.35	3.22
0.47	0.36	2.89
0.76	0.61	3.00
0.44	0.34	2.64
1.00	1.00	1.39
0.51	0.34	3.04
0.64	0.46	2.94
-0.01	0.06	2.48
0.55	0.41	3.18
0.79	0.65	2.64
0.67	0.48	2.89
1.00	1.00	1.10
0.45	0.34	3.00
0.63	0.45	2.64
0.70	0.58	2.48
0.69	0.50	2.94
0.86	0.71	1.95
0.76	0.54	3.30
0.65	0.49	2.40
0.29	0.19	2.89
0.50	0.36	2.08
0.67	0.52	2.77
0.60	0.43	2.77
0.66	0.44	2.83
0.60	0.33	1.39
0.55	0.42	3.26
0.36	0.24	2.89
0.54	0.47	1.79
0.83	0.69	2.64
0.54	0.42	2.77
0.12	0.06	2.20
0.47	0.32	2.77
0.59	0.40	2.89
0.55	0.43	2.77
0.20	0.16	2.71
0.46	0.36	2.56
0.76	0.58	3.22
0.50	0.43	2.08
0.51	0.39	3.18
0.61	0.40	3.43
0.90	0.80	1.61
0.42	0.29	2.30
0.94	0.87	1.79
0.80	0.61	3.22
0.38	0.30	2.48
0.59	0.42	2.48
-0.20	0.00	1.39
0.58	0.38	2.30
0.47	0.33	2.20
0.41	0.27	2.89
0.57	0.42	3.18
0.76	0.57	3.14
0.90	0.80	1.61
0.28	0.24	2.83
0.62	0.39	3.09
0.80	0.59	2.56
0.41	0.29	3.47
0.47	0.32	3.50
0.87	0.67	2.20
0.50	0.33	1.10
0.80	0.67	1.39
0.36	0.27	3.26
0.79	0.62	2.71
0.79	0.60	2.71
0.83	0.69	2.64
0.61	0.44	3.04
0.37	0.28	3.18
0.66	0.49	3.18
