Spearman	Kendall	MutualInformation
0.38	0.28	3.09
0.32	0.28	3.09
0.45	0.27	2.77
0.70	0.60	1.61
0.58	0.46	2.56
0.71	0.53	2.77
0.25	0.18	2.48
0.48	0.38	2.40
0.29	0.23	3.00
0.28	0.18	2.89
0.86	0.71	1.95
0.43	0.33	1.95
0.86	0.71	2.08
1.00	1.00	0.69
0.44	0.32	2.94
0.80	0.60	1.61
0.36	0.25	3.00
0.14	0.07	1.79
0.78	0.62	2.77
0.77	0.60	1.79
0.02	-0.06	2.48
0.52	0.36	2.08
0.48	0.33	2.20
0.54	0.42	3.04
0.32	0.24	1.95
0.64	0.51	2.30
0.54	0.47	1.79
0.29	0.21	2.08
0.90	0.80	1.61
-0.16	-0.13	2.56
0.37	0.28	2.20
1.00	1.00	0.69
0.13	0.06	2.83
0.50	0.33	1.10
0.94	0.87	1.79
0.03	0.00	2.20
0.83	0.73	1.79
0.03	-0.02	2.40
0.56	0.43	2.83
0.05	-0.02	2.40
0.43	0.33	1.95
0.66	0.48	2.48
0.20	0.07	1.79
0.66	0.47	1.79
0.22	0.14	3.37
0.38	0.25	3.14
0.50	0.33	1.10
0.60	0.43	3.18
0.45	0.31	3.43
0.29	0.18	2.56
0.46	0.31	2.40
0.30	0.23	2.77
-0.40	-0.21	2.08
0.18	0.05	1.95
0.55	0.36	2.56
0.44	0.29	3.09
0.72	0.51	2.30
0.44	0.34	2.64
0.16	0.12	3.69
0.45	0.31	3.43
0.54	0.42	3.37
0.66	0.52	2.71
0.20	0.17	2.94
0.56	0.38	3.18
0.52	0.38	2.64
-0.09	-0.08	2.56
0.57	0.41	3.18
0.25	0.17	2.20
0.66	0.46	3.14
0.57	0.33	2.48
0.33	0.21	2.56
0.46	0.30	3.58
0.58	0.38	3.08
0.39	0.24	2.71
0.22	0.17	2.77
0.30	0.22	3.00
1.00	1.00	1.39
0.53	0.38	2.64
0.27	0.22	3.26
0.77	0.60	1.79
0.36	0.24	2.30
-0.21	-0.14	2.08
0.15	0.11	2.94
