Spearman	Kendall	MutualInformation
0.29	0.18	2.77
-0.30	-0.20	1.61
-0.64	-0.43	2.08
nan	nan	0.00
0.02	0.01	2.94
0.00	0.20	1.61
-0.43	-0.47	1.79
-0.03	0.07	1.79
-0.48	-0.43	2.08
-0.13	-0.06	2.20
-0.57	-0.43	1.95
-0.03	0.07	1.79
-0.05	0.00	2.08
0.14	0.08	2.56
0.23	0.28	2.20
-0.37	-0.28	2.20
-0.89	-0.73	1.79
-0.30	-0.24	2.40
-0.06	-0.09	2.40
-0.50	-0.43	1.95
-0.26	-0.20	1.79
-1.00	-1.00	1.10
-0.34	-0.24	3.18
0.05	0.02	2.40
0.03	0.02	3.09
0.02	0.01	2.64
-0.67	-0.49	2.56
0.52	0.41	3.18
0.17	0.17	2.20
0.17	0.12	3.58
0.18	0.14	2.71
-0.40	-0.33	1.39
-0.14	-0.21	2.08
0.13	0.10	2.94
0.05	0.02	2.40
0.55	0.44	2.56
-0.20	-0.14	2.64
-0.02	-0.07	2.30
-0.14	-0.19	2.64
0.33	0.25	3.33
0.07	0.05	2.40
-0.50	-0.33	1.10
0.07	0.06	2.89
nan	nan	0.00
-0.42	-0.22	2.71
-0.21	-0.13	2.94
0.57	0.45	2.48
-1.00	-1.00	1.10
-0.37	-0.26	3.00
-0.36	-0.33	1.95
-0.80	-0.67	1.39
0.15	0.12	3.26
-0.03	0.00	2.20
-0.09	-0.03	2.77
-0.45	-0.29	2.08
-0.30	-0.20	1.61
-0.26	-0.20	1.79
-0.40	-0.33	1.39
-0.40	-0.40	1.61
0.35	0.25	3.50
-0.47	-0.44	2.20
-1.00	-1.00	1.39
0.14	0.10	2.71
-0.28	-0.22	3.18
-0.30	-0.22	2.20
-0.05	-0.04	3.56
nan	nan	0.00
-0.40	-0.33	1.39
0.08	0.08	2.56
0.37	0.23	3.26
-0.30	-0.18	2.77
0.05	0.03	2.89
0.01	0.02	2.40
-0.50	-0.40	1.61
-0.37	-0.29	2.30
-0.24	-0.21	2.08
-0.50	-0.33	1.10
-1.00	-1.00	1.10
0.04	0.03	2.83
-1.00	-1.00	1.10
0.55	0.39	3.00
-0.21	-0.14	1.95
-0.31	-0.20	1.79
0.01	0.02	2.30
-0.32	-0.28	2.56
0.12	0.12	2.64
-0.50	-0.33	1.10
nan	nan	0.00
-0.16	-0.09	2.40
-0.50	-0.33	1.10
0.04	0.05	3.22
0.21	0.23	2.64
-0.20	-0.20	1.61
nan	nan	0.00
0.27	0.19	2.64
-0.29	-0.19	3.00
0.07	0.05	3.47
nan	nan	0.00
0.20	0.16	3.22
-0.29	-0.21	2.08
-0.21	-0.21	2.08
-0.80	-0.60	1.61
-0.85	-0.72	2.20
-0.57	-0.42	2.40
-0.09	-0.07	1.79
-0.63	-0.56	2.20
-0.43	-0.31	2.56
-0.77	-0.60	1.79
-0.67	-0.51	2.30
-0.74	-0.57	2.08
-0.09	-0.05	2.56
-0.25	-0.15	2.48
-0.14	-0.07	1.79
-0.50	-0.33	1.10
-0.36	-0.28	2.56
-0.51	-0.37	2.89
0.07	0.06	2.48
-0.50	-0.33	1.10
0.70	0.60	1.61
-0.39	-0.24	2.40
0.36	0.33	1.95
0.24	0.24	2.40
0.10	0.17	2.20
0.20	0.17	2.20
-0.09	-0.04	3.14
-0.71	-0.52	1.95
-0.46	-0.39	2.89
0.40	0.32	2.89
0.50	0.33	1.10
-0.10	-0.03	2.48
-0.20	-0.15	2.56
-0.38	-0.24	2.48
0.20	0.00	1.39
0.48	0.38	2.30
-0.20	0.00	1.39
-0.32	-0.22	2.71
-0.40	-0.40	1.61
0.04	0.03	3.43
0.09	0.07	1.79
0.50	0.20	1.61
0.09	0.02	2.30
-0.40	-0.36	2.08
-0.50	-0.33	1.10
-0.25	-0.16	2.40
-0.29	-0.24	1.95
0.12	0.12	2.83
-0.25	-0.24	2.40
-0.11	-0.07	2.77
0.14	0.10	2.83
-0.14	-0.05	1.95
