Spearman	Kendall	MutualInformation
0.42	0.31	3.09
0.62	0.39	3.09
0.74	0.62	2.77
0.70	0.60	1.61
0.65	0.46	2.56
0.79	0.62	2.77
0.71	0.58	2.48
0.65	0.38	2.40
0.63	0.53	3.00
0.50	0.40	2.89
0.82	0.62	1.95
0.57	0.43	1.95
0.79	0.64	2.08
-1.00	-1.00	0.69
0.54	0.42	2.94
0.60	0.40	1.61
0.53	0.37	3.00
0.31	0.20	1.79
0.77	0.60	2.77
0.49	0.33	1.79
0.21	0.12	2.48
0.24	0.21	2.08
0.77	0.50	2.20
0.31	0.26	3.04
0.21	0.14	1.95
0.92	0.78	2.30
0.37	0.33	1.79
0.76	0.64	2.08
0.80	0.60	1.61
0.61	0.54	2.56
0.82	0.67	2.20
1.00	1.00	0.69
0.64	0.46	2.83
1.00	1.00	1.10
0.60	0.47	1.79
0.30	0.17	2.20
0.60	0.47	1.79
0.16	0.13	2.40
0.71	0.51	2.83
0.38	0.35	2.40
0.57	0.43	1.95
0.71	0.52	2.48
0.89	0.73	1.79
0.77	0.60	1.79
0.58	0.41	3.37
0.03	0.04	3.14
0.50	0.33	1.10
0.69	0.46	3.18
0.74	0.51	3.43
0.81	0.64	2.56
0.51	0.42	2.40
0.70	0.55	2.77
0.19	0.14	2.08
0.75	0.62	1.95
0.53	0.38	2.56
0.61	0.40	3.09
0.73	0.51	2.30
0.58	0.45	2.64
0.46	0.33	3.28
0.63	0.43	3.43
0.67	0.49	3.37
0.70	0.50	2.71
0.25	0.19	2.94
0.69	0.50	3.18
0.82	0.65	2.64
0.86	0.67	2.56
0.55	0.41	3.18
0.90	0.72	2.20
0.73	0.53	3.14
0.78	0.55	2.48
0.57	0.44	2.56
0.54	0.38	3.58
0.61	0.38	3.08
0.37	0.22	2.71
0.73	0.52	2.77
0.46	0.35	3.00
1.00	1.00	1.39
0.79	0.60	2.64
0.56	0.38	3.26
0.83	0.73	1.79
-0.52	-0.38	2.30
0.76	0.57	2.08
0.44	0.29	2.94
0.62	0.43	3.04
0.00	0.00	1.39
0.74	0.56	3.14
0.63	0.43	2.94
0.50	0.26	2.71
0.74	0.56	2.40
0.48	0.35	2.40
0.55	0.39	3.00
0.70	0.46	2.56
0.70	0.49	3.30
0.56	0.39	2.71
0.56	0.46	2.56
0.70	0.50	3.14
0.73	0.54	2.64
0.68	0.47	2.30
0.71	0.52	3.00
0.76	0.57	3.00
0.58	0.40	3.04
0.70	0.52	2.77
0.84	0.64	2.30
