Spearman	Kendall	MutualInformation
0.65	0.45	3.09
0.56	0.42	3.09
0.69	0.55	2.77
0.60	0.40	1.61
0.43	0.33	2.56
0.80	0.62	2.77
0.54	0.39	2.48
0.68	0.56	2.40
0.50	0.37	3.00
0.57	0.41	2.89
0.86	0.71	1.95
0.71	0.52	1.95
0.69	0.50	2.08
1.00	1.00	0.69
0.56	0.39	2.94
0.70	0.60	1.61
0.59	0.41	3.00
0.83	0.73	1.79
0.69	0.55	2.77
0.60	0.47	1.79
0.27	0.15	2.48
0.86	0.79	2.08
0.68	0.50	2.20
0.64	0.44	3.04
0.75	0.62	1.95
0.81	0.69	2.30
0.60	0.47	1.79
0.83	0.71	2.08
0.80	0.60	1.61
0.41	0.33	2.56
0.70	0.50	2.20
1.00	1.00	0.69
0.41	0.28	2.83
1.00	1.00	1.10
0.94	0.87	1.79
0.65	0.50	2.20
0.77	0.60	1.79
0.30	0.20	2.40
0.58	0.47	2.83
0.60	0.42	2.40
0.71	0.52	1.95
0.80	0.67	2.48
0.71	0.60	1.79
0.43	0.20	1.79
0.67	0.47	3.37
0.34	0.24	3.14
0.50	0.33	1.10
0.56	0.41	3.18
0.75	0.57	3.43
0.65	0.46	2.56
0.51	0.35	2.40
0.71	0.53	2.77
0.17	0.07	2.08
0.93	0.81	1.95
0.51	0.36	2.56
0.53	0.33	3.09
0.70	0.51	2.30
0.56	0.41	2.64
0.58	0.43	3.69
0.41	0.28	3.43
0.79	0.60	3.37
0.77	0.60	2.71
0.67	0.50	2.94
0.76	0.56	3.18
0.71	0.52	2.64
0.64	0.49	2.56
0.69	0.53	3.18
0.77	0.61	2.20
0.61	0.42	3.14
0.74	0.52	2.48
0.68	0.46	2.56
0.58	0.39	3.58
0.74	0.50	3.08
0.60	0.49	2.71
0.73	0.53	2.77
0.66	0.48	3.00
1.00	1.00	1.39
0.91	0.74	2.64
0.61	0.45	3.26
0.77	0.60	1.79
-0.05	-0.07	2.30
0.36	0.29	2.08
0.51	0.37	2.94
0.72	0.51	3.04
0.80	0.67	1.39
0.48	0.33	3.14
0.76	0.61	2.94
0.86	0.71	2.71
0.88	0.71	2.40
0.37	0.27	2.40
0.77	0.57	3.00
0.76	0.59	2.56
0.62	0.43	3.30
0.69	0.49	2.71
0.70	0.54	2.56
0.69	0.52	3.14
0.69	0.52	2.64
0.67	0.51	2.30
0.61	0.43	3.00
0.72	0.49	3.00
0.72	0.52	3.04
0.59	0.38	2.77
0.65	0.47	2.30
0.69	0.48	3.22
0.53	0.38	2.64
0.53	0.35	3.33
0.78	0.59	3.37
0.87	0.72	2.56
0.13	0.00	2.20
0.65	0.47	2.64
0.69	0.60	2.40
1.00	1.00	1.10
0.83	0.65	3.26
0.71	0.49	2.56
0.54	0.36	2.89
0.54	0.33	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.54	0.38	3.26
0.55	0.41	3.30
0.61	0.47	2.77
0.61	0.39	3.26
0.17	0.12	2.71
0.74	0.56	3.22
0.60	0.46	2.56
nan	nan	0.00
0.50	0.33	1.95
0.78	0.62	2.71
-0.30	-0.20	1.61
0.69	0.52	3.22
0.63	0.45	2.89
0.65	0.51	3.00
0.48	0.36	2.64
0.40	0.33	1.39
0.51	0.37	3.04
0.75	0.57	2.94
0.04	-0.03	2.48
0.74	0.57	3.18
0.69	0.52	2.64
0.68	0.48	2.89
1.00	1.00	1.10
0.72	0.51	3.00
0.74	0.54	2.64
0.83	0.70	2.48
0.75	0.58	2.94
0.86	0.71	1.95
0.66	0.44	3.30
0.69	0.49	2.40
0.55	0.37	2.89
0.64	0.50	2.08
0.78	0.60	2.77
0.66	0.50	2.77
0.66	0.49	2.83
0.40	0.33	1.39
0.73	0.56	3.26
0.50	0.36	2.89
0.83	0.73	1.79
0.72	0.54	2.64
0.83	0.63	2.77
0.07	0.06	2.20
0.52	0.33	2.77
0.61	0.37	2.89
0.73	0.57	2.77
0.60	0.41	2.71
0.64	0.46	2.56
0.45	0.32	3.22
