Spearman	Kendall	MutualInformation
0.13	0.13	3.09
-0.19	-0.13	3.09
0.28	0.20	2.77
0.00	-0.20	1.61
0.26	0.15	2.56
0.59	0.45	2.77
0.33	0.21	2.48
0.15	0.05	2.40
-0.09	-0.07	3.00
0.42	0.28	2.89
0.96	0.90	1.95
0.43	0.24	1.95
0.02	0.07	2.08
1.00	1.00	0.69
0.05	0.01	2.94
0.00	-0.20	1.61
-0.03	-0.06	3.00
-0.14	-0.07	1.79
0.72	0.60	2.77
0.37	0.20	1.79
-0.20	-0.18	2.48
-0.40	-0.36	2.08
-0.08	0.00	2.20
0.23	0.16	3.04
0.18	0.14	1.95
0.18	0.16	2.30
-0.14	-0.07	1.79
-0.05	0.00	2.08
0.80	0.60	1.61
-0.23	-0.18	2.56
-0.30	-0.17	2.20
1.00	1.00	0.69
-0.00	-0.01	2.83
1.00	1.00	1.10
0.43	0.33	1.79
0.37	0.22	2.20
-0.71	-0.60	1.79
-0.59	-0.45	2.40
0.48	0.29	2.83
-0.27	-0.16	2.40
0.29	0.24	1.95
0.63	0.39	2.48
-0.03	0.07	1.79
-0.09	-0.20	1.79
0.08	0.06	3.37
0.12	0.10	3.14
-0.50	-0.33	1.10
0.24	0.16	3.18
-0.12	-0.07	3.39
0.44	0.36	2.56
0.35	0.20	2.40
-0.21	-0.13	2.77
-0.45	-0.36	2.08
-0.39	-0.33	1.95
0.20	0.13	2.56
-0.14	-0.11	3.09
0.22	0.11	2.30
-0.08	-0.05	2.64
-0.02	-0.02	3.65
0.00	0.05	3.43
0.42	0.29	3.37
0.41	0.30	2.71
0.14	0.11	2.94
0.29	0.21	3.18
0.34	0.21	2.64
-0.19	-0.18	2.56
-0.08	-0.04	3.18
-0.18	-0.11	2.20
0.49	0.37	3.14
-0.20	-0.15	2.48
0.01	-0.03	2.56
0.13	0.08	3.58
0.38	0.25	3.08
0.47	0.30	2.71
0.15	0.13	2.77
-0.09	-0.07	3.00
0.40	0.33	1.39
0.43	0.27	2.64
0.04	0.02	3.26
0.20	0.07	1.79
0.58	0.38	2.30
-0.07	-0.07	2.08
-0.39	-0.23	2.94
0.42	0.30	3.04
-0.60	-0.33	1.39
0.02	-0.00	3.14
0.18	0.12	2.94
0.27	0.20	2.71
0.38	0.31	2.40
-0.40	-0.24	2.40
0.02	0.02	3.00
0.46	0.33	2.56
0.00	0.01	3.30
0.36	0.24	2.71
0.62	0.49	2.56
0.62	0.45	3.14
-0.34	-0.30	2.64
-0.16	-0.07	2.30
0.42	0.26	3.00
0.23	0.09	3.00
-0.03	-0.03	3.04
-0.06	-0.03	2.77
0.02	-0.07	2.30
-0.11	-0.05	3.22
0.05	0.03	2.64
-0.35	-0.30	3.33
0.21	0.12	3.37
0.29	0.13	2.56
-0.35	-0.33	2.20
0.68	0.49	2.64
-0.03	0.02	2.40
-1.00	-1.00	1.10
0.26	0.19	3.26
0.60	0.38	2.56
-0.58	-0.40	2.89
0.32	0.24	1.95
0.50	0.33	1.10
-1.00	-1.00	0.69
0.36	0.22	3.26
0.13	0.10	3.30
0.16	0.10	2.77
0.26	0.17	3.26
0.18	0.10	2.71
0.49	0.35	3.22
0.45	0.28	2.56
nan	nan	0.00
-0.25	-0.24	1.95
-0.80	-0.56	2.71
-0.70	-0.60	1.61
0.30	0.22	3.22
0.06	0.02	2.89
0.35	0.26	3.00
0.13	0.05	2.64
0.40	0.33	1.39
0.15	0.11	3.04
-0.45	-0.30	2.94
-0.31	-0.18	2.48
0.59	0.43	3.18
0.09	0.01	2.64
0.13	0.05	2.89
-1.00	-1.00	1.10
0.46	0.32	3.00
0.04	0.01	2.64
-0.26	-0.18	2.48
0.30	0.20	2.94
-0.50	-0.33	1.95
0.23	0.21	3.30
0.35	0.24	2.40
0.30	0.24	2.89
0.24	0.21	2.08
0.35	0.27	2.77
0.12	0.05	2.77
0.11	0.06	2.83
-0.40	-0.33	1.39
0.31	0.26	3.26
-0.11	-0.07	2.89
0.54	0.47	1.79
-0.42	-0.30	2.64
0.73	0.53	2.77
-0.68	-0.61	2.20
-0.15	-0.05	2.77
0.26	0.18	2.89
0.26	0.18	2.77
0.22	0.16	2.71
0.53	0.49	2.56
0.28	0.15	3.22
-0.07	-0.07	2.08
-0.01	-0.02	3.18
0.26	0.20	3.43
-0.80	-0.60	1.61
0.04	-0.02	2.30
-0.37	-0.33	1.79
-0.08	-0.09	3.22
0.21	0.21	2.48
0.01	0.06	2.48
-1.00	-1.00	1.39
0.27	0.20	2.30
0.02	0.06	2.20
-0.29	-0.19	2.89
0.04	0.04	3.18
0.12	0.10	3.14
0.90	0.80	1.61
-0.41	-0.26	2.83
0.35	0.23	3.09
-0.07	-0.05	2.56
0.12	0.08	3.47
0.09	0.06	3.50
-0.05	-0.06	2.20
-1.00	-1.00	1.10
-1.00	-1.00	1.39
-0.15	-0.11	3.26
0.40	0.24	2.71
0.56	0.41	2.71
0.05	0.03	2.64
0.60	0.45	3.04
0.43	0.31	3.18
0.10	0.04	3.18
0.60	0.44	2.20
-0.03	-0.06	2.20
0.25	0.17	3.18
0.79	0.62	1.95
0.51	0.37	3.00
0.34	0.25	3.30
-0.13	-0.11	3.14
-0.09	-0.05	2.56
0.13	0.00	2.20
0.80	0.67	1.39
0.23	0.14	3.56
0.34	0.18	2.48
0.03	0.02	3.60
0.39	0.29	3.00
0.47	0.33	2.56
0.94	0.87	1.79
-0.06	-0.01	3.04
1.00	1.00	0.69
-0.80	-0.67	1.39
0.52	0.41	2.56
0.53	0.41	3.22
-0.10	-0.07	3.18
-0.30	-0.20	2.40
-0.12	-0.08	3.26
0.27	0.16	2.89
0.50	0.33	1.10
0.14	0.08	2.77
0.00	0.07	2.08
0.40	0.33	2.20
0.33	0.23	3.40
-0.50	-0.33	1.10
-0.71	-0.60	1.79
0.10	0.09	2.71
-0.68	-0.52	2.89
-0.46	-0.35	2.40
0.24	0.19	3.33
0.31	0.20	2.30
1.00	1.00	0.69
0.48	0.35	2.40
-0.08	-0.03	2.64
-0.03	-0.01	2.64
0.12	0.06	3.43
0.34	0.25	3.18
0.23	0.17	3.56
0.50	0.40	1.61
0.04	0.03	3.64
0.20	0.00	1.39
-0.40	-0.40	1.61
0.39	0.22	3.14
-0.43	-0.33	2.30
-0.20	0.00	1.39
0.60	0.40	1.61
0.42	0.33	3.04
0.20	0.00	1.39
0.23	0.16	2.89
0.24	0.16	3.09
0.17	0.14	2.08
-0.19	-0.14	2.08
0.32	0.22	2.20
0.20	0.15	3.22
0.42	0.28	2.89
0.44	0.29	2.83
0.50	0.33	1.10
0.18	0.16	2.71
0.05	0.03	3.00
-0.06	-0.05	2.71
0.32	0.22	2.94
-0.01	-0.05	2.71
0.32	0.22	3.22
0.50	0.33	1.10
-1.00	-1.00	1.10
-0.06	-0.03	2.77
0.43	0.33	1.95
-0.08	-0.04	2.83
0.48	0.33	2.56
0.52	0.33	2.71
0.05	0.00	2.20
0.50	0.33	1.10
1.00	1.00	0.69
-0.06	-0.05	2.64
0.50	0.33	1.10
0.39	0.27	3.00
0.43	0.33	1.95
0.43	0.20	1.79
0.01	0.02	3.33
-0.10	-0.07	3.14
1.00	1.00	1.61
0.34	0.23	2.56
0.13	0.16	2.64
0.50	0.33	1.10
0.23	0.15	3.26
-0.60	-0.33	1.39
0.53	0.31	3.04
0.28	0.18	2.89
0.55	0.45	2.71
-0.05	-0.01	2.64
-1.00	-1.00	1.10
0.54	0.36	2.48
-1.00	-1.00	0.69
0.26	0.15	2.83
-0.22	-0.16	2.40
-0.50	-0.33	1.10
0.35	0.25	3.30
0.00	0.00	3.22
0.35	0.23	2.64
-0.20	-0.18	2.77
-0.05	-0.07	2.71
0.19	0.12	2.77
0.02	-0.11	2.30
0.30	0.20	1.61
0.63	0.45	2.64
-0.04	-0.05	2.40
0.38	0.29	2.08
0.24	0.15	3.00
-0.15	-0.10	3.18
1.00	1.00	0.69
0.40	0.30	2.48
-0.40	-0.27	2.48
-0.30	-0.16	2.64
-0.12	-0.08	3.09
0.36	0.28	2.56
0.14	0.18	3.00
0.27	0.22	3.14
0.02	-0.02	2.89
0.28	0.19	3.56
0.31	0.21	2.08
0.90	0.80	1.61
0.01	0.02	3.47
0.31	0.19	2.89
-1.00	-1.00	0.69
0.12	0.07	3.22
0.44	0.31	2.89
0.07	0.02	2.30
-0.07	-0.07	2.08
-0.10	-0.07	2.71
-0.27	-0.17	3.18
0.43	0.33	1.95
-0.41	-0.28	2.71
0.16	0.13	3.30
-0.17	-0.08	3.14
-0.40	-0.29	3.61
0.04	0.05	3.22
0.50	0.35	3.50
-0.20	-0.20	2.30
0.27	0.19	3.09
0.53	0.35	2.40
0.47	0.38	2.40
-0.13	-0.08	3.58
0.36	0.31	2.40
-0.12	-0.07	3.70
0.41	0.33	2.94
-0.23	-0.20	2.40
-0.13	-0.05	3.14
0.24	0.17	3.22
-0.46	-0.32	2.77
-0.41	-0.33	2.30
0.08	0.06	3.47
-0.22	-0.18	2.71
0.17	0.12	2.83
-0.09	-0.06	3.97
-0.38	-0.21	2.48
-0.15	-0.11	2.20
-0.10	-0.07	3.43
-0.22	-0.16	2.94
-0.46	-0.31	3.30
0.04	0.10	2.64
-0.74	-0.64	2.08
-0.40	-0.38	2.40
0.08	0.09	2.71
0.01	-0.00	3.43
-0.86	-0.64	2.08
0.21	0.18	2.83
-0.32	-0.22	3.22
-0.00	-0.03	2.77
0.31	0.21	2.08
0.17	0.10	3.14
0.19	0.16	3.00
-0.10	-0.13	3.30
-0.08	-0.10	2.89
0.09	0.08	3.26
-0.43	-0.29	2.08
-0.02	-0.06	2.20
0.11	0.08	2.64
0.20	0.11	3.37
0.40	0.26	2.56
-0.41	-0.25	2.64
0.21	0.09	3.00
-0.01	0.01	3.33
0.54	0.43	1.95
0.63	0.50	2.94
0.24	0.20	0.13
0.18	0.15	0.36
0.07	0.04	3.33
0.27	0.18	2.48
0.11	0.07	3.81
0.02	-0.07	2.08
0.00	-0.01	3.63
0.50	0.39	2.48
-0.77	-0.60	1.79
0.16	0.13	0.09
0.44	0.31	2.40
-0.30	-0.20	1.61
0.16	0.12	2.64
-0.11	-0.10	3.09
-0.21	-0.19	3.18
0.16	0.12	2.83
0.00	0.00	3.00
0.39	0.28	2.83
0.02	-0.05	2.40
0.16	0.15	2.77
0.03	-0.07	1.79
-0.08	-0.08	3.30
0.22	0.11	2.20
0.25	0.17	2.20
-0.56	-0.41	2.89
0.20	0.13	2.77
-0.03	-0.07	1.79
0.47	0.38	2.30
0.28	0.23	2.89
-0.36	-0.27	2.89
