Spearman	Kendall	MutualInformation
0.08	0.08	3.09
0.10	0.10	2.77
0.14	0.10	2.56
0.13	0.02	2.40
0.23	0.17	3.00
0.03	-0.05	2.89
0.79	0.71	1.95
0.07	0.05	1.95
0.33	0.36	2.08
1.00	1.00	0.69
-0.12	-0.06	2.94
0.10	0.00	1.61
0.03	0.00	3.00
0.20	0.07	1.79
0.14	0.07	1.79
0.27	0.12	2.48
0.64	0.43	2.08
-0.22	-0.17	2.20
0.16	0.10	3.04
0.50	0.33	1.95
-0.31	-0.20	1.79
-0.10	-0.07	2.08
0.80	0.60	1.61
-0.54	-0.38	2.56
-0.58	-0.39	2.20
-0.09	-0.03	2.83
0.77	0.60	1.79
0.03	0.06	2.20
0.37	0.33	1.79
-0.49	-0.31	2.40
0.61	0.46	2.83
-0.32	-0.14	1.95
0.40	0.30	2.48
-0.37	-0.33	1.79
-0.26	-0.20	1.79
0.32	0.25	3.14
0.50	0.33	1.10
-0.52	-0.41	3.18
0.17	0.11	3.43
0.24	0.20	2.40
0.28	0.18	2.77
0.05	0.07	2.08
-0.54	-0.43	1.95
-0.11	-0.10	2.56
0.13	0.11	3.09
0.56	0.42	2.30
-0.06	-0.08	2.64
0.54	0.38	3.33
0.00	0.01	3.69
0.03	0.02	3.43
0.21	0.12	2.71
0.28	0.20	2.94
0.37	0.26	3.18
-0.10	-0.10	2.56
0.06	0.04	3.18
-0.20	-0.17	2.20
-0.13	-0.14	3.14
-0.11	-0.09	2.48
-0.07	-0.03	2.56
-0.02	-0.03	3.58
0.08	0.07	2.71
0.08	0.05	2.77
0.22	0.15	3.00
0.40	0.33	1.39
-0.25	-0.21	3.26
0.03	-0.07	1.79
-0.28	-0.20	2.30
-0.64	-0.43	2.08
-0.29	-0.19	2.94
0.00	0.00	1.39
-0.19	-0.14	3.14
0.37	0.26	2.94
0.32	0.24	2.71
0.45	0.35	2.40
-0.20	-0.13	2.40
0.18	0.12	3.00
0.08	0.00	2.56
0.60	0.41	2.56
0.27	0.18	3.14
-0.03	-0.01	2.64
0.03	-0.02	2.30
