Spearman	Kendall	MutualInformation
0.34	0.25	3.09
0.63	0.38	3.09
0.77	0.58	2.77
0.90	0.80	1.61
0.58	0.41	2.56
0.80	0.63	2.77
0.65	0.55	2.48
0.65	0.38	2.40
0.57	0.46	3.00
0.48	0.33	2.89
0.82	0.62	1.95
0.57	0.43	1.95
0.79	0.64	2.08
-1.00	-1.00	0.69
0.54	0.40	2.94
0.80	0.60	1.61
0.50	0.34	3.00
0.43	0.33	1.79
0.73	0.60	2.77
0.66	0.47	1.79
0.24	0.15	2.48
0.02	0.07	2.08
0.77	0.50	2.20
0.28	0.22	3.04
0.29	0.24	1.95
0.85	0.69	2.30
0.26	0.20	1.79
0.67	0.50	2.08
0.90	0.80	1.61
0.63	0.49	2.56
0.85	0.72	2.20
1.00	1.00	0.69
0.69	0.53	2.83
1.00	1.00	1.10
0.60	0.47	1.79
0.15	0.17	2.20
0.37	0.33	1.79
0.09	0.09	2.40
0.80	0.59	2.83
0.34	0.24	2.40
0.29	0.24	1.95
0.83	0.67	2.48
0.89	0.73	1.79
0.83	0.73	1.79
0.63	0.48	3.37
-0.01	-0.00	3.14
0.50	0.33	1.10
0.68	0.46	3.18
0.70	0.48	3.43
0.74	0.62	2.56
0.51	0.42	2.40
0.63	0.48	2.77
0.19	0.14	2.08
0.61	0.52	1.95
0.37	0.26	2.56
0.54	0.31	3.09
0.75	0.56	2.30
0.51	0.36	2.64
0.41	0.30	3.13
0.68	0.45	3.43
0.63	0.46	3.37
0.68	0.52	2.71
0.26	0.18	2.94
0.69	0.50	3.18
0.89	0.74	2.64
0.77	0.59	2.56
0.45	0.34	3.18
0.82	0.67	2.20
0.70	0.51	3.14
0.64	0.45	2.48
0.50	0.36	2.56
0.54	0.37	3.58
0.61	0.38	3.08
0.44	0.28	2.71
0.64	0.43	2.77
0.38	0.28	3.00
0.80	0.67	1.39
0.71	0.52	2.64
0.50	0.33	3.26
0.77	0.60	1.79
-0.60	-0.42	2.30
0.76	0.57	2.08
0.27	0.16	2.94
0.61	0.41	3.04
0.00	0.00	1.39
0.75	0.57	3.14
0.65	0.46	2.94
0.49	0.28	2.71
0.42	0.35	2.40
0.60	0.53	2.40
0.66	0.48	3.00
0.67	0.49	2.56
0.68	0.46	3.30
0.47	0.33	2.71
0.54	0.44	2.56
0.67	0.49	3.14
0.74	0.52	2.64
0.72	0.51	2.30
0.71	0.51	3.00
0.71	0.53	3.00
0.51	0.38	3.04
0.68	0.48	2.77
0.83	0.60	2.30
0.58	0.39	3.22
0.60	0.43	2.64
0.36	0.25	3.33
0.41	0.28	3.37
0.38	0.28	2.56
0.42	0.28	2.20
0.64	0.45	2.64
0.66	0.45	2.40
1.00	1.00	1.10
0.74	0.55	3.26
0.62	0.46	2.56
0.46	0.33	2.89
0.75	0.62	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.59	0.43	3.26
0.35	0.27	3.30
0.37	0.22	2.77
0.74	0.56	3.26
0.65	0.45	2.71
0.77	0.59	3.22
0.57	0.41	2.56
nan	nan	0.00
0.07	0.05	1.95
0.50	0.31	2.71
-0.30	-0.20	1.61
0.56	0.39	3.22
0.70	0.52	2.89
0.71	0.54	3.00
0.34	0.25	2.64
0.80	0.67	1.39
0.62	0.43	3.04
0.52	0.33	2.94
0.58	0.42	2.48
0.67	0.47	3.18
0.57	0.43	2.64
0.73	0.52	2.89
1.00	1.00	1.10
0.63	0.40	3.00
0.67	0.47	2.64
0.85	0.67	2.48
0.82	0.66	2.94
0.00	-0.05	1.95
0.51	0.36	3.30
0.72	0.53	2.40
0.36	0.22	2.89
0.45	0.36	2.08
0.43	0.33	2.77
0.67	0.48	2.77
0.62	0.47	2.83
0.40	0.33	1.39
0.46	0.34	3.26
0.66	0.49	2.89
0.09	0.07	1.79
0.67	0.45	2.64
0.46	0.32	2.77
0.43	0.39	2.20
0.48	0.32	2.77
0.49	0.31	2.89
0.63	0.45	2.77
0.63	0.43	2.71
0.50	0.33	2.56
0.46	0.31	3.22
0.14	0.07	2.08
0.42	0.27	3.18
0.56	0.40	3.43
0.60	0.40	1.61
0.16	0.11	2.30
0.37	0.20	1.79
0.60	0.43	3.22
0.77	0.55	2.48
0.76	0.61	2.48
0.20	0.00	1.39
0.66	0.47	2.30
0.65	0.50	2.20
0.46	0.31	2.89
0.75	0.55	3.18
0.63	0.45	3.14
0.90	0.80	1.61
0.36	0.24	2.83
0.68	0.44	3.09
0.60	0.31	2.56
0.47	0.33	3.47
0.55	0.41	3.50
0.53	0.28	2.20
0.50	0.33	1.10
0.00	0.00	1.39
0.56	0.40	3.26
0.12	0.07	2.71
0.32	0.16	2.71
0.64	0.49	2.64
0.86	0.68	3.04
0.62	0.46	3.18
0.67	0.44	3.18
0.47	0.33	2.20
0.23	0.17	2.20
0.64	0.48	3.18
0.86	0.71	1.95
0.55	0.36	3.00
0.58	0.44	3.30
0.56	0.42	3.14
0.26	0.18	2.56
0.50	0.39	2.20
0.80	0.67	1.39
0.70	0.47	3.56
0.76	0.52	2.48
0.50	0.35	3.68
0.61	0.42	3.00
0.82	0.62	2.56
0.60	0.47	1.79
