Spearman	Kendall	MutualInformation
-0.33	-0.21	3.09
-0.27	-0.14	3.09
-0.15	-0.08	2.77
0.30	0.20	1.61
-0.15	-0.10	2.56
0.46	0.32	2.77
0.00	0.00	2.48
0.20	0.13	2.40
0.12	0.11	3.00
-0.05	0.02	2.89
0.43	0.33	1.95
0.00	0.05	1.95
-0.29	-0.21	2.08
1.00	1.00	0.69
-0.01	0.01	2.94
0.50	0.40	1.61
-0.18	-0.12	3.00
-0.14	-0.07	1.79
0.51	0.35	2.77
0.03	0.07	1.79
-0.15	-0.15	2.48
-0.14	-0.07	2.08
-0.07	-0.06	2.20
0.20	0.14	3.04
0.21	0.14	1.95
-0.24	-0.24	2.30
0.14	0.07	1.79
0.48	0.36	2.08
0.90	0.80	1.61
-0.25	-0.26	2.56
-0.20	-0.11	2.20
1.00	1.00	0.69
-0.41	-0.26	2.83
0.50	0.33	1.10
0.89	0.73	1.79
0.27	0.17	2.20
0.60	0.47	1.79
0.32	0.24	2.40
0.33	0.22	2.83
0.24	0.20	2.40
0.25	0.14	1.95
0.78	0.64	2.48
-0.03	0.07	1.79
-0.14	-0.07	1.79
-0.37	-0.24	3.37
0.52	0.38	3.14
0.50	0.33	1.10
-0.42	-0.28	3.18
0.17	0.07	3.43
0.24	0.21	2.56
0.17	0.09	2.40
-0.24	-0.20	2.77
-0.62	-0.50	2.08
0.39	0.33	1.95
-0.07	-0.03	2.56
0.10	0.10	3.09
0.59	0.47	2.30
0.32	0.21	2.64
0.04	0.02	3.69
-0.18	-0.14	3.43
0.12	0.06	3.37
0.24	0.20	2.71
0.28	0.17	2.94
0.12	0.09	3.18
-0.13	-0.14	2.64
-0.50	-0.31	2.56
0.06	0.03	3.18
-0.17	-0.11	2.20
0.07	0.07	3.14
0.01	0.03	2.48
0.03	0.05	2.56
-0.08	-0.06	3.58
0.34	0.22	3.08
-0.10	-0.12	2.71
-0.16	-0.07	2.77
0.04	0.03	3.00
1.00	1.00	1.39
-0.39	-0.32	2.64
0.10	0.07	3.26
0.31	0.20	1.79
0.36	0.29	2.30
-0.36	-0.29	2.08
-0.04	-0.02	2.94
0.19	0.17	3.04
0.20	0.00	1.39
-0.02	0.02	3.14
-0.02	-0.01	2.94
0.45	0.31	2.71
0.41	0.27	2.40
0.03	0.02	2.40
-0.43	-0.29	3.00
0.54	0.41	2.56
0.01	-0.00	3.30
0.04	0.01	2.71
0.46	0.28	2.56
0.11	0.03	3.14
-0.54	-0.36	2.64
-0.26	-0.16	2.30
0.28	0.18	3.00
0.51	0.37	3.00
0.14	0.13	3.04
-0.26	-0.08	2.77
-0.28	-0.20	2.30
-0.33	-0.26	3.22
-0.16	-0.12	2.64
0.23	0.16	3.33
0.24	0.18	3.37
0.34	0.31	2.56
-0.50	-0.39	2.20
0.28	0.14	2.64
