Spearman	Kendall	MutualInformation
0.45	0.32	3.09
0.39	0.26	3.09
0.79	0.60	2.77
0.90	0.80	1.61
0.60	0.41	2.56
0.71	0.53	2.77
0.57	0.42	2.48
0.54	0.31	2.40
0.61	0.46	3.00
0.32	0.23	2.89
0.82	0.62	1.95
0.68	0.52	1.95
0.86	0.71	2.08
1.00	1.00	0.69
0.78	0.64	2.94
0.20	0.20	1.61
0.60	0.42	3.00
0.60	0.47	1.79
0.80	0.63	2.77
0.71	0.60	1.79
0.43	0.36	2.48
0.52	0.36	2.08
0.62	0.44	2.20
0.28	0.21	3.04
0.61	0.52	1.95
0.53	0.47	2.30
0.37	0.33	1.79
0.81	0.64	2.08
0.20	0.20	1.61
0.77	0.62	2.56
0.50	0.39	2.20
1.00	1.00	0.69
0.40	0.28	2.83
-0.50	-0.33	1.10
0.77	0.60	1.79
0.38	0.33	2.20
0.49	0.33	1.79
0.05	0.02	2.40
0.69	0.51	2.83
0.44	0.35	2.40
0.43	0.24	1.95
0.73	0.55	2.48
0.66	0.47	1.79
0.43	0.20	1.79
0.54	0.37	3.37
-0.01	-0.03	3.14
0.50	0.33	1.10
0.72	0.50	3.18
0.70	0.51	3.43
0.61	0.49	2.56
0.65	0.49	2.40
0.67	0.48	2.77
0.40	0.36	2.08
0.71	0.52	1.95
0.46	0.41	2.56
0.49	0.31	3.09
0.71	0.56	2.30
0.35	0.27	2.64
0.38	0.28	3.69
0.53	0.36	3.43
0.68	0.49	3.37
0.64	0.47	2.71
0.32	0.23	2.94
0.67	0.49	3.18
0.62	0.43	2.64
0.71	0.56	2.56
0.54	0.39	3.18
0.38	0.22	2.20
0.47	0.33	3.14
0.68	0.45	2.48
0.79	0.59	2.56
0.43	0.29	3.58
0.68	0.46	3.08
0.67	0.50	2.71
0.71	0.53	2.77
0.58	0.38	3.00
1.00	1.00	1.39
0.75	0.54	2.64
0.59	0.42	3.26
0.77	0.60	1.79
-0.05	-0.02	2.30
0.86	0.71	2.08
0.48	0.35	2.94
0.67	0.46	3.04
-0.40	-0.33	1.39
0.46	0.33	3.14
0.61	0.43	2.94
0.68	0.49	2.71
0.45	0.27	2.40
0.75	0.56	2.40
0.48	0.35	3.00
0.66	0.49	2.56
0.64	0.45	3.30
0.77	0.58	2.71
0.53	0.41	2.56
0.61	0.45	3.14
0.72	0.52	2.64
0.64	0.47	2.30
0.66	0.45	3.00
0.67	0.52	3.00
0.76	0.54	3.04
0.59	0.43	2.77
0.87	0.69	2.30
0.64	0.43	3.22
0.53	0.36	2.64
0.34	0.23	3.33
0.69	0.51	3.37
0.77	0.59	2.56
0.68	0.44	2.20
0.72	0.60	2.64
0.79	0.64	2.40
1.00	1.00	1.10
0.69	0.49	3.26
0.67	0.46	2.56
0.24	0.18	2.89
0.50	0.43	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.64	0.51	3.26
