Spearman	Kendall	MutualInformation
0.30	0.19	3.09
0.36	0.26	3.09
0.42	0.30	2.77
0.90	0.80	1.61
0.46	0.31	2.56
0.74	0.57	2.77
0.64	0.48	2.48
0.53	0.42	2.40
0.46	0.34	3.00
0.05	0.03	2.89
1.00	1.00	1.95
0.57	0.43	1.95
0.45	0.14	2.08
1.00	1.00	0.69
0.30	0.19	2.94
0.60	0.40	1.61
0.42	0.33	3.00
0.71	0.60	1.79
0.59	0.43	2.77
0.71	0.60	1.79
0.42	0.24	2.48
0.40	0.36	2.08
0.38	0.28	2.20
0.18	0.10	3.04
0.82	0.62	1.95
0.62	0.51	2.30
-0.09	-0.20	1.79
0.48	0.36	2.08
0.90	0.80	1.61
0.26	0.23	2.56
0.40	0.28	2.20
1.00	1.00	0.69
0.05	0.06	2.83
0.50	0.33	1.10
0.66	0.60	1.79
0.80	0.67	2.20
0.77	0.60	1.79
0.37	0.27	2.40
0.46	0.35	2.83
0.10	0.02	2.40
0.57	0.33	1.95
0.39	0.30	2.48
0.77	0.60	1.79
0.71	0.60	1.79
0.39	0.31	3.37
0.50	0.41	3.14
0.50	0.33	1.10
0.61	0.43	3.18
0.67	0.51	3.43
0.00	-0.08	2.56
0.35	0.20	2.40
0.39	0.28	2.77
-0.17	-0.14	2.08
0.39	0.33	1.95
0.25	0.15	2.56
0.29	0.21	3.09
0.60	0.47	2.30
0.70	0.54	2.64
0.48	0.33	3.69
0.34	0.24	3.43
0.63	0.45	3.37
0.75	0.58	2.71
0.43	0.32	2.94
0.75	0.56	3.18
0.41	0.30	2.64
0.49	0.36	2.56
0.09	0.06	3.18
0.55	0.22	2.20
0.63	0.47	3.14
0.75	0.48	2.48
0.49	0.36	2.56
0.14	0.08	3.58
0.68	0.46	3.08
0.50	0.37	2.71
0.29	0.17	2.77
0.52	0.39	3.00
1.00	1.00	1.39
-0.18	-0.12	2.64
0.45	0.34	3.26
0.94	0.87	1.79
0.76	0.64	2.30
-0.36	-0.29	2.08
0.12	0.10	2.94
0.46	0.32	3.04
0.80	0.67	1.39
0.47	0.34	3.14
0.17	0.10	2.94
0.30	0.20	2.71
0.59	0.38	2.40
0.31	0.20	2.40
0.47	0.31	3.00
0.43	0.33	2.56
0.67	0.49	3.30
0.73	0.50	2.71
0.77	0.64	2.56
0.53	0.38	3.14
0.35	0.21	2.64
0.16	0.07	2.30
0.37	0.26	3.00
0.78	0.62	3.00
0.23	0.18	3.04
-0.07	-0.05	2.77
0.39	0.33	2.30
0.30	0.22	3.22
0.36	0.23	2.64
0.38	0.25	3.33
0.42	0.28	3.37
0.67	0.44	2.56
-0.27	-0.17	2.20
0.59	0.47	2.64
0.09	0.05	2.40
0.50	0.33	1.10
0.70	0.50	3.26
0.51	0.31	2.56
0.29	0.20	2.89
0.54	0.43	1.95
1.00	1.00	1.10
1.00	1.00	0.69
0.46	0.34	3.26
0.30	0.24	3.30
0.01	0.08	2.77
0.27	0.19	3.26
0.04	-0.03	2.71
0.46	0.32	3.22
0.38	0.31	2.56
nan	nan	0.00
0.71	0.52	1.95
0.72	0.58	2.71
0.30	0.20	1.61
0.62	0.44	3.22
0.15	0.06	2.89
0.33	0.27	3.00
0.44	0.32	2.64
1.00	1.00	1.39
0.09	0.08	3.04
0.06	0.01	2.94
0.47	0.36	2.48
0.47	0.34	3.18
0.34	0.23	2.64
0.40	0.29	2.89
1.00	1.00	1.10
0.59	0.45	3.00
0.09	0.05	2.64
0.58	0.48	2.48
0.41	0.24	2.94
0.54	0.33	1.95
0.42	0.26	3.30
0.63	0.49	2.40
0.29	0.19	2.89
0.76	0.57	2.08
0.52	0.37	2.77
0.62	0.47	2.77
0.76	0.60	2.83
0.60	0.33	1.39
0.52	0.35	3.26
-0.01	0.02	2.89
0.83	0.73	1.79
0.59	0.43	2.64
0.42	0.32	2.77
-0.70	-0.50	2.20
0.25	0.18	2.77
0.75	0.58	2.89
0.39	0.25	2.77
0.64	0.45	2.71
0.64	0.51	2.56
0.26	0.19	3.22
0.45	0.36	2.08
0.40	0.28	3.18
0.35	0.25	3.43
0.20	0.20	1.61
0.56	0.38	2.30
0.43	0.33	1.79
0.39	0.28	3.22
0.59	0.45	2.48
0.62	0.45	2.48
-0.60	-0.33	1.39
0.42	0.24	2.30
0.58	0.39	2.20
0.19	0.12	2.89
0.23	0.17	3.18
0.62	0.41	3.14
0.20	0.20	1.61
0.11	0.12	2.83
0.40	0.27	3.09
0.28	0.23	2.56
0.33	0.20	3.47
0.40	0.27	3.50
0.55	0.39	2.20
0.50	0.33	1.10
0.40	0.33	1.39
0.44	0.33	3.26
0.16	0.14	2.71
0.56	0.37	2.71
0.64	0.49	2.64
0.68	0.50	3.04
0.54	0.42	3.18
0.31	0.22	3.18
0.52	0.33	2.20
0.32	0.28	2.20
0.25	0.16	3.18
0.61	0.52	1.95
0.25	0.17	3.00
0.52	0.37	3.30
-0.14	-0.12	3.14
-0.11	-0.05	2.56
0.48	0.33	2.20
0.80	0.67	1.39
0.62	0.45	3.56
0.19	0.09	2.48
0.47	0.34	3.71
0.65	0.44	3.00
0.78	0.59	2.56
0.43	0.20	1.79
0.58	0.44	3.04
1.00	1.00	0.69
0.80	0.67	1.39
0.54	0.38	2.56
0.63	0.47	3.22
0.48	0.29	3.18
0.51	0.38	2.40
0.20	0.11	3.26
0.87	0.74	2.89
1.00	1.00	1.10
0.51	0.32	2.77
0.40	0.36	2.08
0.87	0.67	2.20
0.47	0.32	3.40
0.50	0.33	1.10
0.09	0.07	1.79
0.37	0.22	2.71
0.07	0.08	2.89
0.04	0.05	2.40
0.59	0.43	3.33
0.53	0.42	2.30
1.00	1.00	0.69
0.24	0.16	2.40
0.30	0.21	2.64
0.27	0.16	2.64
0.41	0.29	3.43
0.61	0.45	3.18
0.07	0.05	3.56
0.40	0.40	1.61
0.57	0.41	3.64
0.80	0.67	1.39
0.70	0.60	1.61
0.39	0.25	3.14
0.07	0.07	2.30
-0.20	0.00	1.39
0.10	0.00	1.61
0.69	0.51	3.04
0.80	0.67	1.39
0.18	0.12	2.89
0.62	0.41	3.09
0.36	0.21	2.08
0.48	0.36	2.08
0.65	0.50	2.20
0.41	0.26	3.22
0.51	0.39	2.89
0.59	0.43	2.83
-0.50	-0.33	1.10
0.48	0.31	2.71
0.28	0.21	3.00
0.58	0.45	2.71
0.51	0.33	2.94
0.59	0.35	2.71
0.44	0.30	3.22
0.50	0.33	1.10
0.50	0.33	1.10
0.08	0.03	2.77
0.75	0.62	1.95
0.27	0.18	2.83
0.75	0.56	2.56
0.20	0.12	2.71
0.33	0.28	2.20
1.00	1.00	1.10
1.00	1.00	0.69
0.20	0.14	2.64
0.50	0.33	1.10
0.56	0.42	3.00
0.75	0.62	1.95
0.83	0.73	1.79
0.45	0.29	3.33
0.16	0.11	3.14
0.90	0.80	1.61
0.15	0.10	2.56
0.42	0.32	2.64
1.00	1.00	1.10
0.22	0.15	3.26
0.80	0.67	1.39
0.65	0.51	3.04
0.31	0.23	2.89
0.60	0.45	2.71
0.29	0.19	2.64
0.50	0.33	1.10
0.69	0.48	2.48
1.00	1.00	0.69
0.38	0.29	2.83
-0.06	-0.13	2.40
0.50	0.33	1.10
0.07	0.03	3.30
0.14	0.09	3.22
0.70	0.54	2.64
0.31	0.18	2.77
0.22	0.20	2.71
0.16	0.10	2.77
0.84	0.69	2.30
0.60	0.40	1.61
0.69	0.52	2.64
0.67	0.49	2.40
0.62	0.50	2.08
0.71	0.56	3.00
0.29	0.20	3.18
1.00	1.00	0.69
0.64	0.45	2.48
-0.22	-0.06	2.48
0.04	0.05	2.64
0.37	0.26	3.09
0.58	0.41	2.56
0.56	0.37	3.00
0.72	0.57	3.14
0.40	0.32	2.89
0.58	0.42	3.56
0.60	0.43	2.08
0.40	0.40	1.61
0.15	0.12	3.47
0.35	0.23	2.89
1.00	1.00	0.69
0.35	0.24	3.22
0.73	0.54	2.89
0.14	0.11	2.30
0.26	0.21	2.08
0.35	0.22	2.71
0.04	0.05	3.18
0.46	0.33	1.95
0.31	0.24	2.71
0.52	0.37	3.30
-0.11	-0.04	3.14
0.35	0.25	3.61
0.62	0.45	3.22
0.49	0.34	3.50
0.85	0.69	2.30
0.40	0.29	3.09
0.54	0.42	2.40
0.90	0.75	2.40
0.03	0.00	3.58
0.65	0.53	2.40
0.26	0.17	3.87
0.49	0.35	2.94
0.63	0.49	2.40
0.41	0.30	3.14
0.26	0.12	3.22
0.44	0.32	2.77
0.70	0.47	2.30
0.22	0.15	3.47
-0.17	-0.12	2.71
0.28	0.15	2.83
0.23	0.16	3.97
0.04	0.00	2.48
0.27	0.17	2.20
0.28	0.26	3.43
0.25	0.19	2.94
0.22	0.16	3.30
0.34	0.19	2.64
0.14	0.07	2.08
0.12	0.02	2.40
-0.34	-0.22	2.71
0.47	0.35	3.43
-0.48	-0.36	2.08
0.50	0.37	2.83
0.12	0.07	3.22
0.20	0.15	2.77
0.62	0.50	2.08
-0.12	-0.08	3.14
0.31	0.20	3.00
0.24	0.13	3.30
0.06	0.03	2.89
0.47	0.32	3.26
0.21	0.21	2.08
0.70	0.50	2.20
0.49	0.34	2.64
0.42	0.27	3.37
0.61	0.41	2.56
0.08	0.05	2.64
0.32	0.20	3.00
0.32	0.24	3.33
-0.21	-0.14	1.95
0.71	0.56	2.94
0.27	0.21	3.58
0.40	0.28	3.78
0.52	0.37	3.33
0.73	0.52	2.48
0.22	0.16	3.87
-0.21	0.00	2.08
0.29	0.21	3.76
0.55	0.39	2.48
0.89	0.73	1.79
0.45	0.33	4.01
0.77	0.60	2.40
0.40	0.40	1.61
0.40	0.25	2.64
0.51	0.39	3.09
0.16	0.10	3.18
0.19	0.13	2.83
0.62	0.48	3.00
0.33	0.24	2.83
0.15	0.05	2.40
0.64	0.42	2.77
0.03	-0.07	1.79
0.14	0.07	3.30
0.63	0.50	2.20
0.47	0.33	2.20
0.08	0.03	2.89
0.58	0.42	2.77
0.31	0.20	1.79
0.44	0.29	2.30
0.33	0.24	2.89
-0.06	-0.06	2.89
0.26	0.18	2.48
0.51	0.35	2.71
0.65	0.50	2.20
0.13	0.12	3.00
0.00	-0.03	2.71
0.42	0.32	2.64
0.44	0.30	3.33
0.35	0.24	2.89
0.52	0.34	3.26
0.16	0.12	2.64
0.79	0.67	2.56
0.75	0.56	2.64
-0.09	-0.05	3.14
0.71	0.52	1.95
0.75	0.56	2.40
0.43	0.31	2.71
0.12	0.06	2.89
0.29	0.21	2.08
0.45	0.34	3.04
0.56	0.43	2.77
0.18	0.12	2.89
0.34	0.27	2.48
0.67	0.43	2.08
-0.20	-0.20	1.79
0.14	0.14	2.71
0.08	0.06	2.20
0.60	0.42	3.76
0.12	0.12	2.83
0.66	0.50	2.71
0.21	0.13	3.26
-0.17	-0.10	2.64
0.36	0.22	3.33
0.33	0.22	3.53
0.30	0.21	3.40
0.21	0.13	3.14
0.44	0.30	3.04
0.40	0.28	2.77
0.20	0.13	3.14
0.39	0.29	3.14
0.17	0.09	3.37
0.34	0.24	3.04
0.16	0.12	2.64
0.32	0.20	3.04
