Spearman	Kendall	MutualInformation
0.54	0.40	2.77
-0.30	-0.20	1.61
-0.33	-0.21	2.08
-1.00	-1.00	0.69
0.31	0.25	2.94
0.00	0.20	1.61
-0.43	-0.47	1.79
-0.03	0.07	1.79
-0.40	-0.36	2.08
0.10	0.17	2.20
-0.50	-0.33	1.95
0.09	0.20	1.79
-0.05	0.00	2.08
0.09	0.05	2.56
0.35	0.39	2.20
-0.43	-0.33	2.20
-0.89	-0.73	1.79
-0.17	-0.16	2.40
-0.06	-0.02	2.40
-0.54	-0.33	1.95
-0.26	-0.20	1.79
-1.00	-1.00	1.10
0.07	0.08	3.18
0.08	0.05	2.40
0.27	0.17	3.09
0.18	0.12	2.64
-0.63	-0.51	2.56
0.70	0.56	3.18
0.27	0.17	2.20
0.46	0.35	3.58
0.45	0.35	2.71
-0.40	-0.33	1.39
-0.02	-0.07	2.08
0.26	0.22	2.94
-0.04	-0.09	2.40
0.48	0.38	2.56
-0.11	-0.10	2.64
0.03	-0.02	2.30
0.09	0.03	2.64
0.33	0.28	3.33
0.23	0.16	2.40
-0.50	-0.33	1.10
0.37	0.23	2.89
nan	nan	0.00
-0.27	-0.14	2.71
0.05	0.05	2.94
0.57	0.48	2.48
-1.00	-1.00	1.10
0.25	0.16	3.00
-0.18	-0.14	1.95
-0.80	-0.67	1.39
0.28	0.22	3.26
0.12	0.06	2.20
0.02	0.02	2.77
-0.45	-0.29	2.08
-0.30	-0.20	1.61
-0.26	-0.20	1.79
-0.40	-0.33	1.39
-0.40	-0.40	1.61
0.47	0.34	3.50
-0.47	-0.44	2.20
-1.00	-1.00	1.39
0.16	0.10	2.71
-0.00	-0.01	3.18
-0.27	-0.17	2.20
0.32	0.22	3.56
-1.00	-1.00	0.69
-0.40	-0.33	1.39
0.31	0.21	2.56
0.58	0.40	3.26
0.06	0.07	2.77
0.20	0.14	2.89
0.17	0.16	2.40
-0.50	-0.40	1.61
-0.30	-0.20	2.30
-0.05	0.00	2.08
-0.50	-0.33	1.10
-1.00	-1.00	1.10
-0.04	-0.01	2.83
-1.00	-1.00	1.10
0.58	0.39	3.00
-0.29	-0.24	1.95
-0.14	-0.07	1.79
-0.09	0.02	2.30
-0.15	-0.13	2.56
0.11	0.12	2.64
-0.50	-0.33	1.10
-1.00	-1.00	0.69
0.09	0.09	2.40
-0.50	-0.33	1.10
0.26	0.18	3.22
0.30	0.19	2.64
-0.20	-0.20	1.61
-1.00	-1.00	0.69
0.39	0.27	2.64
-0.03	0.01	3.00
0.19	0.13	3.47
-1.00	-1.00	0.69
0.22	0.17	3.22
-0.14	-0.14	2.08
-0.19	-0.14	2.08
-0.80	-0.60	1.61
-0.63	-0.50	2.20
-0.20	-0.16	2.40
-0.09	-0.07	1.79
-0.48	-0.44	2.20
-0.06	0.00	2.56
-0.71	-0.47	1.79
-0.45	-0.38	2.30
-0.48	-0.36	2.08
0.10	0.08	2.56
-0.15	-0.09	2.48
0.03	0.07	1.79
-0.50	-0.33	1.10
-0.13	-0.05	2.56
-0.10	-0.07	2.89
0.11	0.15	2.48
-0.50	-0.33	1.10
0.70	0.60	1.61
-0.31	-0.16	2.40
0.36	0.33	1.95
0.08	0.05	2.40
0.18	0.22	2.20
0.33	0.28	2.20
0.21	0.16	3.14
-0.21	-0.14	1.95
-0.18	-0.12	2.89
0.60	0.46	2.89
0.50	0.33	1.10
-0.07	0.00	2.48
-0.15	-0.13	2.56
-0.21	-0.12	2.48
0.20	0.00	1.39
0.55	0.42	2.30
-0.20	0.00	1.39
0.10	0.09	2.71
-0.40	-0.40	1.61
0.23	0.18	3.43
0.31	0.20	1.79
0.50	0.20	1.61
0.10	0.02	2.30
-0.29	-0.21	2.08
-0.50	-0.33	1.10
-0.07	-0.02	2.40
-0.29	-0.24	1.95
0.18	0.19	2.83
-0.12	-0.09	2.40
-0.01	-0.03	2.77
0.37	0.32	2.83
0.00	0.05	1.95
