Spearman	Kendall	MutualInformation
0.19	0.14	3.09
0.10	0.06	3.09
0.16	0.07	2.77
0.50	0.40	1.61
0.09	0.10	2.56
0.65	0.53	2.77
0.38	0.30	2.48
0.66	0.49	2.40
0.34	0.26	3.00
0.11	0.08	2.89
0.61	0.52	1.95
0.68	0.52	1.95
0.45	0.29	2.08
1.00	1.00	0.69
0.65	0.47	2.94
0.50	0.40	1.61
0.24	0.19	3.00
0.31	0.20	1.79
0.89	0.78	2.77
0.37	0.33	1.79
-0.09	-0.06	2.48
0.64	0.50	2.08
0.58	0.44	2.20
0.41	0.29	3.04
0.29	0.24	1.95
0.07	0.11	2.30
0.43	0.47	1.79
0.90	0.79	2.08
0.90	0.80	1.61
0.33	0.28	2.56
0.22	0.22	2.20
1.00	1.00	0.69
0.25	0.18	2.83
0.50	0.33	1.10
0.77	0.60	1.79
0.38	0.22	2.20
0.49	0.33	1.79
0.05	-0.02	2.40
0.42	0.35	2.83
0.63	0.45	2.40
0.50	0.33	1.95
0.64	0.52	2.48
0.54	0.33	1.79
0.26	0.20	1.79
0.04	0.03	3.37
0.29	0.22	3.14
0.50	0.33	1.10
0.45	0.28	3.18
0.39	0.27	3.43
0.44	0.41	2.56
0.35	0.20	2.40
0.59	0.40	2.77
-0.07	-0.07	2.08
0.57	0.43	1.95
0.31	0.18	2.56
0.53	0.45	3.09
0.31	0.20	2.30
0.57	0.45	2.64
0.27	0.18	3.69
0.22	0.15	3.43
0.61	0.46	3.37
0.55	0.47	2.71
0.22	0.17	2.94
0.69	0.50	3.18
0.22	0.12	2.64
-0.09	0.00	2.56
0.20	0.14	3.18
-0.03	-0.06	2.20
0.22	0.15	3.14
0.73	0.52	2.48
0.49	0.31	2.56
0.40	0.28	3.58
0.59	0.35	3.08
0.60	0.43	2.71
0.41	0.28	2.77
0.39	0.27	3.00
0.80	0.67	1.39
0.41	0.30	2.64
0.18	0.12	3.26
0.77	0.60	1.79
0.18	0.16	2.30
0.24	0.29	2.08
0.01	-0.01	2.94
0.60	0.41	3.04
-0.40	-0.33	1.39
0.16	0.11	3.14
0.64	0.49	2.94
0.66	0.52	2.71
0.61	0.49	2.40
0.15	0.09	2.40
0.05	0.02	3.00
0.73	0.56	2.56
0.40	0.31	3.30
0.19	0.14	2.71
0.50	0.36	2.56
0.64	0.42	3.14
0.14	0.12	2.64
-0.09	-0.11	2.30
0.53	0.39	3.00
