Spearman	Kendall	MutualInformation
0.32	0.22	3.09
0.14	0.09	3.09
0.13	0.12	2.77
0.30	0.20	1.61
0.18	0.15	2.56
0.69	0.50	2.77
0.66	0.45	2.48
0.17	0.13	2.40
0.02	0.00	3.00
0.06	0.02	2.89
1.00	1.00	1.95
0.46	0.24	1.95
0.55	0.36	2.08
-1.00	-1.00	0.69
-0.23	-0.19	2.94
0.30	0.20	1.61
0.05	0.00	3.00
-0.66	-0.47	1.79
0.79	0.63	2.77
0.77	0.60	1.79
-0.10	-0.06	2.48
0.05	0.14	2.08
0.03	0.00	2.20
0.22	0.17	3.04
0.25	0.14	1.95
-0.04	0.02	2.30
-0.14	-0.07	1.79
0.14	0.07	2.08
0.90	0.80	1.61
-0.46	-0.28	2.56
-0.28	-0.17	2.20
1.00	1.00	0.69
0.28	0.21	2.83
1.00	1.00	1.10
0.77	0.60	1.79
0.20	0.17	2.20
0.14	0.20	1.79
-0.01	-0.05	2.40
0.50	0.34	2.83
-0.28	-0.20	2.40
0.71	0.52	1.95
0.48	0.33	2.48
0.66	0.47	1.79
1.00	1.00	1.79
0.31	0.19	3.37
-0.26	-0.17	3.14
-0.50	-0.33	1.10
0.19	0.13	3.18
0.04	0.01	3.28
0.70	0.54	2.56
0.59	0.49	2.40
-0.21	-0.12	2.77
-0.48	-0.36	2.08
-0.46	-0.24	1.95
0.25	0.21	2.56
0.33	0.20	3.09
0.36	0.29	2.30
0.24	0.10	2.64
0.21	0.15	1.81
0.25	0.17	3.43
0.40	0.28	3.27
0.72	0.54	2.71
-0.04	-0.08	2.94
0.33	0.22	3.18
0.62	0.38	2.64
-0.48	-0.38	2.56
-0.29	-0.19	3.18
0.00	0.00	2.20
0.32	0.22	3.14
-0.58	-0.39	2.48
0.34	0.26	2.56
-0.02	-0.00	3.58
0.40	0.25	3.08
0.31	0.16	2.71
0.20	0.17	2.77
0.21	0.17	3.00
0.80	0.67	1.39
0.53	0.34	2.64
-0.08	-0.06	3.26
0.26	0.20	1.79
0.58	0.33	2.30
-0.05	0.00	2.08
-0.35	-0.25	2.94
0.26	0.16	3.04
-0.40	-0.33	1.39
-0.01	-0.02	3.14
0.17	0.11	2.94
0.26	0.16	2.71
0.33	0.20	2.40
0.36	0.27	2.40
-0.08	0.01	3.00
0.32	0.26	2.56
-0.12	-0.08	3.30
0.37	0.28	2.71
0.58	0.44	2.56
0.47	0.34	3.14
0.32	0.21	2.64
-0.03	-0.02	2.30
0.08	0.04	3.00
0.31	0.19	3.00
0.23	0.15	3.04
-0.17	-0.13	2.77
0.52	0.29	2.30
-0.04	-0.02	3.16
-0.09	-0.03	2.64
-0.21	-0.15	3.33
0.21	0.14	3.32
0.69	0.49	2.56
-0.53	-0.28	2.20
0.42	0.36	2.64
0.34	0.24	2.40
-1.00	-1.00	1.10
0.52	0.38	3.26
0.54	0.36	2.56
-0.41	-0.31	2.89
0.54	0.43	1.95
0.50	0.33	1.10
-1.00	-1.00	0.69
0.39	0.25	3.26
0.02	0.03	3.30
0.35	0.27	2.77
0.38	0.24	3.26
0.06	0.07	2.71
0.29	0.23	3.22
0.53	0.38	2.56
nan	nan	0.00
0.21	0.14	1.95
-0.60	-0.41	2.71
0.30	0.20	1.61
0.37	0.29	3.22
0.28	0.23	2.89
0.15	0.12	3.00
0.35	0.23	2.64
0.80	0.67	1.39
0.28	0.19	3.04
-0.40	-0.30	2.94
0.06	0.03	2.48
0.43	0.32	3.18
0.07	0.03	2.64
-0.15	-0.05	2.89
-0.50	-0.33	1.10
0.03	0.02	3.00
0.25	0.21	2.64
-0.17	-0.09	2.48
0.08	0.04	2.94
-0.07	-0.05	1.95
0.27	0.19	3.30
0.46	0.38	2.40
0.15	0.14	2.89
0.24	0.21	2.08
0.16	0.12	2.77
0.55	0.40	2.77
-0.08	-0.06	2.83
0.80	0.67	1.39
0.11	0.08	3.26
-0.12	-0.05	2.89
0.20	0.07	1.79
-0.52	-0.36	2.64
0.41	0.30	2.77
-0.35	-0.22	2.20
-0.08	-0.07	2.77
0.11	0.07	2.89
0.29	0.22	2.77
0.17	0.05	2.71
0.59	0.44	2.56
-0.08	-0.05	3.22
-0.05	-0.07	2.08
0.10	0.06	3.18
0.29	0.23	3.19
-0.10	0.00	1.61
-0.10	-0.07	2.30
-0.09	-0.07	1.79
0.16	0.11	3.22
0.62	0.45	2.48
-0.15	-0.18	2.48
-0.80	-0.67	1.39
-0.03	0.02	2.30
0.23	0.17	2.20
-0.08	-0.05	2.89
-0.17	-0.10	3.18
0.31	0.19	3.14
0.80	0.60	1.61
-0.33	-0.24	2.83
0.16	0.13	3.09
0.19	0.13	2.56
-0.17	-0.14	3.47
0.18	0.13	3.50
-0.10	-0.11	2.20
-1.00	-1.00	1.10
-1.00	-1.00	1.39
-0.26	-0.19	3.26
0.35	0.24	2.71
0.39	0.26	2.71
0.09	0.10	2.64
0.43	0.27	3.04
0.51	0.33	3.18
0.16	0.09	3.18
0.62	0.50	2.20
0.17	0.00	2.20
0.48	0.37	3.18
0.93	0.81	1.95
0.58	0.41	3.00
0.42	0.29	3.30
0.12	0.08	3.14
-0.25	-0.18	2.56
0.42	0.28	2.20
1.00	1.00	1.39
0.09	0.06	3.36
0.41	0.24	2.48
0.11	0.07	3.18
0.31	0.21	3.00
0.27	0.23	2.56
0.43	0.20	1.79
-0.02	-0.02	3.04
1.00	1.00	0.69
-1.00	-1.00	1.39
0.42	0.33	2.56
0.48	0.34	3.22
0.21	0.18	3.18
0.12	0.09	2.40
-0.28	-0.22	3.26
0.12	0.07	2.89
0.50	0.33	1.10
0.41	0.28	2.77
0.48	0.36	2.08
0.25	0.22	2.20
0.12	0.08	3.40
-0.50	-0.33	1.10
-0.37	-0.33	1.79
0.32	0.22	2.71
-0.27	-0.19	2.89
-0.30	-0.24	2.40
0.08	0.04	3.33
0.64	0.47	2.30
1.00	1.00	0.69
0.19	0.20	2.40
-0.28	-0.19	2.64
0.01	-0.01	2.64
-0.11	-0.06	3.43
0.24	0.16	3.12
0.19	0.12	3.56
0.80	0.60	1.61
0.06	0.03	2.31
0.80	0.67	1.39
0.70	0.60	1.61
0.32	0.20	3.14
0.05	0.02	2.30
-0.20	0.00	1.39
-0.60	-0.40	1.61
0.22	0.13	3.04
0.40	0.33	1.39
0.19	0.15	2.89
0.21	0.16	3.09
-0.36	-0.29	2.08
0.17	0.07	2.08
0.50	0.39	2.20
0.18	0.15	3.22
-0.05	-0.02	2.89
0.28	0.18	2.83
0.50	0.33	1.10
-0.08	-0.07	2.71
0.29	0.22	3.00
0.36	0.26	2.71
0.40	0.20	2.94
0.09	0.03	2.71
0.39	0.26	3.22
0.50	0.33	1.10
-0.50	-0.33	1.10
0.18	0.13	2.77
0.29	0.24	1.95
0.14	0.10	2.83
0.40	0.26	2.56
0.30	0.24	2.71
0.22	0.11	2.20
0.50	0.33	1.10
1.00	1.00	0.69
0.38	0.25	2.64
1.00	1.00	1.10
0.22	0.15	3.00
0.21	0.14	1.95
-0.20	-0.07	1.79
-0.05	-0.04	3.33
0.26	0.14	3.14
0.90	0.80	1.61
0.65	0.51	2.56
0.58	0.43	2.64
0.50	0.33	1.10
0.18	0.13	3.26
-0.40	-0.33	1.39
0.48	0.33	3.04
0.24	0.19	2.89
0.33	0.24	2.71
0.24	0.19	2.64
-1.00	-1.00	1.10
0.67	0.45	2.48
-1.00	-1.00	0.69
0.39	0.29	2.83
-0.06	-0.09	2.40
0.50	0.33	1.10
0.12	0.08	3.30
0.11	0.09	3.22
0.66	0.58	2.64
-0.31	-0.27	2.77
0.18	0.14	2.71
0.19	0.17	2.77
0.07	-0.07	2.30
0.60	0.40	1.61
0.58	0.41	2.64
0.00	-0.02	2.40
0.62	0.57	2.08
0.38	0.26	3.00
-0.24	-0.14	3.18
1.00	1.00	0.69
0.00	0.00	2.48
-0.32	-0.27	2.48
0.06	0.08	2.64
0.36	0.23	3.09
0.07	0.08	2.56
-0.23	-0.17	3.00
0.29	0.18	3.14
0.02	0.01	2.89
0.25	0.19	2.65
0.60	0.43	2.08
0.80	0.60	1.61
0.02	0.03	3.47
0.66	0.48	2.89
-1.00	-1.00	0.69
-0.05	-0.01	3.22
0.44	0.36	2.89
0.43	0.29	2.30
0.07	0.07	2.08
0.31	0.24	2.71
-0.27	-0.14	3.18
0.57	0.43	1.95
0.02	0.03	2.71
0.35	0.21	3.30
0.03	0.02	3.14
-0.09	-0.05	2.66
0.47	0.34	3.16
0.44	0.31	3.50
0.54	0.38	2.30
0.65	0.44	3.09
0.32	0.24	2.40
0.40	0.27	2.40
-0.18	-0.14	3.47
0.43	0.27	2.40
-0.08	-0.06	0.61
-0.05	-0.05	2.94
-0.05	-0.02	2.40
-0.26	-0.19	3.14
0.20	0.15	3.22
-0.09	-0.07	2.77
-0.36	-0.33	2.30
0.02	0.01	3.47
-0.21	-0.12	2.71
0.20	0.12	2.83
-0.25	-0.16	3.97
-0.48	-0.27	2.48
0.22	0.17	2.20
-0.09	-0.07	3.39
0.06	0.04	2.94
-0.32	-0.19	3.30
0.20	0.14	2.64
-0.48	-0.50	2.08
-0.09	-0.05	2.40
0.04	0.03	2.71
0.32	0.23	3.43
