Spearman	Kendall	MutualInformation
0.73	0.53	3.09
0.54	0.41	3.09
0.66	0.45	2.77
0.90	0.80	1.61
0.63	0.38	2.56
0.87	0.70	2.77
0.78	0.64	2.48
0.74	0.56	2.40
0.61	0.48	3.00
0.49	0.32	2.89
0.96	0.90	1.95
0.89	0.71	1.95
0.52	0.36	2.08
-1.00	-1.00	0.69
0.68	0.51	2.94
0.70	0.60	1.61
0.71	0.53	3.00
0.89	0.73	1.79
0.61	0.45	2.77
-0.09	-0.07	1.79
0.39	0.24	2.48
0.55	0.43	2.08
0.52	0.39	2.20
0.64	0.46	3.04
0.32	0.33	1.95
0.76	0.60	2.30
0.14	0.20	1.79
0.93	0.79	2.08
0.80	0.60	1.61
0.69	0.54	2.56
0.78	0.61	2.20
1.00	1.00	0.69
0.44	0.31	2.83
0.50	0.33	1.10
0.83	0.73	1.79
0.65	0.56	2.20
0.09	0.07	1.79
0.52	0.42	2.40
0.72	0.68	2.83
0.50	0.38	2.40
0.71	0.52	1.95
0.51	0.36	2.48
0.94	0.87	1.79
0.66	0.60	1.79
0.63	0.44	3.37
0.29	0.22	3.14
0.50	0.33	1.10
0.74	0.51	3.18
0.79	0.63	3.43
0.77	0.59	2.56
0.46	0.31	2.40
0.83	0.62	2.77
0.12	0.07	2.08
0.68	0.52	1.95
0.63	0.41	2.56
0.68	0.48	3.09
0.68	0.56	2.30
0.58	0.45	2.64
0.60	0.44	3.69
0.72	0.53	3.43
0.89	0.71	3.37
0.72	0.54	2.71
0.61	0.46	2.94
0.74	0.53	3.18
0.64	0.52	2.64
0.59	0.36	2.56
0.81	0.64	3.18
0.68	0.50	2.20
0.74	0.53	3.14
0.94	0.82	2.48
0.88	0.72	2.56
0.74	0.54	3.58
0.83	0.63	3.08
0.75	0.62	2.71
0.81	0.63	2.77
0.54	0.40	3.00
1.00	1.00	1.39
0.67	0.49	2.64
0.70	0.54	3.26
0.77	0.60	1.79
-0.05	-0.02	2.30
0.57	0.36	2.08
0.65	0.47	2.94
0.78	0.57	3.04
-0.20	0.00	1.39
0.73	0.55	3.14
0.71	0.53	2.94
0.70	0.56	2.71
0.87	0.75	2.40
0.51	0.35	2.40
0.71	0.58	3.00
0.74	0.54	2.56
0.64	0.45	3.30
0.71	0.52	2.71
0.62	0.41	2.56
0.80	0.58	3.14
0.64	0.38	2.64
0.81	0.64	2.30
0.84	0.68	3.00
0.94	0.81	3.00
0.78	0.60	3.04
0.75	0.55	2.77
0.48	0.16	2.30
0.82	0.63	3.22
0.63	0.47	2.64
0.56	0.39	3.33
0.87	0.68	3.37
0.88	0.69	2.56
0.42	0.28	2.20
0.54	0.41	2.64
0.46	0.35	2.40
1.00	1.00	1.10
0.68	0.45	3.26
0.81	0.56	2.56
0.57	0.41	2.89
0.86	0.71	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.48	0.32	3.26
0.60	0.42	3.30
0.46	0.35	2.77
0.55	0.34	3.26
0.67	0.49	2.71
0.78	0.57	3.22
0.52	0.51	2.56
nan	nan	0.00
0.68	0.52	1.95
0.62	0.45	2.71
0.10	0.00	1.61
0.76	0.57	3.22
0.63	0.41	2.89
0.75	0.56	3.00
0.48	0.32	2.64
0.80	0.67	1.39
0.57	0.42	3.04
0.81	0.60	2.94
0.34	0.21	2.48
0.79	0.61	3.18
0.68	0.56	2.64
0.87	0.70	2.89
1.00	1.00	1.10
0.77	0.59	3.00
0.85	0.71	2.64
0.78	0.58	2.48
0.86	0.70	2.94
0.39	0.24	1.95
0.77	0.56	3.30
0.55	0.42	2.40
0.64	0.50	2.89
0.79	0.64	2.08
0.86	0.72	2.77
0.69	0.50	2.77
0.89	0.71	2.83
0.80	0.67	1.39
0.74	0.56	3.26
0.49	0.36	2.89
0.71	0.60	1.79
0.83	0.69	2.64
0.78	0.58	2.77
-0.18	-0.17	2.20
0.51	0.35	2.77
0.76	0.58	2.89
0.69	0.55	2.77
0.70	0.52	2.71
0.76	0.56	2.56
0.70	0.52	3.22
0.62	0.43	2.08
0.36	0.22	3.18
0.80	0.60	3.43
0.60	0.40	1.61
0.38	0.24	2.30
0.77	0.60	1.79
0.80	0.65	3.22
0.47	0.36	2.48
0.83	0.70	2.48
0.80	0.67	1.39
0.61	0.38	2.30
0.62	0.50	2.20
0.79	0.61	2.89
0.81	0.61	3.18
0.67	0.45	3.14
0.40	0.40	1.61
0.41	0.31	2.83
0.89	0.74	3.09
0.82	0.67	2.56
0.63	0.44	3.47
0.65	0.47	3.50
0.77	0.61	2.20
0.50	0.33	1.10
0.20	0.00	1.39
0.65	0.48	3.26
0.71	0.50	2.71
0.81	0.60	2.71
0.64	0.52	2.64
0.84	0.66	3.04
0.57	0.40	3.18
0.69	0.50	3.18
0.68	0.50	2.20
0.32	0.22	2.20
0.73	0.56	3.18
0.86	0.71	1.95
0.43	0.27	3.00
0.69	0.52	3.30
0.58	0.41	3.14
0.47	0.44	2.56
0.68	0.56	2.20
1.00	1.00	1.39
0.75	0.55	3.56
0.36	0.24	2.48
0.60	0.43	3.71
0.79	0.60	3.00
0.88	0.72	2.56
0.37	0.07	1.79
0.76	0.58	3.04
1.00	1.00	0.69
0.80	0.67	1.39
0.92	0.77	2.56
0.81	0.61	3.22
0.66	0.46	3.18
0.44	0.27	2.40
0.75	0.54	3.26
0.87	0.69	2.89
1.00	1.00	1.10
0.64	0.47	2.77
0.52	0.36	2.08
0.72	0.50	2.20
0.56	0.39	3.40
1.00	1.00	1.10
-0.43	-0.20	1.79
0.76	0.56	2.71
0.35	0.23	2.89
0.75	0.53	2.40
0.73	0.52	3.33
0.64	0.51	2.30
-1.00	-1.00	0.69
0.76	0.56	2.40
0.59	0.43	2.64
0.62	0.38	2.64
0.52	0.33	3.43
0.74	0.56	3.18
0.58	0.42	3.56
-0.30	-0.20	1.61
0.74	0.53	3.64
1.00	1.00	1.39
0.30	0.20	1.61
0.75	0.57	3.14
0.62	0.42	2.30
0.80	0.67	1.39
0.30	0.20	1.61
0.86	0.69	3.04
1.00	1.00	1.39
0.88	0.69	2.89
0.77	0.58	3.09
0.71	0.57	2.08
0.67	0.50	2.08
0.83	0.67	2.20
0.74	0.56	3.22
0.47	0.36	2.89
0.80	0.63	2.83
1.00	1.00	1.10
0.60	0.47	2.71
0.82	0.63	3.00
0.53	0.39	2.71
0.91	0.77	2.94
0.66	0.49	2.71
0.71	0.54	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.51	0.38	2.77
0.96	0.90	1.95
0.00	0.00	2.83
0.86	0.72	2.56
0.61	0.43	2.71
0.53	0.44	2.20
0.50	0.33	1.10
1.00	1.00	0.69
0.67	0.49	2.64
0.50	0.33	1.10
0.65	0.45	3.00
0.36	0.14	1.95
0.54	0.47	1.79
0.62	0.44	3.33
0.67	0.45	3.14
0.80	0.60	1.61
0.47	0.38	2.56
0.50	0.38	2.64
1.00	1.00	1.10
0.58	0.40	3.26
1.00	1.00	1.39
0.76	0.58	3.04
0.74	0.57	2.89
0.92	0.77	2.71
0.69	0.45	2.64
0.50	0.33	1.10
0.85	0.67	2.48
1.00	1.00	0.69
0.71	0.50	2.83
0.84	0.64	2.40
0.50	0.33	1.10
0.37	0.25	3.30
0.45	0.30	3.22
0.90	0.78	2.64
0.65	0.48	2.77
0.60	0.41	2.71
0.59	0.40	2.77
0.70	0.60	2.30
1.00	1.00	1.61
0.82	0.65	2.64
0.65	0.45	2.40
0.79	0.64	2.08
0.85	0.72	3.00
0.63	0.38	3.18
1.00	1.00	0.69
0.70	0.52	2.48
0.83	0.64	2.48
0.24	0.23	2.64
0.68	0.49	3.09
0.61	0.44	2.56
0.66	0.48	3.00
