Spearman	Kendall	MutualInformation
0.03	0.01	3.09
0.33	0.21	3.09
0.02	0.08	2.77
0.30	0.20	1.61
0.09	0.10	2.56
0.64	0.47	2.77
-0.10	-0.06	2.48
0.16	0.05	2.40
0.26	0.14	3.00
0.14	0.10	2.89
0.46	0.33	1.95
0.32	0.14	1.95
-0.29	-0.21	2.08
-1.00	-1.00	0.69
0.30	0.18	2.94
0.10	0.00	1.61
0.31	0.22	3.00
-0.71	-0.60	1.79
0.37	0.28	2.77
-0.26	-0.20	1.79
-0.13	-0.09	2.48
-0.45	-0.29	2.08
-0.08	-0.06	2.20
0.35	0.30	3.04
0.11	-0.05	1.95
0.37	0.29	2.30
0.43	0.33	1.79
-0.52	-0.43	2.08
0.90	0.80	1.61
0.42	0.26	2.56
0.35	0.28	2.20
1.00	1.00	0.69
-0.38	-0.24	2.83
1.00	1.00	1.10
0.54	0.47	1.79
-0.05	-0.06	2.20
-0.83	-0.73	1.79
0.35	0.24	2.40
0.49	0.35	2.83
-0.50	-0.27	2.40
0.36	0.33	1.95
0.47	0.33	2.48
0.03	0.07	1.79
0.43	0.33	1.79
0.30	0.22	3.37
0.29	0.23	3.14
0.50	0.33	1.10
0.07	0.07	3.18
0.33	0.22	3.43
0.20	0.13	2.56
0.21	0.16	2.40
0.49	0.28	2.77
0.02	0.00	2.08
0.00	0.05	1.95
-0.02	0.03	2.56
0.47	0.32	3.09
0.48	0.33	2.30
0.31	0.25	2.64
0.33	0.21	3.69
0.11	0.05	3.43
0.37	0.25	3.37
0.34	0.22	2.71
0.10	0.08	2.94
0.25	0.13	3.18
-0.09	-0.08	2.64
-0.29	-0.13	2.56
0.11	0.07	3.18
0.68	0.50	2.20
0.36	0.23	3.14
-0.20	-0.06	2.48
0.20	0.10	2.56
0.20	0.14	3.58
0.13	0.13	3.08
0.21	0.16	2.71
-0.10	-0.10	2.77
0.36	0.27	3.00
0.80	0.67	1.39
0.20	0.14	2.64
0.14	0.11	3.26
0.94	0.87	1.79
0.19	0.16	2.30
0.31	0.29	2.08
0.15	0.11	2.94
0.08	0.09	3.04
-0.40	-0.33	1.39
0.41	0.29	3.14
0.11	0.05	2.94
0.52	0.37	2.71
0.20	0.09	2.40
-0.05	-0.02	2.40
-0.03	-0.02	3.00
0.64	0.49	2.56
