Spearman	Kendall	MutualInformation
0.49	0.36	3.09
0.58	0.43	2.77
0.68	0.49	2.56
0.45	0.31	2.40
0.52	0.36	3.00
0.56	0.40	2.89
0.75	0.62	1.95
0.79	0.62	1.95
0.71	0.50	2.08
1.00	1.00	0.69
0.47	0.31	2.94
0.50	0.20	1.61
0.70	0.49	3.00
0.66	0.60	1.79
0.26	0.20	1.79
0.06	-0.03	2.48
0.83	0.71	2.08
0.68	0.50	2.20
0.39	0.26	3.04
0.71	0.52	1.95
0.26	0.20	1.79
0.76	0.71	2.08
0.10	0.00	1.61
0.49	0.33	2.56
0.82	0.61	2.20
0.50	0.32	2.83
0.89	0.73	1.79
0.70	0.56	2.20
-0.20	-0.20	1.79
0.10	0.02	2.40
0.41	0.31	2.83
0.71	0.52	1.95
0.43	0.33	2.48
0.89	0.73	1.79
0.83	0.73	1.79
0.26	0.16	3.14
0.50	0.33	1.10
0.61	0.41	3.18
0.70	0.52	3.43
0.54	0.31	2.40
0.39	0.23	2.77
0.69	0.57	2.08
0.43	0.33	1.95
0.54	0.36	2.56
0.45	0.30	3.09
0.30	0.20	2.30
0.33	0.21	2.64
0.70	0.53	3.33
0.64	0.47	3.69
0.76	0.55	3.43
0.61	0.43	2.71
0.46	0.30	2.94
0.72	0.54	3.18
0.72	0.54	2.56
0.41	0.29	3.18
0.73	0.56	2.20
0.73	0.49	3.14
0.59	0.42	2.48
0.90	0.79	2.56
0.63	0.44	3.58
0.84	0.70	2.71
0.85	0.70	2.77
0.45	0.32	3.00
0.80	0.67	1.39
0.43	0.28	3.26
0.77	0.60	1.79
0.10	0.11	2.30
0.21	0.14	2.08
0.55	0.33	2.94
0.00	0.00	1.39
0.56	0.40	3.14
0.54	0.40	2.94
0.58	0.47	2.71
0.87	0.71	2.40
0.18	0.09	2.40
0.63	0.42	3.00
0.70	0.49	2.56
0.64	0.51	2.56
0.77	0.57	3.14
0.71	0.47	2.64
0.67	0.47	2.30
0.78	0.61	3.00
0.80	0.64	3.00
0.74	0.55	3.04
0.70	0.52	2.77
0.60	0.38	2.30
0.80	0.59	3.22
0.65	0.49	2.64
0.30	0.21	3.33
0.79	0.61	3.37
0.48	0.36	2.64
0.83	0.64	2.40
1.00	1.00	1.10
0.69	0.50	3.26
0.50	0.36	2.89
0.82	0.62	1.95
1.00	1.00	0.69
0.70	0.53	3.26
0.65	0.45	3.30
0.49	0.37	2.77
0.66	0.46	3.26
0.44	0.30	2.71
0.32	0.21	2.56
nan	nan	0.00
0.61	0.52	1.95
0.54	0.45	2.71
0.45	0.33	3.18
0.65	0.48	2.89
0.61	0.49	3.00
0.66	0.52	2.64
0.80	0.67	1.39
0.62	0.42	2.30
0.69	0.50	3.04
0.64	0.48	2.77
0.67	0.44	2.94
0.48	0.33	2.48
0.52	0.36	3.18
0.75	0.52	2.89
0.50	0.33	1.10
0.71	0.53	3.00
0.71	0.49	2.64
0.74	0.64	2.48
0.61	0.40	2.94
0.46	0.43	1.95
0.57	0.41	3.30
0.64	0.48	2.89
0.80	0.63	2.77
0.85	0.68	2.83
1.00	1.00	1.39
0.69	0.50	3.26
0.58	0.48	2.89
0.83	0.73	1.79
0.78	0.60	2.64
0.65	0.50	2.77
0.05	0.06	2.20
0.50	0.37	2.77
0.76	0.60	2.71
0.59	0.44	3.22
0.26	0.14	2.08
0.57	0.41	3.18
0.69	0.49	3.43
0.70	0.60	1.61
0.45	0.32	3.40
0.21	0.07	2.30
0.83	0.73	1.79
0.75	0.54	3.22
0.29	0.21	2.48
0.73	0.58	2.48
0.40	0.33	1.39
0.65	0.42	2.30
0.50	0.44	2.20
0.59	0.45	2.89
0.69	0.51	3.18
0.60	0.40	1.61
0.63	0.50	2.83
0.84	0.68	3.09
0.79	0.62	2.56
0.62	0.45	3.47
0.52	0.37	3.50
0.75	0.56	2.20
0.65	0.46	3.26
0.50	0.33	1.10
-0.80	-0.67	1.39
