Spearman	Kendall	MutualInformation
0.34	0.24	3.09
0.37	0.26	3.09
0.73	0.55	2.77
0.70	0.60	1.61
0.69	0.56	2.56
0.71	0.53	2.77
0.69	0.48	2.48
0.66	0.42	2.40
0.54	0.41	3.00
0.27	0.20	2.89
0.86	0.71	1.95
0.50	0.33	1.95
0.38	0.29	2.08
-1.00	-1.00	0.69
0.60	0.44	2.94
0.00	0.20	1.61
0.47	0.35	3.00
0.20	0.20	1.79
0.77	0.60	2.77
0.60	0.47	1.79
0.22	0.18	2.48
0.60	0.43	2.08
0.50	0.33	2.20
0.27	0.19	3.04
0.32	0.33	1.95
0.56	0.51	2.30
0.20	0.07	1.79
0.62	0.43	2.08
0.90	0.80	1.61
0.59	0.44	2.56
0.17	0.11	2.20
1.00	1.00	0.69
0.51	0.37	2.83
1.00	1.00	1.10
0.77	0.60	1.79
0.23	0.11	2.20
0.37	0.20	1.79
0.30	0.16	2.40
0.69	0.50	2.83
0.37	0.35	2.40
0.04	-0.05	1.95
0.84	0.67	2.48
0.54	0.33	1.79
0.43	0.20	1.79
0.46	0.28	3.37
-0.00	-0.01	3.14
0.50	0.33	1.10
0.67	0.43	3.18
0.67	0.48	3.43
0.53	0.44	2.56
0.76	0.60	2.40
0.53	0.37	2.77
0.43	0.29	2.08
0.71	0.52	1.95
0.46	0.33	2.56
0.39	0.22	3.09
0.76	0.56	2.30
0.17	0.08	2.64
0.37	0.26	3.69
0.50	0.35	3.43
0.54	0.39	3.37
0.59	0.41	2.71
0.31	0.23	2.94
0.66	0.48	3.18
0.69	0.49	2.64
0.59	0.46	2.56
0.42	0.30	3.18
0.45	0.33	2.20
0.46	0.33	3.14
0.44	0.30	2.48
0.72	0.54	2.56
0.34	0.21	3.58
0.70	0.51	3.08
0.60	0.43	2.71
0.63	0.50	2.77
0.68	0.49	3.00
1.00	1.00	1.39
0.70	0.47	2.64
0.52	0.38	3.26
0.77	0.60	1.79
-0.10	-0.11	2.30
0.64	0.50	2.08
0.42	0.32	2.94
0.59	0.39	3.04
-0.20	0.00	1.39
0.52	0.36	3.14
0.61	0.43	2.94
0.71	0.56	2.71
0.53	0.35	2.40
0.63	0.45	2.40
0.43	0.33	3.00
0.68	0.51	2.56
0.56	0.41	3.30
0.69	0.54	2.71
0.58	0.44	2.56
0.54	0.38	3.14
0.72	0.49	2.64
0.47	0.38	2.30
0.44	0.31	3.00
0.65	0.48	3.00
0.71	0.50	3.04
0.54	0.40	2.77
0.94	0.82	2.30
0.61	0.45	3.22
0.51	0.34	2.64
0.34	0.24	3.33
0.62	0.44	3.37
0.81	0.64	2.56
0.60	0.44	2.20
0.65	0.49	2.64
0.73	0.56	2.40
1.00	1.00	1.10
0.63	0.44	3.26
0.63	0.46	2.56
0.27	0.16	2.89
0.50	0.43	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.60	0.48	3.26
0.33	0.24	3.30
0.41	0.35	2.77
0.62	0.46	3.26
0.59	0.41	2.71
0.64	0.47	3.22
0.70	0.54	2.56
nan	nan	0.00
0.36	0.24	1.95
0.31	0.20	2.71
0.30	0.20	1.61
0.70	0.51	3.22
0.62	0.45	2.89
0.69	0.49	3.00
0.59	0.43	2.64
0.80	0.67	1.39
0.64	0.41	3.04
0.31	0.15	2.94
0.59	0.42	2.48
0.55	0.41	3.18
0.61	0.49	2.64
0.74	0.58	2.89
1.00	1.00	1.10
0.58	0.38	3.00
0.55	0.34	2.64
0.71	0.55	2.48
0.73	0.54	2.94
0.29	0.24	1.95
0.57	0.41	3.30
0.55	0.42	2.40
0.43	0.29	2.89
0.69	0.57	2.08
0.63	0.47	2.77
0.52	0.33	2.77
0.59	0.40	2.83
0.40	0.33	1.39
0.45	0.30	3.26
0.63	0.48	2.89
0.49	0.33	1.79
0.66	0.47	2.64
0.56	0.42	2.77
0.35	0.22	2.20
0.65	0.52	2.77
0.52	0.40	2.89
0.69	0.53	2.77
0.53	0.30	2.71
0.58	0.44	2.56
0.30	0.21	3.22
0.60	0.43	2.08
0.31	0.17	3.18
0.49	0.35	3.43
0.60	0.40	1.61
0.35	0.24	2.30
0.83	0.73	1.79
0.48	0.29	3.22
0.56	0.36	2.48
0.70	0.55	2.48
0.40	0.33	1.39
0.72	0.56	2.30
0.37	0.28	2.20
0.63	0.42	2.89
0.67	0.51	3.18
0.65	0.49	3.14
0.90	0.80	1.61
0.37	0.26	2.83
0.73	0.58	3.09
0.76	0.59	2.56
0.47	0.34	3.47
0.46	0.31	3.50
0.68	0.50	2.20
0.50	0.33	1.10
0.40	0.33	1.39
0.53	0.37	3.26
0.32	0.20	2.71
0.63	0.43	2.71
0.67	0.52	2.64
0.52	0.36	3.04
0.48	0.32	3.18
0.73	0.54	3.18
0.23	0.17	2.20
0.32	0.22	2.20
0.47	0.32	3.18
0.93	0.81	1.95
0.40	0.23	3.00
0.67	0.53	3.30
0.36	0.26	3.14
0.37	0.23	2.56
0.62	0.44	2.20
1.00	1.00	1.39
0.66	0.45	3.56
0.75	0.52	2.48
0.33	0.21	3.71
0.70	0.46	3.00
0.80	0.67	2.56
0.54	0.33	1.79
0.57	0.43	3.04
1.00	1.00	0.69
0.40	0.33	1.39
0.78	0.62	2.56
0.53	0.35	3.22
0.39	0.25	3.18
0.22	0.13	2.40
0.45	0.32	3.26
0.68	0.49	2.89
0.50	0.33	1.10
0.86	0.72	2.77
0.74	0.57	2.08
0.67	0.44	2.20
0.26	0.17	3.40
0.50	0.33	1.10
0.37	0.33	1.79
0.49	0.30	2.71
0.26	0.19	2.89
0.49	0.45	2.40
0.34	0.23	3.33
0.44	0.24	2.30
1.00	1.00	0.69
0.65	0.49	2.40
0.79	0.60	2.64
0.12	0.05	2.64
0.13	0.07	3.43
0.45	0.30	3.18
0.48	0.36	3.56
-0.40	-0.40	1.61
0.56	0.33	3.64
0.80	0.67	1.39
0.60	0.40	1.61
0.62	0.44	3.14
0.56	0.42	2.30
0.80	0.67	1.39
0.60	0.40	1.61
0.73	0.52	3.04
0.80	0.67	1.39
0.70	0.53	2.89
0.60	0.39	3.09
0.69	0.57	2.08
0.40	0.36	2.08
0.72	0.50	2.20
0.38	0.28	3.22
0.40	0.29	2.89
0.57	0.37	2.83
0.50	0.33	1.10
0.50	0.33	2.71
0.76	0.59	3.00
0.57	0.43	2.71
0.74	0.54	2.94
0.34	0.24	2.71
0.55	0.37	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.53	0.33	2.77
0.21	0.14	1.95
-0.37	-0.29	2.83
0.79	0.62	2.56
0.48	0.35	2.71
0.38	0.28	2.20
0.50	0.33	1.10
-1.00	-1.00	0.69
0.76	0.58	2.64
0.50	0.33	1.10
0.20	0.14	3.00
-0.39	-0.24	1.95
-0.09	-0.07	1.79
0.27	0.16	3.33
0.65	0.45	3.14
