Spearman	Kendall	MutualInformation
0.41	0.29	3.09
0.38	0.27	3.09
0.74	0.55	2.77
0.70	0.60	1.61
0.60	0.46	2.56
0.72	0.52	2.77
0.73	0.58	2.48
0.62	0.38	2.40
0.62	0.47	3.00
0.44	0.24	2.89
0.89	0.81	1.95
0.64	0.43	1.95
0.60	0.57	2.08
-1.00	-1.00	0.69
0.64	0.51	2.94
-0.10	0.00	1.61
0.52	0.38	3.00
0.20	0.20	1.79
0.81	0.65	2.77
0.71	0.60	1.79
0.34	0.24	2.48
0.57	0.43	2.08
0.57	0.39	2.20
0.21	0.16	3.04
0.68	0.52	1.95
0.49	0.42	2.30
0.26	0.20	1.79
0.48	0.21	2.08
0.70	0.60	1.61
0.69	0.49	2.56
0.32	0.28	2.20
1.00	1.00	0.69
0.47	0.34	2.83
1.00	1.00	1.10
0.77	0.60	1.79
0.45	0.33	2.20
0.60	0.47	1.79
0.05	-0.02	2.40
0.62	0.44	2.83
0.53	0.38	2.40
0.04	-0.05	1.95
0.85	0.70	2.48
0.66	0.47	1.79
0.37	0.07	1.79
0.56	0.36	3.37
-0.06	-0.04	3.14
0.50	0.33	1.10
0.72	0.51	3.18
0.69	0.53	3.43
0.58	0.46	2.56
0.57	0.42	2.40
0.56	0.37	2.77
0.69	0.50	2.08
0.86	0.71	1.95
0.38	0.28	2.56
0.50	0.29	3.09
0.75	0.60	2.30
0.39	0.27	2.64
0.44	0.32	3.69
0.56	0.37	3.43
0.63	0.45	3.37
0.62	0.43	2.71
0.38	0.26	2.94
0.66	0.46	3.18
0.75	0.52	2.64
0.71	0.56	2.56
0.58	0.44	3.18
0.25	0.22	2.20
0.50	0.37	3.14
0.59	0.42	2.48
0.79	0.62	2.56
0.45	0.29	3.58
0.71	0.51	3.08
0.52	0.37	2.71
0.61	0.45	2.77
0.62	0.43	3.00
1.00	1.00	1.39
0.73	0.52	2.64
0.53	0.38	3.26
0.83	0.73	1.79
0.05	0.02	2.30
0.98	0.93	2.08
0.42	0.31	2.94
0.67	0.44	3.04
-0.20	0.00	1.39
0.63	0.48	3.14
0.55	0.39	2.94
0.79	0.62	2.71
0.47	0.27	2.40
0.65	0.45	2.40
0.52	0.40	3.00
0.66	0.49	2.56
0.62	0.44	3.30
0.79	0.66	2.71
0.54	0.38	2.56
0.60	0.44	3.14
0.68	0.47	2.64
0.58	0.42	2.30
0.60	0.40	3.00
0.64	0.49	3.00
0.72	0.52	3.04
0.69	0.52	2.77
0.87	0.69	2.30
0.67	0.47	3.22
0.61	0.45	2.64
0.46	0.33	3.33
0.66	0.49	3.37
0.85	0.67	2.56
0.53	0.33	2.20
0.74	0.58	2.64
0.67	0.53	2.40
0.50	0.33	1.10
0.67	0.45	3.26
0.68	0.46	2.56
0.27	0.15	2.89
0.71	0.52	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.64	0.50	3.26
0.38	0.28	3.30
0.40	0.30	2.77
0.67	0.49	3.26
0.57	0.35	2.71
0.56	0.40	3.22
0.74	0.56	2.56
nan	nan	0.00
0.18	0.14	1.95
0.52	0.37	2.71
0.30	0.20	1.61
0.72	0.53	3.22
0.71	0.54	2.89
0.74	0.55	3.00
0.62	0.41	2.64
0.80	0.67	1.39
0.72	0.53	3.04
0.34	0.20	2.94
0.59	0.45	2.48
0.62	0.46	3.18
0.54	0.38	2.64
0.82	0.62	2.89
1.00	1.00	1.10
0.62	0.41	3.00
0.65	0.36	2.64
0.72	0.45	2.48
0.74	0.56	2.94
0.36	0.24	1.95
0.60	0.45	3.30
0.74	0.56	2.40
0.44	0.33	2.89
0.69	0.57	2.08
0.70	0.55	2.77
0.50	0.32	2.77
0.73	0.50	2.83
0.20	0.00	1.39
0.51	0.32	3.26
0.53	0.32	2.89
0.31	0.20	1.79
0.79	0.60	2.64
0.56	0.40	2.77
0.18	0.11	2.20
0.61	0.43	2.77
0.55	0.39	2.89
0.66	0.50	2.77
0.55	0.31	2.71
0.59	0.44	2.56
0.46	0.31	3.22
0.60	0.43	2.08
0.37	0.23	3.18
0.54	0.40	3.43
0.60	0.40	1.61
0.49	0.38	2.30
0.77	0.60	1.79
0.55	0.31	3.22
0.69	0.52	2.48
0.71	0.55	2.48
0.40	0.33	1.39
0.65	0.47	2.30
0.42	0.28	2.20
0.66	0.50	2.89
0.71	0.55	3.18
0.71	0.50	3.14
0.90	0.80	1.61
0.46	0.32	2.83
0.76	0.58	3.09
0.80	0.59	2.56
0.46	0.32	3.47
0.60	0.41	3.50
0.72	0.56	2.20
0.50	0.33	1.10
0.40	0.33	1.39
0.59	0.42	3.26
0.40	0.30	2.71
0.67	0.47	2.71
0.59	0.45	2.64
0.61	0.45	3.04
0.56	0.38	3.18
0.72	0.53	3.18
0.55	0.44	2.20
0.60	0.50	2.20
0.64	0.47	3.18
0.93	0.81	1.95
0.49	0.35	3.00
0.72	0.53	3.30
0.40	0.30	3.14
