Spearman	Kendall	MutualInformation
0.30	0.19	3.09
0.68	0.49	3.09
0.80	0.62	2.77
0.10	0.00	1.61
0.55	0.36	2.56
0.61	0.40	2.77
0.69	0.48	2.48
0.59	0.49	2.40
0.48	0.35	3.00
0.47	0.28	2.89
0.57	0.43	1.95
0.43	0.24	1.95
0.81	0.64	2.08
1.00	1.00	0.69
0.38	0.26	2.94
0.40	0.40	1.61
0.28	0.22	3.00
0.60	0.47	1.79
0.60	0.40	2.77
0.77	0.60	1.79
0.57	0.42	2.48
0.76	0.57	2.08
0.83	0.67	2.20
0.53	0.37	3.04
0.46	0.33	1.95
0.53	0.47	2.30
0.49	0.33	1.79
0.48	0.36	2.08
0.70	0.60	1.61
0.26	0.18	2.56
0.67	0.50	2.20
1.00	1.00	0.69
0.43	0.32	2.83
1.00	1.00	1.10
0.60	0.33	1.79
0.37	0.22	2.20
0.14	0.20	1.79
0.30	0.24	2.40
0.38	0.31	2.83
0.57	0.38	2.40
0.32	0.14	1.95
0.46	0.45	2.48
0.89	0.73	1.79
0.37	0.07	1.79
0.39	0.28	3.37
0.57	0.42	3.14
0.50	0.33	1.10
0.72	0.52	3.18
0.58	0.39	3.43
0.59	0.44	2.56
0.36	0.27	2.40
0.69	0.52	2.77
0.14	0.14	2.08
0.57	0.43	1.95
0.38	0.23	2.56
0.36	0.23	3.09
0.70	0.51	2.30
0.37	0.27	2.64
0.35	0.26	3.69
0.66	0.48	3.43
0.55	0.38	3.37
0.56	0.35	2.71
0.19	0.13	2.94
0.66	0.47	3.18
0.49	0.36	2.64
0.25	0.15	2.56
0.53	0.38	3.18
-0.02	0.00	2.20
0.41	0.26	3.14
0.57	0.42	2.48
0.32	0.23	2.56
0.51	0.34	3.58
0.58	0.37	3.08
0.44	0.30	2.71
0.56	0.40	2.77
0.52	0.36	3.00
0.80	0.67	1.39
0.62	0.47	2.64
0.33	0.24	3.26
0.54	0.47	1.79
0.52	0.33	2.30
0.83	0.71	2.08
0.37	0.22	2.94
0.58	0.41	3.04
-0.80	-0.67	1.39
0.31	0.21	3.14
0.62	0.44	2.94
0.79	0.58	2.71
0.70	0.53	2.40
0.76	0.64	2.40
0.47	0.32	3.00
0.62	0.46	2.56
0.75	0.57	3.30
0.56	0.35	2.71
0.59	0.46	2.56
0.75	0.53	3.14
0.87	0.67	2.64
0.60	0.33	2.30
0.68	0.53	3.00
0.48	0.34	3.00
0.56	0.43	3.04
0.62	0.47	2.77
0.88	0.73	2.30
0.69	0.48	3.22
0.27	0.27	2.64
0.55	0.39	3.33
0.79	0.58	3.37
0.68	0.49	2.56
0.00	0.06	2.20
0.71	0.52	2.64
0.28	0.16	2.40
1.00	1.00	1.10
0.69	0.49	3.26
0.79	0.67	2.56
0.34	0.23	2.89
0.54	0.43	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.47	0.35	3.26
0.25	0.17	3.30
0.44	0.33	2.77
0.73	0.53	3.26
0.38	0.22	2.71
0.38	0.27	3.22
0.65	0.51	2.56
nan	nan	0.00
0.04	-0.05	1.95
0.31	0.18	2.71
-0.10	0.00	1.61
0.62	0.46	3.22
0.63	0.49	2.89
0.54	0.43	3.00
0.49	0.38	2.64
0.40	0.33	1.39
0.56	0.39	3.04
0.25	0.13	2.94
0.43	0.30	2.48
0.63	0.45	3.18
0.16	0.12	2.64
0.68	0.52	2.89
0.50	0.33	1.10
0.62	0.43	3.00
0.47	0.27	2.64
0.52	0.39	2.48
0.68	0.51	2.94
0.64	0.52	1.95
0.41	0.27	3.30
0.48	0.38	2.40
0.55	0.42	2.89
0.24	0.21	2.08
0.49	0.35	2.77
0.36	0.30	2.77
0.83	0.63	2.83
0.60	0.33	1.39
0.54	0.38	3.26
0.39	0.28	2.89
0.54	0.47	1.79
0.53	0.36	2.64
