Spearman	Kendall	MutualInformation
0.21	0.14	3.09
0.34	0.25	2.77
0.27	0.21	2.56
0.65	0.53	2.40
0.21	0.16	3.00
0.18	0.11	2.89
0.93	0.81	1.95
0.71	0.52	1.95
0.29	0.14	2.08
1.00	1.00	0.69
0.34	0.25	2.94
0.60	0.40	1.61
0.24	0.19	3.00
-0.60	-0.47	1.79
0.66	0.47	1.79
0.06	0.06	2.48
0.31	0.14	2.08
0.27	0.22	2.20
0.53	0.41	3.04
0.14	0.05	1.95
0.14	0.07	1.79
-0.40	-0.29	2.08
1.00	1.00	1.61
0.05	0.05	2.56
-0.12	-0.11	2.20
0.40	0.26	2.83
0.77	0.60	1.79
0.63	0.44	2.20
-0.37	-0.33	1.79
0.36	0.16	2.40
0.60	0.38	2.83
0.21	0.14	1.95
0.80	0.61	2.48
-0.26	-0.20	1.79
0.31	0.20	1.79
0.53	0.38	3.14
-0.50	-0.33	1.10
0.13	0.12	3.18
0.26	0.18	3.43
0.52	0.31	2.40
0.69	0.48	2.77
-0.38	-0.29	2.08
0.32	0.24	1.95
0.29	0.21	2.56
0.21	0.13	3.09
0.68	0.51	2.30
0.65	0.52	2.64
0.52	0.37	3.33
0.34	0.24	3.69
0.28	0.20	3.43
0.45	0.41	2.71
0.24	0.18	2.94
0.56	0.38	3.18
0.25	0.18	2.56
0.54	0.36	3.18
0.23	0.22	2.20
0.26	0.19	3.14
0.57	0.52	2.48
0.44	0.31	2.56
0.24	0.17	3.58
0.32	0.24	2.71
0.22	0.15	2.77
0.47	0.35	3.00
0.80	0.67	1.39
0.12	0.08	3.26
0.49	0.33	1.79
-0.15	-0.11	2.30
-0.40	-0.36	2.08
-0.01	0.01	2.94
-0.40	-0.33	1.39
0.03	0.00	3.14
0.18	0.13	2.94
0.57	0.41	2.71
0.47	0.31	2.40
0.72	0.56	2.40
0.40	0.29	3.00
0.81	0.64	2.56
0.58	0.41	2.56
0.48	0.32	3.14
0.38	0.27	2.64
0.81	0.60	2.30
0.11	0.07	3.00
0.54	0.38	3.00
0.54	0.38	3.04
0.21	0.15	2.77
0.27	0.24	2.30
0.52	0.37	3.22
0.32	0.21	2.64
0.21	0.17	3.33
0.51	0.35	3.37
0.36	0.27	2.64
-0.40	-0.38	2.40
-0.50	-0.33	1.10
0.20	0.16	3.26
-0.48	-0.35	2.89
0.29	0.24	1.95
1.00	1.00	0.69
0.34	0.24	3.26
0.21	0.18	3.30
0.06	0.10	2.77
0.39	0.27	3.26
0.00	0.01	2.71
0.69	0.51	2.56
nan	nan	0.00
0.32	0.24	1.95
0.13	0.07	2.71
0.32	0.19	3.18
0.60	0.41	2.89
0.53	0.38	3.00
0.48	0.34	2.64
0.80	0.67	1.39
0.52	0.38	2.30
0.45	0.33	3.04
0.62	0.48	2.77
0.19	0.13	2.94
0.16	0.09	2.48
0.38	0.26	3.18
0.38	0.28	2.89
-1.00	-1.00	1.10
-0.18	-0.15	3.00
-0.05	-0.03	2.64
0.40	0.24	2.48
0.09	0.10	2.94
0.61	0.52	1.95
0.39	0.25	3.30
0.25	0.16	2.89
0.21	0.20	2.77
0.40	0.26	2.83
