Spearman	Kendall	MutualInformation
0.74	0.58	3.09
0.64	0.50	3.09
0.65	0.45	2.77
1.00	1.00	1.61
0.67	0.51	2.56
0.79	0.60	2.77
0.85	0.73	2.48
0.86	0.75	2.40
0.71	0.54	3.00
0.50	0.31	2.89
0.96	0.90	1.95
0.79	0.62	1.95
0.90	0.79	2.08
1.00	1.00	0.69
0.61	0.42	2.94
0.70	0.60	1.61
0.76	0.54	3.00
0.49	0.33	1.79
0.70	0.55	2.77
0.49	0.33	1.79
0.28	0.15	2.48
0.71	0.57	2.08
0.77	0.61	2.20
0.61	0.44	3.04
0.79	0.71	1.95
0.92	0.78	2.30
0.26	0.20	1.79
0.93	0.86	2.08
0.80	0.60	1.61
0.66	0.49	2.56
0.75	0.56	2.20
1.00	1.00	0.69
0.35	0.25	2.83
0.50	0.33	1.10
0.66	0.60	1.79
0.77	0.61	2.20
0.77	0.60	1.79
0.54	0.42	2.40
0.74	0.56	2.83
0.56	0.35	2.40
0.79	0.62	1.95
0.78	0.64	2.48
0.94	0.87	1.79
0.66	0.60	1.79
0.78	0.60	3.37
0.31	0.21	3.14
0.50	0.33	1.10
0.78	0.59	3.18
0.82	0.63	3.43
0.74	0.54	2.56
0.50	0.35	2.40
0.86	0.72	2.77
0.36	0.21	2.08
0.71	0.52	1.95
0.67	0.49	2.56
0.67	0.45	3.09
0.73	0.60	2.30
0.68	0.52	2.64
0.66	0.50	3.69
0.62	0.42	3.43
0.87	0.68	3.37
0.67	0.50	2.71
0.41	0.31	2.94
0.77	0.56	3.18
0.85	0.67	2.64
0.79	0.64	2.56
0.61	0.46	3.18
0.70	0.50	2.20
0.83	0.65	3.14
0.89	0.76	2.48
0.73	0.56	2.56
0.60	0.43	3.58
0.78	0.55	3.08
0.64	0.49	2.71
0.80	0.62	2.77
0.63	0.45	3.00
0.80	0.67	1.39
0.83	0.67	2.64
0.62	0.45	3.26
0.83	0.73	1.79
-0.04	-0.07	2.30
0.62	0.43	2.08
0.61	0.45	2.94
0.72	0.50	3.04
0.80	0.67	1.39
0.72	0.53	3.14
0.80	0.65	2.94
0.69	0.49	2.71
0.68	0.53	2.40
0.54	0.31	2.40
0.79	0.61	3.00
0.79	0.62	2.56
0.74	0.53	3.30
0.73	0.52	2.71
0.65	0.49	2.56
0.87	0.68	3.14
0.75	0.54	2.64
0.71	0.47	2.30
0.80	0.63	3.00
0.93	0.81	3.00
0.80	0.63	3.04
0.77	0.58	2.77
0.73	0.51	2.30
0.78	0.56	3.22
0.73	0.54	2.64
0.71	0.50	3.33
0.81	0.61	3.37
0.87	0.67	2.56
0.48	0.33	2.20
0.56	0.45	2.64
0.75	0.60	2.40
1.00	1.00	1.10
0.78	0.58	3.26
0.71	0.46	2.56
0.38	0.27	2.89
0.86	0.71	1.95
1.00	1.00	1.10
1.00	1.00	0.69
0.76	0.58	3.26
0.59	0.42	3.30
0.43	0.35	2.77
0.76	0.56	3.26
0.60	0.41	2.71
0.70	0.50	3.22
0.76	0.59	2.56
nan	nan	0.00
0.36	0.24	1.95
0.45	0.35	2.71
0.60	0.40	1.61
0.67	0.49	3.22
0.73	0.48	2.89
0.65	0.53	3.00
0.70	0.56	2.64
0.80	0.67	1.39
0.72	0.53	3.04
0.74	0.52	2.94
0.28	0.18	2.48
0.86	0.68	3.18
0.68	0.49	2.64
0.83	0.66	2.89
1.00	1.00	1.10
0.75	0.60	3.00
0.81	0.65	2.64
0.85	0.70	2.48
0.84	0.67	2.94
0.82	0.62	1.95
0.77	0.56	3.30
0.75	0.56	2.40
0.68	0.49	2.89
0.64	0.50	2.08
0.78	0.58	2.77
0.60	0.45	2.77
0.88	0.69	2.83
0.60	0.33	1.39
0.77	0.56	3.26
0.47	0.32	2.89
0.43	0.33	1.79
0.45	0.27	2.64
0.66	0.48	2.77
-0.05	-0.06	2.20
0.69	0.50	2.77
0.80	0.58	2.89
0.65	0.45	2.77
0.67	0.50	2.71
0.65	0.51	2.56
0.70	0.52	3.22
0.52	0.43	2.08
0.55	0.39	3.18
0.73	0.51	3.43
0.60	0.40	1.61
0.32	0.24	2.30
0.66	0.47	1.79
0.77	0.57	3.22
0.61	0.52	2.48
0.82	0.64	2.48
0.40	0.33	1.39
0.66	0.47	2.30
0.53	0.44	2.20
0.75	0.58	2.89
0.86	0.70	3.18
0.74	0.53	3.14
0.80	0.60	1.61
0.22	0.16	2.83
0.79	0.61	3.09
0.71	0.46	2.56
0.68	0.49	3.47
0.69	0.49	3.50
0.83	0.67	2.20
0.50	0.33	1.10
0.20	0.00	1.39
0.62	0.44	3.26
0.64	0.47	2.71
0.81	0.60	2.71
0.79	0.60	2.64
0.83	0.61	3.04
0.62	0.45	3.18
0.77	0.59	3.18
0.75	0.61	2.20
0.40	0.28	2.20
0.86	0.66	3.18
0.93	0.81	1.95
0.46	0.31	3.00
0.74	0.59	3.30
0.77	0.57	3.14
0.35	0.26	2.56
0.58	0.39	2.20
1.00	1.00	1.39
0.74	0.55	3.56
0.49	0.39	2.48
0.61	0.45	3.71
0.83	0.62	3.00
0.76	0.51	2.56
0.43	0.20	1.79
0.81	0.59	3.04
1.00	1.00	0.69
0.80	0.67	1.39
0.87	0.69	2.56
0.79	0.61	3.22
0.73	0.54	3.18
0.65	0.53	2.40
0.80	0.62	3.26
0.85	0.61	2.89
1.00	1.00	1.10
0.63	0.42	2.77
0.88	0.71	2.08
0.73	0.61	2.20
0.55	0.37	3.40
0.50	0.33	1.10
0.14	0.07	1.79
0.85	0.68	2.71
0.35	0.22	2.89
0.77	0.56	2.40
0.79	0.59	3.33
0.71	0.56	2.30
1.00	1.00	0.69
0.68	0.53	2.40
0.66	0.45	2.64
0.54	0.36	2.64
0.39	0.26	3.43
0.77	0.58	3.18
0.57	0.42	3.56
0.70	0.60	1.61
0.77	0.57	3.64
0.80	0.67	1.39
0.70	0.60	1.61
0.76	0.59	3.14
0.75	0.51	2.30
0.80	0.67	1.39
0.10	0.00	1.61
0.72	0.51	3.04
0.80	0.67	1.39
0.81	0.63	2.89
0.77	0.56	3.09
0.76	0.57	2.08
0.57	0.43	2.08
0.90	0.83	2.20
0.69	0.48	3.22
0.50	0.41	2.89
0.87	0.71	2.83
0.50	0.33	1.10
0.69	0.52	2.71
0.83	0.61	3.00
0.52	0.35	2.71
0.88	0.71	2.94
0.40	0.28	2.71
0.59	0.41	3.22
0.50	0.33	1.10
0.50	0.33	1.10
0.46	0.30	2.77
0.68	0.52	1.95
-0.04	0.01	2.83
0.90	0.74	2.56
0.78	0.54	2.71
0.60	0.44	2.20
1.00	1.00	1.10
1.00	1.00	0.69
0.67	0.45	2.64
0.50	0.33	1.10
0.60	0.46	3.00
-0.14	-0.24	1.95
0.60	0.47	1.79
0.48	0.35	3.33
0.76	0.56	3.14
1.00	1.00	1.61
0.79	0.62	2.56
0.56	0.45	2.64
1.00	1.00	1.10
0.43	0.29	3.26
1.00	1.00	1.39
0.70	0.50	3.04
0.71	0.53	2.89
0.89	0.68	2.71
0.61	0.41	2.64
1.00	1.00	1.10
0.78	0.58	2.48
1.00	1.00	0.69
0.74	0.57	2.83
0.84	0.64	2.40
1.00	1.00	1.10
0.39	0.27	3.30
0.64	0.45	3.22
0.81	0.67	2.64
0.61	0.45	2.77
0.61	0.45	2.71
0.76	0.58	2.77
0.85	0.73	2.30
1.00	1.00	1.61
0.83	0.65	2.64
0.48	0.31	2.40
0.88	0.71	2.08
0.86	0.68	3.00
0.66	0.46	3.18
1.00	1.00	0.69
0.67	0.52	2.48
0.69	0.48	2.48
0.27	0.23	2.64
0.71	0.50	3.09
0.61	0.44	2.56
0.67	0.49	3.00
0.64	0.48	3.14
0.44	0.29	2.89
0.72	0.55	3.56
0.88	0.79	2.08
1.00	1.00	1.61
0.72	0.53	3.47
0.51	0.35	2.89
1.00	1.00	0.69
0.58	0.39	3.22
0.90	0.75	2.89
0.45	0.33	2.30
0.86	0.71	2.08
0.47	0.35	2.71
0.64	0.49	3.18
0.82	0.71	1.95
0.80	0.60	2.71
0.73	0.52	3.30
0.75	0.56	3.14
0.75	0.55	3.61
0.85	0.65	3.22
0.87	0.68	3.50
0.64	0.47	2.30
0.34	0.26	3.09
0.65	0.49	2.40
0.75	0.56	2.40
0.58	0.39	3.58
0.40	0.31	2.40
0.78	0.57	3.87
0.73	0.54	2.94
0.90	0.82	2.40
0.81	0.62	3.14
0.81	0.61	3.22
0.56	0.37	2.77
0.67	0.42	2.30
0.70	0.52	3.47
0.52	0.41	2.71
0.59	0.43	2.83
0.78	0.58	3.97
0.80	0.58	2.48
0.38	0.28	2.20
0.75	0.54	3.43
0.85	0.66	2.94
0.83	0.65	3.30
0.82	0.65	2.64
0.69	0.57	2.08
0.54	0.38	2.40
0.76	0.58	2.71
0.74	0.53	3.43
0.76	0.57	2.08
0.87	0.71	2.83
0.87	0.71	3.22
0.84	0.65	2.77
0.69	0.57	2.08
0.21	0.15	3.14
0.91	0.77	3.00
0.83	0.60	3.30
0.69	0.54	2.89
0.78	0.62	3.26
0.88	0.71	2.08
0.73	0.56	2.20
0.70	0.49	2.64
0.84	0.66	3.37
0.82	0.59	2.56
0.81	0.63	2.64
0.71	0.54	3.00
0.59	0.43	3.33
0.39	0.24	1.95
0.68	0.50	2.94
0.56	0.40	3.58
0.63	0.43	3.78
