Spearman	Kendall	MutualInformation
0.47	0.27	3.09
0.51	0.37	3.09
0.54	0.40	2.77
1.00	1.00	1.61
0.66	0.46	2.56
0.69	0.52	2.77
0.65	0.45	2.48
0.47	0.35	2.40
0.53	0.39	3.00
0.48	0.32	2.89
0.93	0.81	1.95
0.57	0.43	1.95
0.12	0.14	2.08
-1.00	-1.00	0.69
0.68	0.54	2.94
0.70	0.60	1.61
0.56	0.37	3.00
0.54	0.47	1.79
0.62	0.47	2.77
-0.09	-0.07	1.79
-0.21	-0.15	2.48
0.62	0.50	2.08
0.65	0.44	2.20
0.19	0.13	3.04
-0.04	-0.05	1.95
0.60	0.42	2.30
0.03	-0.07	1.79
0.83	0.64	2.08
0.80	0.60	1.61
0.63	0.51	2.56
0.58	0.33	2.20
1.00	1.00	0.69
0.33	0.22	2.83
0.50	0.33	1.10
0.89	0.73	1.79
0.83	0.67	2.20
0.09	0.07	1.79
0.29	0.16	2.40
0.70	0.54	2.83
-0.11	-0.16	2.40
0.29	0.24	1.95
0.62	0.48	2.48
0.77	0.60	1.79
0.43	0.33	1.79
0.46	0.31	3.37
0.08	0.04	3.14
-0.50	-0.33	1.10
0.63	0.46	3.18
0.76	0.56	3.43
0.31	0.21	2.56
0.13	0.05	2.40
0.36	0.27	2.77
0.45	0.29	2.08
0.68	0.52	1.95
0.15	0.13	2.56
0.46	0.34	3.09
0.77	0.64	2.30
0.79	0.65	2.64
0.49	0.37	3.69
0.51	0.34	3.43
0.76	0.56	3.37
0.34	0.22	2.71
0.38	0.27	2.94
0.54	0.38	3.18
0.74	0.58	2.64
0.74	0.54	2.56
0.69	0.50	3.18
0.85	0.61	2.20
0.58	0.46	3.14
0.64	0.45	2.48
0.44	0.36	2.56
0.53	0.36	3.58
0.81	0.59	3.08
0.55	0.37	2.71
0.78	0.57	2.77
0.75	0.59	3.00
1.00	1.00	1.39
0.19	0.12	2.64
0.59	0.46	3.26
0.77	0.60	1.79
-0.20	-0.07	2.30
0.71	0.57	2.08
0.67	0.45	2.94
0.53	0.35	3.04
0.80	0.67	1.39
0.52	0.36	3.14
0.35	0.25	2.94
0.64	0.49	2.71
0.74	0.53	2.40
0.35	0.20	2.40
0.65	0.46	3.00
0.75	0.59	2.56
0.49	0.35	3.30
0.70	0.50	2.71
0.18	0.10	2.56
0.60	0.42	3.14
0.61	0.45	2.64
0.78	0.60	2.30
0.64	0.46	3.00
0.77	0.60	3.00
0.54	0.38	3.04
0.67	0.48	2.77
0.25	0.11	2.30
0.65	0.48	3.22
0.43	0.32	2.64
0.73	0.51	3.33
0.51	0.33	3.37
0.56	0.41	2.56
0.20	0.06	2.20
0.64	0.49	2.64
0.15	0.13	2.40
0.50	0.33	1.10
0.57	0.36	3.26
0.56	0.33	2.56
0.67	0.50	2.89
0.57	0.52	1.95
0.50	0.33	1.10
-1.00	-1.00	0.69
0.46	0.32	3.26
0.37	0.29	3.30
0.32	0.23	2.77
0.57	0.37	3.26
0.51	0.30	2.71
0.65	0.47	3.22
0.45	0.38	2.56
nan	nan	0.00
0.57	0.43	1.95
0.41	0.33	2.71
0.20	0.20	1.61
0.58	0.42	3.22
0.52	0.40	2.89
0.64	0.47	3.00
0.44	0.27	2.64
0.80	0.67	1.39
0.22	0.12	3.04
0.84	0.65	2.94
-0.01	0.00	2.48
0.58	0.41	3.18
0.78	0.54	2.64
0.75	0.57	2.89
1.00	1.00	1.10
0.72	0.54	3.00
0.81	0.63	2.64
0.36	0.24	2.48
0.69	0.53	2.94
0.07	0.05	1.95
0.76	0.55	3.30
0.62	0.49	2.40
0.45	0.32	2.89
0.48	0.36	2.08
0.54	0.42	2.77
0.71	0.55	2.77
0.77	0.60	2.83
1.00	1.00	1.39
0.58	0.43	3.26
0.46	0.32	2.89
0.66	0.60	1.79
0.59	0.43	2.64
0.62	0.50	2.77
-0.45	-0.33	2.20
0.71	0.53	2.77
0.50	0.36	2.89
0.58	0.43	2.77
0.46	0.31	2.71
0.67	0.46	2.56
0.57	0.41	3.22
0.48	0.36	2.08
0.40	0.27	3.18
0.68	0.47	3.43
0.40	0.40	1.61
0.48	0.42	2.30
0.83	0.73	1.79
0.63	0.47	3.22
0.24	0.12	2.48
0.43	0.33	2.48
0.40	0.33	1.39
0.68	0.47	2.30
-0.03	0.00	2.20
0.55	0.39	2.89
0.80	0.62	3.18
0.53	0.36	3.14
0.30	0.20	1.61
0.30	0.24	2.83
0.67	0.46	3.09
0.84	0.64	2.56
0.55	0.39	3.47
0.21	0.17	3.50
0.78	0.61	2.20
1.00	1.00	1.10
-0.60	-0.33	1.39
0.47	0.30	3.26
0.71	0.54	2.71
0.51	0.37	2.71
0.87	0.69	2.64
0.76	0.53	3.04
0.46	0.32	3.18
0.64	0.46	3.18
0.53	0.44	2.20
0.38	0.28	2.20
0.58	0.41	3.18
0.39	0.33	1.95
0.51	0.33	3.00
0.34	0.23	3.30
0.64	0.47	3.14
0.19	0.15	2.56
0.53	0.33	2.20
1.00	1.00	1.39
0.55	0.39	3.56
0.69	0.48	2.48
0.30	0.21	3.71
0.66	0.44	3.00
0.47	0.38	2.56
0.60	0.47	1.79
0.63	0.44	3.04
-1.00	-1.00	0.69
1.00	1.00	1.39
0.65	0.49	2.56
0.60	0.44	3.22
0.37	0.28	3.18
0.42	0.35	2.40
0.53	0.39	3.26
0.69	0.49	2.89
1.00	1.00	1.10
0.43	0.28	2.77
0.10	0.07	2.08
0.68	0.44	2.20
0.44	0.29	3.40
-0.50	-0.33	1.10
-0.09	0.07	1.79
0.72	0.50	2.71
0.26	0.18	2.89
0.72	0.53	2.40
0.54	0.42	3.33
0.60	0.47	2.30
1.00	1.00	0.69
0.63	0.56	2.40
0.52	0.36	2.64
0.47	0.34	2.64
